Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                            ""","=""L12196"""
"=""4s2.4p4""","=""3P""","=""1""","=""""","=""0.56393""","=""""","=""""","=""0.56393""","=""                                            ""","="""""
"=""4s2.4p4""","=""3P""","=""0""","=""""","=""0.65872""","=""""","=""""","=""0.0948""","=""                                            ""","="""""
"=""4s2.4p4""","=""1D""","=""2""","=""""","=""1.81566""","=""""","=""""","=""1.1569""","=""                                            ""","="""""
"=""4s2.4p4""","=""1S""","=""0""","=""""","=""4.10135""","=""""","=""""","=""2.2857""","=""                                            ""","="""""
"=""4s.4p5""","=""3P*""","=""2""","=""""","=""14.373603""","=""""","=""""","=""10.27225""","=""  77         :    16  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s.4p5""","=""3P*""","=""1""","=""""","=""14.801262""","=""""","=""""","=""0.42766""","=""  76         :    16  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s.4p5""","=""3P*""","=""0""","=""""","=""15.069406""","=""""","=""""","=""0.26814""","=""  77         :    17  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""0""","=""""","=""17.165202""","=""""","=""""","=""2.09580""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""1""","=""""","=""17.168212""","=""""","=""""","=""0.00301""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""2""","=""""","=""17.169406""","=""""","=""""","=""0.00119""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""3""","=""""","=""17.170888""","=""""","=""""","=""0.00148""","=""  97                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""5D*""","=""4""","=""""","=""17.190304""","=""""","=""""","=""0.01942""","=""  97                                        ""","="""""
"=""4s.4p5""","=""1P*""","=""1""","=""""","=""17.590402""","=""""","=""""","=""0.40010""","=""  40         :    50  4s2.4p3.(2D*).4d 1P*  ""","="""""
"=""4s2.4p3.(4S*).5s""","=""5S*""","=""2""","=""""","=""18.066837""","=""""","=""""","=""0.47643""","=""  98                                        ""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""2""","=""""","=""18.325429""","=""""","=""""","=""0.25859""","=""  47         :    32  4s2.4p3.(2D*).4d 3D*  ""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""3""","=""""","=""18.440829""","=""""","=""""","=""0.11540""","=""  50         :    38  4s2.4p3.(2D*).4d 3D*  ""","="""""
"=""4s2.4p3.(4S*).4d""","=""3D*""","=""1""","=""""","=""18.482554""","=""""","=""""","=""0.04172""","=""  56         :    37  4s2.4p3.(2D*).4d 3D*  ""","="""""
"=""4s2.4p3.(4S*).5s""","=""3S*""","=""1""","=""""","=""18.793548""","=""""","=""""","=""0.31099""","=""  96                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""2""","=""""","=""19.039410""","=""""","=""""","=""0.24586""","=""  72         :    15  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""3""","=""""","=""19.180338""","=""""","=""""","=""0.14093""","=""  76         :    14  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3F*""","=""4""","=""""","=""19.351697""","=""""","=""""","=""0.17136""","=""  78         :    12  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""1S*""","=""0""","=""""","=""19.143124""","=""""","=""""","=""-0.20857""","=""  97                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""3""","=""""","=""19.837029""","=""""","=""""","=""0.69391""","=""  91                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""4""","=""""","=""19.888908""","=""""","=""""","=""0.05188""","=""  85         :    12  4s2.4p3.(2D*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3G*""","=""5""","=""""","=""19.974922""","=""""","=""""","=""0.08601""","=""  99                                        ""","="""""
"=""4s2.4p3.(2D*).4d""","=""1G*""","=""4""","=""""","=""20.189717""","=""""","=""""","=""0.21480""","=""  92                                        ""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""1""","=""""","=""20.242766""","=""""","=""""","=""0.05305""","=""  77                                        ""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""2""","=""""","=""20.288258""","=""""","=""""","=""0.04549""","=""  66         :    12  4s2.4p3.(2D*).5s 1D*  ""","="""""
"=""4s2.4p3.(2D*).5s""","=""3D*""","=""3""","=""""","=""20.464020""","=""""","=""""","=""0.17576""","=""  93                                        ""","="""""
"=""4s2.4p3.(2P*).4d""","=""1D*""","=""2""","=""""","=""20.514847""","=""""","=""""","=""0.05083""","=""  24         :    33  4s2.4p3.(2D*).5s 1D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3D*""","=""1""","=""""","=""21.102396""","=""""","=""""","=""0.58755""","=""  40         :    26  4s2.4p3.(2P*).4d 3D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3D*""","=""2""","=""""","=""21.382994""","=""""","=""""","=""0.28060""","=""  39         :    25  4s2.4p3.(2P*).4d 3D*  ""","="""""
"=""4s2.4p3.(2D*).4d""","=""3D*""","=""3""","=""""","=""21.629161""","=""""","=""""","=""0.24617""","=""  38         :    18  4s2.4p3.(2P*).4d 3F*  ""","="""""
"=""4s2.4p3.(2D*).5s""","=""1D*""","=""2""","=""""","=""21.188768""","=""""","=""""","=""-0.44039""","=""  48         :    27  4s2.4p3.(2P*).4d 1D*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3P*""","=""0""","=""""","=""21.324770""","=""""","=""""","=""0.13600""","=""  50         :    28  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3P*""","=""1""","=""""","=""21.447172""","=""""","=""""","=""0.12240""","=""  50         :    28  4s2.4p3.(2D*).4d 3P*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3P*""","=""2""","=""""","=""21.919259""","=""""","=""""","=""0.47209""","=""  38         :    31  4s2.4p3.(2P*).5s 3P*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3F*""","=""3""","=""""","=""21.676239""","=""""","=""""","=""-0.24302""","=""  61         :    10  4s2.4p3.(2P*).4d 3D*  ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3F*""","=""4""","=""""","=""21.702564""","=""""","=""""","=""0.02632""","=""  81                                        ""","="""""
"=""4s2.4p3.(2P*).4d""","=""3F*""","=""2""","=""""","=""21.723415""","=""""","=""""","=""0.02085""","=""  75         :    18  4s2.4p3.(2D*).4d 3F*  ""","="""""
