Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  98                                       ""","=""L12196"""
"=""4s2.4p3""","=""2D*""","=""3/2""","=""""","=""2.11239""","=""""","=""""","=""2.11239""","=""  90         :    10  4s2.4p2.(3P).5p 4P*  ""","="""""
"=""4s2.4p3""","=""2D*""","=""5/2""","=""""","=""2.31854""","=""""","=""""","=""0.2062""","="" 100                                       ""","="""""
"=""4s2.4p3""","=""2P*""","=""1/2""","=""""","=""3.85050""","=""""","=""""","=""1.5320""","="" 100                                       ""","="""""
"=""4s2.4p3""","=""2P*""","=""3/2""","=""""","=""4.14177""","=""""","=""""","=""0.2913""","=""  88         :    10  4s2.4p3         2D*  ""","="""""
"=""4s.4p4""","=""4P""","=""5/2""","=""""","=""14.72455""","=""""","=""""","=""10.5828""","=""  89         :    10  4s2.4p2.(3P).4d 4P   ""","="""""
"=""4s.4p4""","=""4P""","=""3/2""","=""""","=""15.17895""","=""""","=""""","=""0.4544""","=""  89         :    10  4s2.4p2.(3P).4d 4P   ""","="""""
"=""4s.4p4""","=""4P""","=""1/2""","=""""","=""15.38764""","=""""","=""""","=""0.2087""","=""  89         :    10  4s2.4p2.(3P).4d 4P   ""","="""""
"=""4s.4p4""","=""2D""","=""3/2""","=""""","=""18.07352""","=""""","=""""","=""2.6859""","=""  75         :    19  4s2.4p2.(1D).4d 2D   ""","="""""
"=""4s.4p4""","=""2D""","=""5/2""","=""""","=""18.18163""","=""""","=""""","=""0.1081""","=""  76         :    19  4s2.4p2.(1D).4d 2D   ""","="""""
"=""4s2.4p2.(3P).4d""","=""2P""","=""3/2""","=""""","=""20.26461""","=""""","=""""","=""2.0830""","=""  55         :    37  4s.4p4          2P   ""","="""""
"=""4s.4p4""","=""2P""","=""1/2""","=""""","=""20.60133""","=""""","=""""","=""0.3367""","=""  34         :    47  4s2.4p2.(3P).4d 2P   ""","="""""
"=""4s.4p4""","=""2P""","=""3/2""","=""""","=""25.46630""","=""""","=""""","=""4.8650""","=""  21         :    23  4s2.4p2.(3P).4d 2D   ""","="""""
"=""4s2.4p2.(3P).4d""","=""4F""","=""3/2""","=""""","=""21.41505""","=""""","=""""","=""-4.0512""","=""  95                                       ""","="""""
"=""4s2.4p2.(3P).4d""","=""4F""","=""5/2""","=""""","=""21.58636""","=""""","=""""","=""0.1713""","=""  91                                       ""","="""""
"=""4s2.4p2.(3P).4d""","=""4F""","=""7/2""","=""""","=""21.84986""","=""""","=""""","=""0.2635""","=""  92                                       ""","="""""
"=""4s2.4p2.(3P).4d""","=""4F""","=""9/2""","=""""","=""22.17792""","=""""","=""""","=""0.3281""","=""  97                                       ""","="""""
"=""4s.4p4""","=""2S""","=""1/2""","=""""","=""21.56731""","=""""","=""""","=""-0.6106""","=""  64         :    19  4s2.4p2.(1D).4d 2S   ""","="""""
"=""4s2.4p2.(1D).4d""","=""2F""","=""5/2""","=""""","=""22.22148""","=""""","=""""","=""0.6542""","=""  41         :    31  4s2.4p2.(3P).4d 2F   ""","="""""
"=""4s2.4p2.(1D).4d""","=""2F""","=""7/2""","=""""","=""23.13119""","=""""","=""""","=""0.9097""","=""  30         :    43  4s2.4p2.(3P).4d 4D   ""","="""""
"=""4s2.4p2.(3P).4d""","=""4D""","=""1/2""","=""""","=""22.40230""","=""""","=""""","=""-0.7289""","=""  97                                       ""","="""""
"=""4s2.4p2.(3P).4d""","=""4D""","=""7/2""","=""""","=""22.41193""","=""""","=""""","=""0.0096""","=""  50         :    30  4s2.4p2.(1D).4d 2F   ""","="""""
"=""4s2.4p2.(3P).4d""","=""4D""","=""3/2""","=""""","=""22.44120""","=""""","=""""","=""0.0293""","=""  94                                       ""","="""""
"=""4s2.4p2.(3P).4d""","=""4D""","=""5/2""","=""""","=""22.64800""","=""""","=""""","=""0.2068""","=""  66         :    15  4s2.4p2.(1D).4d 2F   ""","="""""
"=""4s2.4p2.(3P).4d""","=""4P""","=""5/2""","=""""","=""24.97342""","=""""","=""""","=""2.3254""","=""  83                                       ""","="""""
"=""4s2.4p2.(3P).4d""","=""4P""","=""1/2""","=""""","=""25.38395""","=""""","=""""","=""0.4105""","=""  54         :    26  4s2.4p2.(3P).5s 4P   ""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""1/2""","=""""","=""25.09109""","=""""","=""""","=""-0.2929""","=""  67         :    26  4s2.4p2.(3P).4d 4P   ""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""3/2""","=""""","=""25.44336""","=""""","=""""","=""0.3523""","=""  60         :    16  4s2.4p2.(1D).4d 2P   ""","="""""
"=""4s2.4p2.(3P).5s""","=""4P""","=""5/2""","=""""","=""25.79666""","=""""","=""""","=""0.3533""","=""  91                                       ""","="""""
"=""4s2.4p2.(3P).4d""","=""2D""","=""3/2""","=""""","=""25.73855""","=""""","=""""","=""-0.0581""","=""  28         :    23  4s2.4p2.(1D).4d 2P   ""","="""""
"=""4s2.4p2.(3P).4d""","=""2D""","=""5/2""","=""""","=""26.26733""","=""""","=""""","=""0.5288""","=""  63         :    23  4s2.4p2.(1S).4d 2D   ""","="""""
"=""4s2.4p2.(3P).5s""","=""2P""","=""1/2""","=""""","=""25.9028""","=""""","=""""","=""-0.3645""","=""                                           ""","="""""
"=""4s2.4p2.(3P).5s""","=""2P""","=""3/2""","=""""","=""26.24566""","=""""","=""""","=""0.3429""","=""  83                                       ""","="""""
