Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p2""","=""3P""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""  98                                      ""","=""L12196"""
"=""4s2.4p2""","=""3P""","=""1""","=""""","=""0.464055""","=""""","=""""","=""0.464055""","="" 100                                      ""","="""""
"=""4s2.4p2""","=""3P""","=""2""","=""""","=""0.941702""","=""""","=""""","=""0.47765""","=""  96                                      ""","="""""
"=""4s2.4p2""","=""1D""","=""2""","=""""","=""2.445332""","=""""","=""""","=""1.50363""","=""  96                                      ""","="""""
"=""4s2.4p2""","=""1S""","=""0""","=""""","=""4.860667""","=""""","=""""","=""2.41534""","=""  98                                      ""","="""""
"=""4s.4p3""","=""3D*""","=""1""","=""""","=""16.075563""","=""""","=""""","=""11.21490""","=""  86                                      ""","="""""
"=""4s.4p3""","=""3D*""","=""2""","=""""","=""16.090579""","=""""","=""""","=""0.01502""","=""  85                                      ""","="""""
"=""4s.4p3""","=""3D*""","=""3""","=""""","=""16.243966""","=""""","=""""","=""0.15339""","=""  90         :    10  4s2.4p.4d      3D*  ""","="""""
"=""4s.4p3""","=""3P*""","=""0""","=""""","=""18.340397""","=""""","=""""","=""2.09643""","=""  90         :    10  4s2.4p.4d      3P*  ""","="""""
"=""4s.4p3""","=""3P*""","=""1""","=""""","=""18.385218""","=""""","=""""","=""0.04482""","=""  86                                      ""","="""""
"=""4s.4p3""","=""3P*""","=""2""","=""""","=""18.432534""","=""""","=""""","=""0.04732""","=""  77                                      ""","="""""
"=""4s.4p3""","=""1D*""","=""2""","=""""","=""20.257427""","=""""","=""""","=""1.82489""","=""  50         :    31  4s2.4p.4d      1D*  ""","="""""
"=""4s.4p3""","=""3S*""","=""1""","=""""","=""22.944955""","=""""","=""""","=""2.68753""","=""  64         :    36  4s.4p3         1P*  ""","="""""
"=""4s2.4p.4d""","=""3F*""","=""2""","=""""","=""23.5916""","=""""","=""""","=""0.6466""","=""  99                                      ""","="""""
"=""4s2.4p.4d""","=""3F*""","=""3""","=""""","=""23.9226""","=""""","=""""","=""0.331""","=""  99                                      ""","="""""
"=""4s.4p3""","=""1P*""","=""1""","=""""","=""24.058025""","=""""","=""""","=""0.1354""","=""  46         :    29  4s.4p3         3S*  ""","="""""
"=""4s2.4p.4d""","=""3P*""","=""2""","=""""","=""26.202395""","=""""","=""""","=""2.14437""","=""  58         :    12  4s2.4p.4d      1D*  ""","="""""
"=""4s2.4p.4d""","=""3P*""","=""1""","=""""","=""26.524295""","=""""","=""""","=""0.32190""","=""  56         :    34  4s2.4p.4d      3D*  ""","="""""
"=""4s2.4p.4d""","=""3P*""","=""0""","=""""","=""26.832695""","=""""","=""""","=""0.30840""","=""  90         :    10  4s.4p3         3P*  ""","="""""
"=""4s2.4p.4d""","=""1D*""","=""2""","=""""","=""26.889016""","=""""","=""""","=""0.05632""","=""  40         :    44  4s.4p3         1D*  ""","="""""
"=""4s2.4p.4d""","=""3D*""","=""1""","=""""","=""27.121148""","=""""","=""""","=""0.23213""","=""  56         :    32  4s2.4p.4d      3P*  ""","="""""
"=""4s2.4p.4d""","=""3D*""","=""3""","=""""","=""27.199848""","=""""","=""""","=""0.07870""","=""  88         :    10  4s.4p3         3D*  ""","="""""
"=""4s2.4p.4d""","=""3D*""","=""2""","=""""","=""27.254612""","=""""","=""""","=""0.05476""","=""  66         :    14  4s2.4p.4d      1D*  ""","="""""
"=""4s2.4p.4d""","=""1F*""","=""3""","=""""","=""29.027288""","=""""","=""""","=""1.77268""","="" 100                                      ""","="""""
"=""4s2.4p.4d""","=""1P*""","=""1""","=""""","=""29.473596""","=""""","=""""","=""0.44631""","=""  74         :    17  4s.4p3         1P*  ""","="""""
"=""4s2.4p.5s""","=""3P*""","=""1""","=""""","=""29.8710""","=""""","=""""","=""0.3974""","=""  67         :    24  4s2.4p.4d      1P*  ""","="""""
"=""4s2.4p.5s""","=""3P*""","=""2""","=""""","=""30.5991""","=""""","=""""","=""0.728""","="" 100                                      ""","="""""
