Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d2""","=""a 3F""","=""2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.721""","=""  83              :    11        1D    ""","=""L3974"""
"=""5d2""","=""a 3F""","=""3""","=""""","=""0.125980""","=""""","=""""","=""0.125980""","=""1.083""","="" 100                                   ""","="""""
"=""5d2""","=""a 3F""","=""4""","=""""","=""0.244336""","=""""","=""""","=""0.11836""","=""1.248""","=""  99              :     1        1G    ""","="""""
"=""5d2""","=""""","=""2""","=""""","=""0.172891""","=""""","=""""","=""-0.07145""","=""0.977""","=""  36  a 1D        :    33  5d.6s 1D    ""","="""""
"=""5d.6s""","=""a 3D""","=""1""","=""""","=""0.234969""","=""""","=""""","=""0.06208""","=""0.498""","="" 100                                   ""","="""""
"=""5d.6s""","=""a 3D""","=""2""","=""""","=""0.321317""","=""""","=""""","=""0.08635""","=""1.133""","=""  85              :    10  5d2   1D    ""","="""""
"=""5d.6s""","=""a 3D""","=""3""","=""""","=""0.402992""","=""""","=""""","=""0.08167""","=""1.334""","="" 100                                   ""","="""""
"=""5d2""","=""a 3P""","=""0""","=""""","=""0.650880""","=""""","=""""","=""0.24789""","=""""","=""  92              :     4        1S    ""","="""""
"=""5d2""","=""a 3P""","=""1""","=""""","=""0.708957""","=""""","=""""","=""0.05808""","=""1.497""","=""  99              :     1  4f2   3P    ""","="""""
"=""5d2""","=""a 3P""","=""2""","=""""","=""0.772102""","=""""","=""""","=""0.06315""","=""1.481""","=""  96              :     3  5d.6s 1D    ""","="""""
"=""6s2""","=""a 1S""","=""0""","=""""","=""0.916810""","=""""","=""""","=""0.14471""","=""""","=""  75              :    17  5d2   1S    ""","="""""
"=""5d2""","=""a 1G""","=""4""","=""""","=""0.926574""","=""""","=""""","=""0.00976""","=""1.000""","=""  98              :     1  5d2   3F    ""","="""""
"=""5d.6s""","=""""","=""2""","=""""","=""1.251603""","=""""","=""""","=""0.32503""","=""1.005""","=""  53  b 1D        :    42  5d2   1D    ""","="""""
"=""4f.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""2""","=""""","=""1.754126""","=""""","=""""","=""0.50252""","=""0.664""","=""  96          or  :    95        z 3F* ""","="""""
"=""4f.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""3""","=""""","=""1.782294""","=""""","=""""","=""0.02817""","=""1.056""","=""  95          or  :    64        z 3F* ""","="""""
"=""4f.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""""","=""1.946396""","=""""","=""""","=""0.16410""","=""1.247""","=""  95          or  :    97        z 3F* ""","="""""
"=""4f.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""3""","=""""","=""1.955698""","=""""","=""""","=""0.00930""","=""1.017""","=""  93          or  :    64        z 1F* ""","="""""
"=""4f.5d""","=""z 1G*""","=""4""","=""""","=""2.058035""","=""""","=""""","=""0.10234""","=""0.969""","=""  73              :    22        3H*   ""","="""""
"=""4f.5d""","=""y 3F*""","=""2""","=""""","=""2.134007""","=""""","=""""","=""0.07597""","=""0.754""","=""  70              :    26        1D*   ""","="""""
"=""4f.5d""","=""y 3F*""","=""3""","=""""","=""2.260921""","=""""","=""""","=""0.12691""","=""1.086""","=""  97                                   ""","="""""
"=""4f.5d""","=""y 3F*""","=""4""","=""""","=""2.382299""","=""""","=""""","=""0.12138""","=""1.232""","=""  90              :     8        1G*   ""","="""""
"=""4f.5d""","=""z 3H*""","=""4""","=""""","=""2.210095""","=""""","=""""","=""-0.17220""","=""0.846""","=""  77              :    19        1G*   ""","="""""
"=""4f.5d""","=""z 3H*""","=""5""","=""""","=""2.303677""","=""""","=""""","=""0.09358""","=""1.017""","="" 100                                   ""","="""""
"=""4f.5d""","=""z 3H*""","=""6""","=""""","=""2.448641""","=""""","=""""","=""0.14496""","=""1.178""","="" 100                                   ""","="""""
"=""4f.5d""","=""z 1D*""","=""2""","=""""","=""2.342732""","=""""","=""""","=""-0.10591""","=""0.923""","=""  64              :    28        3F*   ""","="""""
"=""4f.5d""","=""z 3G*""","=""3""","=""""","=""2.529627""","=""""","=""""","=""0.18690""","=""0.757""","=""  96                                   ""","="""""
"=""4f.5d""","=""z 3G*""","=""4""","=""""","=""2.644781""","=""""","=""""","=""0.11515""","=""1.049""","="" 100                                   ""","="""""
"=""4f.5d""","=""z 3G*""","=""5""","=""""","=""2.762727""","=""""","=""""","=""0.11795""","=""1.197""","=""  99                                   ""","="""""
"=""4f.5d""","=""z 3D*""","=""1""","=""""","=""2.658436""","=""""","=""""","=""-0.10429""","=""0.542""","=""  79              :    15  5d.6p 3D*   ""","="""""
"=""4f.5d""","=""z 3D*""","=""2""","=""""","=""2.740797""","=""""","=""""","=""0.08236""","=""1.167""","=""  83              :    13  5d.6p 3D*   ""","="""""
"=""4f.5d""","=""z 3D*""","=""3""","=""""","=""2.794269""","=""""","=""""","=""0.05347""","=""1.288""","=""  78              :    10  4f.5d 1F*   ""","="""""
"=""4f.5d""","=""z 3P*""","=""0""","=""""","=""2.812420""","=""""","=""""","=""0.01815""","=""""","=""  84              :    11  5d.6p 3P*   ""","="""""
"=""4f.5d""","=""z 3P*""","=""1""","=""""","=""2.815080""","=""""","=""""","=""0.00266""","=""1.431""","=""  79              :    11  5d.6p 3P*   ""","="""""
"=""4f.5d""","=""z 3P*""","=""2""","=""""","=""2.882252""","=""""","=""""","=""0.06717""","=""1.459""","=""  82              :    11  5d.6p 3P*   ""","="""""
