Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                            ""","=""L3974"""
"=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""17.77372""","=""""","=""""","=""17.77372""","=""                            ""","="""""
"=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""18.09537""","=""""","=""""","=""0.3216""","=""                            ""","="""""
"=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""""","=""18.58859""","=""""","=""""","=""0.4932""","=""                            ""","="""""
"=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""""","=""19.89778""","=""""","=""""","=""1.3092""","=""                            ""","="""""
"=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""""","=""""","=""""","=""""","=""""","=""                            ""","="""""
"=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""""","=""19.01163""","=""""","=""""","=""""","=""                            ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""19.35397""","=""""","=""""","=""0.3423""","="" 100     or  :   100   3P*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""19.64066""","=""""","=""""","=""0.2867""","=""  65     or  :    93   3P*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""20.19301""","=""""","=""""","=""0.5524""","=""  90     or  :    78   3P*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""22.46036""","=""""","=""""","=""2.2674""","=""  51     or  :    88   3D*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""20.29538""","=""""","=""""","=""-2.1650""","="" 100     or  :   100   3F*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""20.46616""","=""""","=""""","=""0.1708""","=""  78     or  :    74   3F*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""20.81964""","=""""","=""""","=""0.3535""","=""  95     or  :    42   3F*  ""","="""""
"=""5p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""21.49086""","=""""","=""""","=""0.6712""","=""  80     or  :    62   3D*  ""","="""""
"=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""""","=""""","=""""","=""""","=""""","=""                            ""","="""""
"=""5p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""","=""""","=""21.69895""","=""""","=""""","=""""","=""                            ""","="""""
"=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""22.92291""","=""""","=""""","=""1.2240""","=""  91     or  :    55   3F*  ""","="""""
"=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""23.66012""","=""""","=""""","=""0.7372""","=""  96     or  :    45   1F*  ""","="""""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""23.35778""","=""""","=""""","=""-0.3023""","=""  85     or  :    58   3D*  ""","="""""
"=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""26.77057""","=""""","=""""","=""3.4128""","=""  59     or  :    93   1P*  ""","="""""
"=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""24.58645""","=""""","=""""","=""-2.1841""","=""  98     or  :    98   3P*  ""","="""""
