Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5s2.5p5""","=""2P*""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                                         ""","=""L3974"""
"=""5s2.5p5""","=""2P*""","=""1/2""","=""""","=""2.68229""","=""""","=""""","=""2.68229""","=""                                                         ""","="""""
"=""5s.5p6""","=""2S""","=""1/2""","=""""","=""17.72603""","=""""","=""""","=""15.0437""","=""  70                :    28  5p4.(1D).5d 2S              ""","="""""
"=""5s2.5p4.(3P).5d""","=""4D""","=""7/2""","=""""","=""""","=""""","=""""","=""""","=""  77                :    16              (3P) 4F         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4D""","=""5/2""","=""""","=""20.65588""","=""""","=""""","=""""","=""  75                :     7              (3P) 4F         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4D""","=""3/2""","=""""","=""20.74354""","=""""","=""""","=""0.0877""","=""  65                :    12              (3P) 4P         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4D""","=""1/2""","=""""","=""21.04613""","=""?""","=""""","=""0.3026""","=""  52                :    19              (1D) 2P         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4P""","=""3/2""","=""""","=""22.648""","=""""","=""""","=""1.602""","=""  33                :    20              (1S) 2D         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4P""","=""1/2""","=""""","=""22.7575""","=""""","=""""","=""0.110""","=""  74                :    14              (3P) 2P         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4P""","=""5/2""","=""""","=""23.5374""","=""""","=""""","=""0.780""","=""  52                :    18              (3P) 2F         ""","="""""
"=""5s2.5p4.(3P).5d""","=""""","=""1/2""","=""""","=""22.9513""","=""""","=""""","=""-0.586""","=""  48  4D            :    23              (1D) 2P         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4F""","=""7/2""","=""""","=""""","=""""","=""""","=""""","=""  49                :    23              (3P) 2F         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4F""","=""9/2""","=""""","=""""","=""""","=""""","=""""","=""  83                :    17              (1D) 2G         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4F""","=""5/2""","=""""","=""23.2514""","=""""","=""""","=""""","=""  80                :     7              (3P) 4D         ""","="""""
"=""5s2.5p4.(3P).5d""","=""4F""","=""3/2""","=""""","=""23.3461""","=""""","=""""","=""0.095""","=""  67                :    19              (3P) 4P         ""","="""""
