Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2""","=""1S""","=""0""","=""""","=""0.0000000""","=""""","=""0.0000012""","=""""","=""L3501"""
"=""1s.2s""","=""3S""","=""1""","=""[""","=""59.020708""","=""]""","=""0.000012""","=""59.02071""","=""L3501c202"""
"=""1s.2s""","=""1S""","=""0""","=""[""","=""60.922576""","=""]""","=""0.000019""","=""1.90187""","=""L4834c203"""
"=""1s.2p""","=""3P*""","=""1""","=""[""","=""61.280467""","=""]""","=""0.000012""","=""0.35789""","=""L3501c202"""
"=""1s.2p""","=""3P*""","=""2""","=""[""","=""61.280749""","=""]""","=""0.000012""","=""0.00028""","=""L3501c202"""
"=""1s.2p""","=""3P*""","=""0""","=""[""","=""61.281137""","=""]""","=""0.000012""","=""0.00039""","=""L3501c202"""
"=""1s.2p""","=""1P*""","=""1""","=""[""","=""62.216228""","=""]""","=""0.000012""","=""0.93509""","=""L3501c202"""
"=""1s.3s""","=""3S""","=""1""","=""[""","=""68.780678""","=""]""","=""0.000012""","=""6.56445""","=""L3501c202"""
"=""1s.3s""","=""1S""","=""0""","=""[""","=""69.279520""","=""]""","=""0.000012""","=""0.49884""","=""L3501c202"""
"=""1s.3p""","=""3P*""","=""1""","=""[""","=""69.36910""","=""]""","=""0.00019""","=""0.0896""","=""L3501c202"""
"=""1s.3p""","=""3P*""","=""2""","=""[""","=""69.36923""","=""]""","=""0.00010""","=""0.0001""","=""L3501c202"""
"=""1s.3p""","=""3P*""","=""0""","=""[""","=""69.36934""","=""]""","=""0.00004""","=""0.0001""","=""L3501c202"""
"=""1s.3d""","=""3D""","=""2""","=""[""","=""69.585174""","=""]""","=""0.000012""","=""0.21583""","=""L3501c202"""
"=""1s.3d""","=""3D""","=""3""","=""[""","=""69.585251""","=""]""","=""0.000012""","=""0.00008""","=""L3501c202"""
"=""1s.3d""","=""3D""","=""1""","=""[""","=""69.585317""","=""]""","=""0.000025""","=""0.00007""","=""L3501c202"""
"=""1s.3d""","=""1D""","=""2""","=""[""","=""69.588952""","=""]""","=""0.000012""","=""0.00364""","=""L3501c202"""
"=""1s.3p""","=""1P*""","=""1""","=""[""","=""69.648365""","=""]""","=""0.000019""","=""0.05941""","=""L3501c202"""
"=""1s.4s""","=""3S""","=""1""","=""[""","=""71.908412""","=""]""","=""0.000012""","=""2.26005""","=""L3501c202"""
"=""1s.4s""","=""1S""","=""0""","=""[""","=""72.108701""","=""]""","=""0.000019""","=""0.20029""","=""L3501c202"""
"=""1s.4p""","=""3P*""","=""0""","=""[""","=""72.144509""","=""]""","=""0.000012""","=""0.03581""","=""L3501c202"""
"=""1s.4p""","=""3P*""","=""1""","=""[""","=""72.144559""","=""]""","=""0.000012""","=""0.00005""","=""L3501c202"""
"=""1s.4p""","=""3P*""","=""2""","=""[""","=""72.144648""","=""]""","=""0.000012""","=""0.00009""","=""L3501c202"""
"=""1s.4d""","=""3D""","=""1""","=""[""","=""72.234700""","=""]""","=""0.000025""","=""0.09005""","=""L3501c202"""
"=""1s.4d""","=""3D""","=""2""","=""[""","=""72.234749""","=""]""","=""0.000012""","=""0.00005""","=""L3501c202"""
"=""1s.4d""","=""3D""","=""3""","=""[""","=""72.234831""","=""]""","=""0.000012""","=""0.00008""","=""L3501c202"""
"=""1s.4d""","=""1D""","=""2""","=""[""","=""72.236923""","=""]""","=""0.000019""","=""0.00209""","=""L3501c202"""
"=""1s.4f""","=""3F*""","=""2""","=""[""","=""72.238414""","=""]""","=""0.000012""","=""0.00149""","=""L3501c202"""
"=""1s.4f""","=""3F*""","=""3""","=""[""","=""72.238414""","=""]""","=""0.000012""","=""0.00000""","=""L3501c202"""
"=""1s.4f""","=""3F*""","=""4""","=""[""","=""72.238414""","=""]""","=""0.000012""","=""0.00000""","=""L3501c202"""
"=""1s.4f""","=""1F*""","=""3""","=""[""","=""72.238546""","=""]""","=""0.000012""","=""0.00013""","=""L3501c202"""
