Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""5d.6s2""","=""2D""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.79921""","=""  98             :     1  5d2.6s                       ""","=""L3974,L4389"""
"=""5d.6s2""","=""2D""","=""5/2""","=""""","=""0.247215""","=""""","=""""","=""0.247215""","=""1.20040""","=""  98             :     2  5d2.6s                       ""","=""L3974,L4389"""
"=""6s2.6p""","=""2P*""","=""1/2""","=""""","=""0.512815""","=""""","=""""","=""0.26560""","=""0.66""","=""                                                       ""","=""L4320"""
"=""6s2.6p""","=""2P*""","=""3/2""","=""""","=""0.926954""","=""""","=""""","=""0.41414""","=""1.33""","=""                                                       ""","=""L4320"""
"=""5d.6s.(3D).6p""","=""4F*""","=""3/2""","=""""","=""2.160707""","=""""","=""""","=""1.23375""","=""0.50""","=""  90         or  :    62  5d.(2D<3/2>).6s.6p.(3P*<0>)  ""","=""L3974"""
"=""5d.6s.(3D).6p""","=""4F*""","=""5/2""","=""""","=""2.294276""","=""""","=""""","=""0.13357""","=""1.07""","=""  87         or  :    74  5d.(2D<3/2>).6s.6p.(3P*<1>)  ""","=""L4320"""
"=""5d.6s.(3D).6p""","=""4F*""","=""7/2""","=""""","=""2.533311""","=""""","=""""","=""0.23903""","=""1.22""","=""  97         or  :    55  5d.(2D<5/2>).6s.6p.(3P*<1>)  ""","=""L3974"""
"=""5d.6s.(3D).6p""","=""4F*""","=""9/2""","=""""","=""2.803216""","=""""","=""""","=""0.26991""","=""1.30""","="" 100         or  :   100  5d.(2D<5/2>).6s.6p.(3P*<2>)  ""","=""L3974"""
"=""5d2.(3F).6s""","=""4F""","=""3/2""","=""""","=""2.337265""","=""""","=""""","=""-0.46595""","=""""","=""  97                                                   ""","=""L3974,L4389"""
"=""5d2.(3F).6s""","=""4F""","=""5/2""","=""""","=""2.405701""","=""""","=""""","=""0.06844""","=""1.04""","=""  96                                                   ""","=""L4320,L4389"""
"=""5d2.(3F).6s""","=""4F""","=""7/2""","=""""","=""2.510344""","=""""","=""""","=""0.10464""","=""""","=""  99                                                   ""","=""L4320,L4389"""
"=""5d2.(3F).6s""","=""4F""","=""9/2""","=""""","=""2.633705""","=""""","=""""","=""0.12336""","=""""","=""  99                                                   ""","=""L4320,L4389"""
"=""5d.6s.(3D).6p""","=""4D*""","=""1/2""","=""""","=""2.574218""","=""""","=""""","=""-0.05949""","=""0.00""","=""  92         or  :    86  5d.(2D<3/2>).6s.6p.(3P*<1>)  ""","=""L4320"""
"=""5d.6s.(3D).6p""","=""4D*""","=""3/2""","=""""","=""2.627891""","=""""","=""""","=""0.05367""","=""1.19""","=""  89         or  :    34  5d.(2D<3/2>).6s.6p.(3P*<1>)  ""","=""L3974"""
