Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""6s2""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""""","=""  98                                 ""","=""L3974"""
"=""5d.6s""","=""3D""","=""1""","=""""","=""1.462547""","=""""","=""""","=""1.462547""","=""0.52""","="" 100                                 ""","="""""
"=""5d.6s""","=""3D""","=""2""","=""""","=""1.541783""","=""""","=""""","=""0.07924""","=""1.14""","=""  94                                 ""","="""""
"=""5d.6s""","=""3D""","=""3""","=""""","=""1.760462""","=""""","=""""","=""0.21868""","=""1.41:""","="" 100                                 ""","="""""
"=""5d.6s""","=""1D""","=""2""","=""""","=""2.148966""","=""""","=""""","=""0.38850""","=""1.09""","=""  85             :     9  5d2   1D   ""","="""""
"=""6s.6p""","=""3P*""","=""0""","=""""","=""3.380355""","=""""","=""""","=""1.23139""","=""""","=""  99                                 ""","="""""
"=""6s.6p""","=""3P*""","=""1""","=""""","=""3.533941""","=""""","=""""","=""0.15359""","=""1.51""","=""  94                                 ""","="""""
"=""6s.6p""","=""3P*""","=""2""","=""""","=""4.023691""","=""""","=""""","=""0.48975""","=""1.66:""","=""  98                                 ""","="""""
"=""5d2""","=""3F""","=""2""","=""""","=""3.645966""","=""""","=""""","=""-0.37773""","=""0.66""","=""  97                                 ""","="""""
"=""5d2""","=""3F""","=""3""","=""""","=""3.829759""","=""""","=""""","=""0.18379""","=""1.05""","="" 100                                 ""","="""""
"=""5d2""","=""3F""","=""4""","=""""","=""4.029935""","=""""","=""""","=""0.20018""","=""1.27""","=""  98                                 ""","="""""
"=""5d2""","=""3P""","=""0""","=""""","=""4.42030""","=""""","=""""","=""0.39037""","=""""","=""  98                                 ""","="""""
"=""5d2""","=""3P""","=""1""","=""""","=""4.532497""","=""""","=""""","=""0.11220""","=""1.41""","="" 100                                 ""","="""""
"=""5d2""","=""3P""","=""2""","=""""","=""4.782683""","=""""","=""""","=""0.25019""","=""1.49?""","=""  51             :    44        1D   ""","="""""
"=""5d2""","=""""","=""2""","=""""","=""4.475604""","=""""","=""""","=""-0.30708""","=""1.37?""","=""  49  3P         :    45        1D   ""","="""""
"=""6s.6p""","=""1P*""","=""1""","=""""","=""4.739109""","=""""","=""""","=""0.26351""","=""0.99""","=""  56             :    34  5d.6p 1P*  ""","="""""
"=""5d.6p""","=""3F*""","=""2""","=""""","=""5.111244""","=""""","=""""","=""0.37214""","=""0.71""","=""  70             :    27        1D*  ""","="""""
