Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4f14.6s""","=""2S""","=""1/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3974"""
"=""4f14.5d""","=""2D""","=""3/2""","=""""","=""0.70765""","=""""","=""""","=""0.70765""","="""""
"=""4f14.5d""","=""2D""","=""5/2""","=""""","=""1.07219""","=""""","=""""","=""0.3645""","="""""
"=""4f14.6p""","=""2P*""","=""1/2""","=""""","=""4.761069""","=""""","=""""","=""3.68888""","="""""
"=""4f14.6p""","=""2P*""","=""3/2""","=""""","=""5.542740""","=""""","=""""","=""0.78167""","="""""
"=""4f14.7s""","=""2S""","=""1/2""","=""""","=""10.747100""","=""""","=""""","=""5.20436""","="""""
"=""4f14.6d""","=""2D""","=""3/2""","=""""","=""11.44642""","=""""","=""""","=""0.69932""","="""""
"=""4f14.6d""","=""2D""","=""5/2""","=""""","=""11.54387""","=""""","=""""","=""0.0975""","="""""
"=""4f14.7p""","=""2P*""","=""1/2""","=""""","=""12.442693""","=""""","=""""","=""0.89882""","="""""
"=""4f14.7p""","=""2P*""","=""3/2""","=""""","=""12.746917""","=""""","=""""","=""0.30422""","="""""
"=""4f14.5f""","=""2F*""","=""5/2""","=""""","=""13.09157""","=""""","=""""","=""0.34465""","="""""
"=""4f14.5f""","=""2F*""","=""7/2""","=""""","=""13.10564""","=""""","=""""","=""0.0141""","="""""
"=""4f14.8s""","=""2S""","=""1/2""","=""""","=""14.851416""","=""""","=""""","=""1.74578""","="""""
"=""4f14.7d""","=""2D""","=""3/2""","=""""","=""15.20325""","=""""","=""""","=""0.35183""","="""""
"=""4f14.7d""","=""2D""","=""5/2""","=""""","=""15.24770""","=""""","=""""","=""0.0444""","="""""
"=""""","=""*""","=""5/2""","=""""","=""15.87708""","=""""","=""""","=""0.6294""","="""""
"=""4f14.6f""","=""2F*""","=""7/2""","=""""","=""15.96914""","=""""","=""""","=""0.0921""","="""""
"=""4f14.6f""","=""2F*""","=""5/2""","=""""","=""16.00056""","=""""","=""""","=""0.0314""","="""""
"=""4f14.5g""","=""2G""","=""7/2""","=""""","=""16.00703""","=""""","=""""","=""0.0065""","="""""
"=""4f14.5g""","=""2G""","=""9/2""","=""""","=""16.00714""","=""""","=""""","=""0.0001""","="""""
"=""4f14.9s""","=""2S""","=""1/2""","=""""","=""16.887870""","=""""","=""""","=""0.88073""","="""""
"=""4f14.7f""","=""2F*""","=""5/2""","=""""","=""17.49040""","=""""","=""""","=""0.60253""","="""""
"=""4f14.7f""","=""2F*""","=""7/2""","=""""","=""17.49320""","=""""","=""""","=""0.0028""","="""""
"=""4f14.10s""","=""2S""","=""1/2""","=""""","=""18.05052""","=""""","=""""","=""0.5573""","="""""
"=""4f14.8f""","=""2F*""","=""5/2""","=""""","=""18.41336""","=""""","=""""","=""0.3628""","="""""
"=""4f14.8f""","=""2F*""","=""7/2""","=""""","=""18.41537""","=""""","=""""","=""0.0020""","="""""
"=""4f14.9f""","=""2F*""","=""5/2""","=""""","=""19.01218""","=""""","=""""","=""0.5968""","="""""
"=""4f14.9f""","=""2F*""","=""7/2""","=""""","=""19.01353""","=""""","=""""","=""0.0013""","="""""
"=""Lu IV (4f14 1S<0>)""","=""Limit""","=""---""","=""""","=""20.9594""","=""""","=""0.0012""","=""""","=""L1402"""
