Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f14""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                  ""","=""L3974"""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""2""","=""""","=""11.21225""","=""""","=""""","=""11.21225""","=""  83         :    15   (7/2,5/2)* ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""5""","=""""","=""11.74975""","=""""","=""""","=""0.5375""","=""  97                              ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""3""","=""""","=""12.06783""","=""""","=""""","=""0.3181""","=""  96                              ""","="""""
"=""4f13.(2F*<7/2>).5d<3/2>""","=""(7/2,3/2)*""","=""4""","=""""","=""12.21970""","=""""","=""""","=""0.1519""","=""  95                              ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""6""","=""""","=""12.18012""","=""""","=""""","=""-0.0396""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""1""","=""""","=""12.21306""","=""""","=""""","=""0.0329""","=""  64         :    21   (5/2,3/2)* ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""2""","=""""","=""12.35627""","=""""","=""""","=""0.1432""","=""  84         :    16   (7/2,3/2)* ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""4""","=""""","=""12.67324""","=""""","=""""","=""0.3170""","=""  92                              ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""3""","=""""","=""12.77910""","=""""","=""""","=""0.1059""","=""  94                              ""","="""""
"=""4f13.(2F*<7/2>).5d<5/2>""","=""(7/2,5/2)*""","=""5""","=""""","=""12.86940""","=""""","=""""","=""0.0903""","=""  96                              ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""0""","=""""","=""13.03678""","=""""","=""""","=""0.1674""","="" 100                              ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""1""","=""""","=""13.74464""","=""""","=""""","=""0.7079""","=""  81         :    14   (5/2,3/2)* ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""5""","=""""","=""13.80909""","=""""","=""""","=""0.0644""","=""  97                              ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""2""","=""""","=""13.96465""","=""""","=""""","=""0.1556""","=""  97                              ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""3""","=""""","=""14.21266""","=""""","=""""","=""0.2480""","=""  97                              ""","="""""
"=""4f13.(2F*<5/2>).5d<5/2>""","=""(5/2,5/2)*""","=""4""","=""""","=""14.31627""","=""""","=""""","=""0.1036""","=""  97                              ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""4""","=""""","=""13.18951""","=""""","=""""","=""-1.1268""","=""  90                              ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""2""","=""""","=""13.38863""","=""""","=""""","=""0.1991""","=""  97                              ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""3""","=""""","=""13.86296""","=""""","=""""","=""0.4743""","=""  98                              ""","="""""
"=""4f13.(2F*<5/2>).5d<3/2>""","=""(5/2,3/2)*""","=""1""","=""""","=""14.14032""","=""""","=""""","=""0.2774""","=""  65         :    31   (7/2,5/2)* ""","="""""
"=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""""","=""14.48113""","=""""","=""""","=""0.3408""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""3""","=""""","=""14.54483""","=""""","=""""","=""0.0637""","="" 100                              ""","="""""
"=""4f13.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""2""","=""""","=""15.94106""","=""""","=""""","=""1.3962""","="" 100                              ""","="""""
"=""4f13.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""3""","=""""","=""15.98516""","=""""","=""""","=""0.0441""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""3""","=""""","=""20.37089""","=""""","=""""","=""4.3857""","=""  98                              ""","="""""
"=""4f13.(2F*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""4""","=""""","=""20.42373""","=""""","=""""","=""0.0528""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""5""","=""""","=""21.47575""","=""""","=""""","=""1.0520""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""2""","=""""","=""21.50065""","=""""","=""""","=""0.0249""","=""  98                              ""","="""""
"=""4f13.(2F*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""3""","=""""","=""21.59101""","=""""","=""""","=""0.0904""","=""  94                              ""","="""""
"=""4f13.(2F*<7/2>).6p<3/2>""","=""(7/2,3/2)""","=""4""","=""""","=""21.68358""","=""""","=""""","=""0.0926""","="" 100                              ""","="""""
"=""4f13.(2F*<5/2>).6p<1/2>""","=""(5/2,1/2)""","=""3""","=""""","=""21.86531""","=""""","=""""","=""0.1817""","=""  95                              ""","="""""
"=""4f13.(2F*<5/2>).6p<1/2>""","=""(5/2,1/2)""","=""2""","=""""","=""21.92556""","=""""","=""""","=""0.0602""","=""  97                              ""","="""""
"=""4f13.(2F*<5/2>).6p<3/2>""","=""(5/2,3/2)""","=""1""","=""""","=""22.83857""","=""""","=""""","=""0.9130""","="" 100                              ""","="""""
"=""4f13.(2F*<5/2>).6p<3/2>""","=""(5/2,3/2)""","=""4""","=""""","=""22.98169""","=""""","=""""","=""0.1431""","="" 100                              ""","="""""
"=""4f13.(2F*<5/2>).6p<3/2>""","=""(5/2,3/2)""","=""2""","=""""","=""23.05945""","=""""","=""""","=""0.0778""","=""  98                              ""","="""""
"=""4f13.(2F*<5/2>).6p<3/2>""","=""(5/2,3/2)""","=""3""","=""""","=""23.12796""","=""""","=""""","=""0.0685""","=""  99                              ""","="""""
"=""4f13.(2F*<7/2>).6d<3/2>""","=""(7/2,3/2)*""","=""2""","=""""","=""29.21857""","=""""","=""""","=""6.0906""","=""  87         :    13   (7/2,5/2)* ""","="""""
"=""4f13.(2F*<7/2>).6d<3/2>""","=""(7/2,3/2)*""","=""5""","=""""","=""29.34298""","=""""","=""""","=""0.1244""","=""  98                              ""","="""""
"=""4f13.(2F*<7/2>).6d<3/2>""","=""(7/2,3/2)*""","=""3""","=""""","=""29.41095""","=""""","=""""","=""0.0680""","=""  96                              ""","="""""
"=""4f13.(2F*<7/2>).6d<3/2>""","=""(7/2,3/2)*""","=""4""","=""""","=""29.43842""","=""""","=""""","=""0.0275""","=""  95                              ""","="""""
"=""4f13.(2F*<7/2>).7s<1/2>""","=""(7/2,1/2)*""","=""4""","=""""","=""29.38740""","=""""","=""""","=""-0.0510""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).7s<1/2>""","=""(7/2,1/2)*""","=""3""","=""""","=""29.39748""","=""""","=""""","=""0.0101""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).6d<5/2>""","=""(7/2,5/2)*""","=""1""","=""""","=""""","=""""","=""""","=""""","=""  97                              ""","="""""
"=""4f13.(2F*<7/2>).6d<5/2>""","=""(7/2,5/2)*""","=""6""","=""""","=""29.46654""","=""""","=""""","=""""","="" 100                              ""","="""""
"=""4f13.(2F*<7/2>).6d<5/2>""","=""(7/2,5/2)*""","=""2""","=""""","=""29.50164""","=""""","=""""","=""0.0351""","=""  87         :    13   (7/2,3/2)* ""","="""""
"=""4f13.(2F*<7/2>).6d<5/2>""","=""(7/2,5/2)*""","=""4""","=""""","=""29.57037""","=""""","=""""","=""0.0687""","=""  95                              ""","="""""
"=""4f13.(2F*<7/2>).6d<5/2>""","=""(7/2,5/2)*""","=""3""","=""""","=""29.60005""","=""""","=""""","=""0.0297""","=""  96                              ""","="""""
"=""4f13.(2F*<7/2>).6d<5/2>""","=""(7/2,5/2)*""","=""5""","=""""","=""29.62078""","=""""","=""""","=""0.0207""","=""  98                              ""","="""""
"=""4f13.(2F*<5/2>).6d<3/2>""","=""(5/2,3/2)*""","=""4""","=""""","=""30.78600""","=""""","=""""","=""1.1652""","=""  97                              ""","="""""
