Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f13""","=""2F*""","=""7/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                      ""","=""L3974"""
"=""4f13""","=""2F*""","=""5/2""","=""""","=""1.46212""","=""""","=""""","=""1.46212""","=""                                      ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""""","=""7/2""","=""""","=""18.69248""","=""""","=""""","=""17.2304""","=""  34  (6,5/2)   or  :    38   (3H) 4F ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""""","=""9/2""","=""""","=""19.21588""","=""""","=""""","=""0.5234""","=""  39  (4,3/2)   or  :    20   (3F) 4G ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""""","=""9/2""","=""""","=""19.44762""","=""""","=""""","=""0.2317""","=""  34  (6,5/2)   or  :    34   (3H) 4G ""","="""""
"=""4f12.(3H<6>).5d<5/2>""","=""""","=""7/2""","=""""","=""19.71142""","=""""","=""""","=""0.2638""","=""  40  (6,5/2)   or  :    72   (3H) 2F ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""""","=""5/2""","=""""","=""19.71793""","=""""","=""""","=""0.0065""","=""  35  (5,5/2)   or  :    55   (3H) 4F ""","="""""
"=""4f12.(3F<4>).5d<3/2>""","=""""","=""5/2""","=""""","=""20.08209""","=""""","=""""","=""0.3642""","=""  29  (4,3/2)   or  :    27   (3F) 4P ""","="""""
"=""4f12.(3F<4>).5d<5/2>""","=""""","=""7/2""","=""""","=""20.15473""","=""""","=""""","=""0.0726""","=""  34  (4,5/2)   or  :    27   (3F) 4D ""","="""""
"=""4f12.(3F<4>).5d<5/2>""","=""(4,5/2)""","=""9/2""","=""""","=""20.18542""","=""""","=""""","=""0.0307""","=""  56            or  :    35   (3F) 4F ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""""","=""7/2""","=""""","=""20.35823""","=""""","=""""","=""0.1728""","=""  37  (5,5/2)   or  :    18   (3F) 4H ""","="""""
"=""4f12.(3F<3>).5d<3/2>""","=""(3,3/2)""","=""3/2""","=""""","=""20.41596""","=""""","=""""","=""0.0577""","=""  47            or  :    42   (3F) 4D ""","="""""
"=""4f12.(3F<3>).5d<3/2>""","=""""","=""7/2""","=""""","=""20.65279""","=""""","=""""","=""0.2368""","=""  33  (3,3/2)   or  :    27   (3H) 4G ""","="""""
"=""4f12.(3H<5>).5d<5/2>""","=""""","=""5/2""","=""""","=""20.73292""","=""""","=""""","=""0.0801""","=""  42  (5,5/2)   or  :    40   (3H) 2F ""","="""""
"=""4f12.(3F<2>).5d<3/2>""","=""""","=""3/2""","=""""","=""20.83098""","=""""","=""""","=""0.0981""","=""  27  (2,3/2)   or  :    38   (3F) 2P ""","="""""
"=""4f12.(3F<2>).5d<3/2>""","=""""","=""7/2""","=""""","=""20.91239""","=""""","=""""","=""0.0814""","=""  41  (2,3/2)   or  :    30   (3F) 4H ""","="""""
"=""4f12.(3F<3>).5d<3/2>""","=""""","=""7/2""","=""""","=""21.08026""","=""""","=""""","=""0.1679""","=""  26  (3,3/2)   or  :    33   (3F) 2F ""","="""""
"=""4f12.(3F<3>).5d<3/2>""","=""""","=""9/2""","=""""","=""21.15649""","=""""","=""""","=""0.0762""","=""  42  (3,3/2)   or  :    24   (3F) 4H ""","="""""
"=""4f12.(3H<4>).5d<5/2>""","=""""","=""5/2""","=""""","=""21.20203""","=""""","=""""","=""0.0455""","=""  42  (4,5/2)   or  :    32   (3H) 4G ""","="""""
"=""4f12.(3H<4>).5d<5/2>""","=""""","=""3/2""","=""""","=""21.27240""","=""""","=""""","=""0.0704""","=""  40  (4,5/2)   or  :    40   (3H) 4F ""","="""""
"=""4f12.(3F<2>).5d<5/2>""","=""""","=""7/2""","=""""","=""21.42537""","=""""","=""""","=""0.1530""","=""  38  (2,5/2)   or  :    23   (3F) 2G ""","="""""
"=""4f12.(3F<3>).5d<5/2>""","=""(3,5/2)""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""  38            or  :    76   (3F) 4P ""","="""""
"=""4f12.(3F<3>).5d<5/2>""","=""(3,5/2)""","=""1/2""","=""""","=""""","=""""","=""""","=""""","=""  49            or  :    62   (3F) 4P ""","="""""
"=""4f12.(3F<3>).5d<5/2>""","=""(3,5/2)""","=""11/2""","=""""","=""""","=""""","=""""","=""""","=""  64            or  :    37   (3F) 4H ""","="""""
"=""4f12.(3F<3>).5d<5/2>""","=""(3,5/2)""","=""5/2""","=""""","=""21.51396""","=""""","=""""","=""""","=""  51            or  :    29   (3F) 4D ""","="""""
"=""4f12.(3F<3>).5d<5/2>""","=""(3,5/2)""","=""7/2""","=""""","=""21.60752""","=""?""","=""""","=""0.0936""","=""  75            or  :    34   (3F) 2G ""","="""""
"=""4f12.(3F<3>).5d<5/2>""","=""(3,5/2)""","=""9/2""","=""""","=""21.68572""","=""""","=""""","=""0.0782""","=""  61            or  :    30   (3F) 2H ""","="""""
"=""4f12.(1G<4>).5d<5/2>""","=""""","=""7/2""","=""""","=""21.77849""","=""""","=""""","=""0.0928""","=""  25  (4,5/2)   or  :    21   (3H) 4H ""","="""""
"=""4f12.(1G<4>).5d<3/2>""","=""""","=""9/2""","=""""","=""21.99385""","=""""","=""""","=""0.2154""","=""  37  (4,3/2)   or  :    25   (3H) 4I ""","="""""
"=""4f12.(3H<4>).5d<5/2>""","=""""","=""7/2""","=""""","=""22.55192""","=""""","=""""","=""0.5581""","=""  34  (4,5/2)   or  :    23   (3H) 4H ""","="""""
"=""4f12.(1G<4>).5d<5/2>""","=""""","=""5/2""","=""""","=""22.56824""","=""""","=""""","=""0.0163""","=""  26  (4,5/2)   or  :    33   (1G) 2F ""","="""""
"=""4f12.(3F<2>).5d<3/2>""","=""""","=""5/2""","=""""","=""22.76020""","=""""","=""""","=""0.1920""","=""  24  (2,3/2)   or  :    28   (3F) 2F ""","="""""
"=""4f12.(3H<4>).5d<5/2>""","=""""","=""9/2""","=""""","=""22.79668""","=""""","=""""","=""0.0365""","=""  42  (4,5/2)   or  :    21   (1G) 2G ""","="""""
"=""4f12.(1I<6>).5d<3/2>""","=""(6,3/2)""","=""9/2""","=""""","=""23.53172""","=""""","=""""","=""0.7350""","=""  74            or  :    78   (1I) 2G ""","="""""
"=""4f12.(1D<2>).5d<5/2>""","=""""","=""5/2""","=""""","=""23.68049""","=""""","=""""","=""0.1488""","=""  32  (2,5/2)   or  :    19   (1D) 2D ""","="""""
"=""4f12.(3P<0>).5d<3/2>""","=""(0,3/2)""","=""3/2""","=""""","=""24.10774""","=""""","=""""","=""0.4273""","=""  64            or  :    21   (3P) 4F ""","="""""
"=""4f12.(1I<6>).5d<5/2>""","=""(6,5/2)""","=""7/2""","=""""","=""24.23151""","=""""","=""""","=""0.1238""","=""  91            or  :    91   (1I) 2G ""","="""""
"=""4f12.(3P<1>).5d<3/2>""","=""(1,3/2)""","=""5/2""","=""""","=""24.38839""","=""""","=""""","=""0.1569""","=""  77            or  :    58   (3P) 4F ""","="""""
"=""4f12.(3P<0>).5d<5/2>""","=""""","=""5/2""","=""""","=""24.80034""","=""""","=""""","=""0.4119""","=""  42  (0,5/2)   or  :    47   (3P) 2D ""","="""""
"=""Lu VI (4f12.5p6 3H<6>)""","=""Limit""","=""---""","=""[""","=""66.8""","=""]""","=""0.3""","=""""","=""                                      ""","=""L4095"""
