Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p6.3s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                                    ""","=""L4995"""
"=""2p6.3p""","=""2P*""","=""1/2""","=""""","=""4.422431""","=""""","=""""","=""4.422431""","=""                                                    ""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","=""""","=""4.433784""","=""""","=""""","=""0.01135""","=""                                                    ""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","=""""","=""8.654711""","=""""","=""""","=""4.22093""","=""                                                    ""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","=""""","=""8.863654""","=""""","=""""","=""0.20894""","=""                                                    ""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","=""""","=""8.863762""","=""""","=""""","=""0.00011""","=""                                                    ""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","=""""","=""9.995544""","=""""","=""""","=""1.13178""","=""                                                    ""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","=""""","=""9.999328""","=""""","=""""","=""0.00378""","=""                                                    ""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","=""""","=""11.504557""","=""""","=""""","=""1.50523""","=""                                                    ""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","=""""","=""11.569039""","=""""","=""""","=""0.06448""","=""                                                    ""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","=""""","=""11.569103""","=""""","=""""","=""0.00006""","=""                                                    ""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","=""""","=""11.629672""","=""""","=""""","=""0.06057""","=""                                                    ""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","=""""","=""11.629687""","=""""","=""""","=""0.00002""","=""                                                    ""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","=""""","=""12.082895""","=""""","=""""","=""0.45321""","=""                                                    ""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","=""""","=""12.084606""","=""""","=""""","=""0.00171""","=""                                                    ""","="""""
"=""2p6.6s""","=""2S""","=""1/2""","=""""","=""12.794766""","=""""","=""""","=""0.71016""","=""                                                    ""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","=""""","=""12.822409""","=""""","=""""","=""0.02764""","=""                                                    ""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","=""""","=""12.822446""","=""""","=""""","=""0.00004""","=""                                                    ""","="""""
"=""2p6.5f""","=""2F*""","=""5/2""","=""""","=""12.855904""","=""""","=""""","=""0.03346""","=""                                                    ""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","=""""","=""12.855912""","=""""","=""""","=""0.00001""","=""                                                    ""","="""""
"=""2p6.5g""","=""2G""","=""7/2""","=""""","=""12.857863""","=""""","=""""","=""0.00195""","=""                                                    ""","="""""
"=""2p6.5g""","=""2G""","=""9/2""","=""""","=""12.857863""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.6p""","=""2P*""","=""1/2""","=""""","=""13.095501""","=""""","=""""","=""0.23764""","=""                                                    ""","="""""
"=""2p6.6p""","=""2P*""","=""3/2""","=""""","=""13.096416""","=""""","=""""","=""0.00091""","=""                                                    ""","="""""
"=""2p6.7s""","=""2S""","=""1/2""","=""""","=""13.487538""","=""""","=""""","=""0.39112""","=""                                                    ""","="""""
"=""2p6.6d""","=""2D""","=""5/2""","=""""","=""13.501882""","=""""","=""""","=""0.01434""","=""                                                    ""","="""""
"=""2p6.6d""","=""2D""","=""3/2""","=""""","=""13.501904""","=""""","=""""","=""0.00002""","=""                                                    ""","="""""
"=""2p6.6f""","=""2F*""","=""5/2""","=""""","=""13.522004""","=""""","=""""","=""0.02010""","=""                                                    ""","="""""
"=""2p6.6f""","=""2F*""","=""7/2""","=""""","=""13.522008""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.6g""","=""2G""","=""7/2""","=""""","=""13.523211""","=""""","=""""","=""0.00120""","=""                                                    ""","="""""
"=""2p6.6g""","=""2G""","=""9/2""","=""""","=""13.523211""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.6h""","=""2H*""","=""9/2""","=""""","=""13.523449""","=""""","=""""","=""0.00024""","=""                                                    ""","="""""
"=""2p6.6h""","=""2H*""","=""11/2""","=""""","=""13.523449""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.7p""","=""2P*""","=""1/2""","=""""","=""13.663503""","=""""","=""""","=""0.14005""","=""                                                    ""","="""""
"=""2p6.7p""","=""2P*""","=""3/2""","=""""","=""13.664049""","=""""","=""""","=""0.00055""","=""                                                    ""","="""""
"=""2p6.8s""","=""2S""","=""1/2""","=""""","=""13.902249""","=""""","=""""","=""0.23820""","=""                                                    ""","="""""
"=""2p6.7d""","=""2D""","=""5/2""","=""""","=""13.910661""","=""""","=""""","=""0.00841""","=""                                                    ""","="""""
"=""2p6.7d""","=""2D""","=""3/2""","=""""","=""13.910676""","=""""","=""""","=""0.00002""","=""                                                    ""","="""""
"=""2p6.7f""","=""2F*""","=""5/2""","=""""","=""13.923608""","=""""","=""""","=""0.01293""","=""                                                    ""","="""""
"=""2p6.7f""","=""2F*""","=""7/2""","=""""","=""13.923608""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.7g""","=""2G""","=""7/2""","=""""","=""13.924391""","=""""","=""""","=""0.00078""","=""                                                    ""","="""""
"=""2p6.7g""","=""2G""","=""9/2""","=""""","=""13.924391""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.7h""","=""2H*""","=""9/2""","=""""","=""13.924549""","=""""","=""""","=""0.00016""","=""                                                    ""","="""""
"=""2p6.7h""","=""2H*""","=""11/2""","=""""","=""13.924549""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.7i""","=""2I""","=""9/2 or 11/2 or 13/2""","=""""","=""13.924597""","=""""","=""""","=""0.00005""","=""                                                    ""","="""""
"=""2p6.8p""","=""2P*""","=""1/2""","=""""","=""14.013965""","=""""","=""""","=""0.08937""","=""                                                    ""","="""""
"=""2p6.8p""","=""2P*""","=""3/2""","=""""","=""14.014317""","=""""","=""""","=""0.00035""","=""                                                    ""","="""""
"=""2p6.9s""","=""2S""","=""1/2""","=""""","=""14.170075""","=""""","=""""","=""0.15576""","=""                                                    ""","="""""
"=""2p6.8d""","=""2D""","=""5/2""","=""""","=""14.175446""","=""""","=""""","=""0.00537""","=""                                                    ""","="""""
"=""2p6.8d""","=""2D""","=""3/2""","=""""","=""14.175453""","=""""","=""""","=""0.00001""","=""                                                    ""","="""""
"=""2p6.8f""","=""2F*""","=""5/2""","=""""","=""14.184232""","=""""","=""""","=""0.00878""","=""                                                    ""","="""""
"=""2p6.8f""","=""2F*""","=""7/2""","=""""","=""14.184232""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.8g""","=""2G""","=""7/2""","=""""","=""14.184769""","=""""","=""""","=""0.00054""","=""                                                    ""","="""""
"=""2p6.8g""","=""2G""","=""9/2""","=""""","=""14.184769""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.8h""","=""2H*""","=""9/2""","=""""","=""14.184876""","=""""","=""""","=""0.00011""","=""                                                    ""","="""""
"=""2p6.8h""","=""2H*""","=""11/2""","=""""","=""14.184876""","=""""","=""""","=""0.00000""","=""                                                    ""","="""""
"=""2p6.8i""","=""2I""","=""9/2 or 11/2 or 13/2""","=""""","=""14.184911""","=""""","=""""","=""0.00004""","=""                                                    ""","="""""
"=""2p6.9p""","=""2P*""","=""1/2""","=""""","=""14.245386""","=""""","=""""","=""0.06048""","=""                                                    ""","="""""
