Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p6""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                                   ""","=""L4995"""
"=""2s2.2p5.3s""","=""3P*""","=""2""","=""""","=""52.77267""","=""""","=""""","=""52.77267""","="" 100                                               ""","="""""
"=""2s2.2p5.3s""","=""3P*""","=""1""","=""""","=""52.92490""","=""""","=""""","=""0.1522""","=""  95             :     5  2p5.3s            1P*    ""","="""""
"=""2s2.2p5.3s""","=""3P*""","=""0""","=""""","=""53.04690""","=""""","=""""","=""0.1220""","="" 100                                               ""","="""""
"=""2s2.2p5.3s""","=""1P*""","=""1""","=""""","=""53.50290""","=""""","=""""","=""0.4560""","=""  95             :     5  2p5.3s            3P*    ""","="""""
"=""2s2.2p5.3p""","=""3S""","=""1""","=""""","=""57.94755""","=""""","=""""","=""4.4447""","=""  99                                               ""","="""""
"=""2s2.2p5.3p""","=""3D""","=""3""","=""""","=""58.77511""","=""""","=""""","=""0.8276""","="" 100                                               ""","="""""
"=""2s2.2p5.3p""","=""3D""","=""2""","=""""","=""58.84972""","=""""","=""""","=""0.0746""","=""  89                                               ""","="""""
"=""2s2.2p5.3p""","=""3D""","=""1""","=""""","=""58.95485""","=""""","=""""","=""0.1051""","=""  91                                               ""","="""""
"=""2s2.2p5.3p""","=""1D""","=""2""","=""""","=""59.19448""","=""""","=""""","=""0.2396""","=""  61             :    36  2p5.3p            3P     ""","="""""
"=""2s2.2p5.3p""","=""1P""","=""1""","=""""","=""59.31088""","=""""","=""""","=""0.1164""","=""  61             :    30  2p5.3p            3P     ""","="""""
"=""2s2.2p5.3p""","=""3P""","=""2""","=""""","=""59.36935""","=""""","=""""","=""0.0585""","=""  62             :    30  2p5.3p            1D     ""","="""""
"=""2s2.2p5.3p""","=""3P""","=""0""","=""""","=""59.42132""","=""""","=""""","=""0.0520""","="" 100                                               ""","="""""
"=""2s2.2p5.3p""","=""3P""","=""1""","=""""","=""59.44497""","=""""","=""""","=""0.0236""","=""  65             :    34  2p5.3p            1P     ""","="""""
"=""2s2.2p5.3p""","=""1S""","=""0""","=""""","=""61.49766""","=""""","=""""","=""2.0527""","="" 100                                               ""","="""""
"=""2s2.2p5.3d""","=""3P*""","=""0""","=""""","=""65.73372""","=""""","=""""","=""4.2361""","="" 100                                               ""","="""""
"=""2s2.2p5.3d""","=""3P*""","=""1""","=""""","=""65.76377""","=""""","=""""","=""0.0300""","=""  98                                               ""","="""""
"=""2s2.2p5.3d""","=""3P*""","=""2""","=""""","=""65.83101""","=""""","=""""","=""0.0672""","=""  93                                               ""","="""""
"=""2s2.2p5.3d""","=""3F*""","=""4""","=""""","=""65.90541""","=""""","=""""","=""0.0744""","="" 100                                               ""","="""""
"=""2s2.2p5.3d""","=""3F*""","=""3""","=""""","=""65.93890""","=""""","=""""","=""0.0335""","=""  68             :    32  2p5.3d            1F*    ""","="""""
