Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""                                                   ""","=""L4995"""
"=""2s2.2p5""","=""2P*""","=""1/2""","=""""","=""0.2762""","=""""","=""""","=""0.2762""","=""                                                   ""","="""""
"=""2s.2p6""","=""2S""","=""1/2""","=""""","=""38.6250""","=""""","=""""","=""38.349""","=""  99             :     1  2p4.(1D).3d        2S    ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""""","=""67.41274""","=""""","=""""","=""28.7877""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""""","=""67.58845""","=""""","=""""","=""0.1757""","=""  99             :     1  2s2.2p4.(3P).3s    2P    ""","="""""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""""","=""67.68984""","=""""","=""""","=""0.1014""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""""","=""68.64585""","=""""","=""""","=""0.9560""","=""  99             :     1  2s2.2p4.(3P).3s    4P    ""","="""""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""","=""""","=""68.85362""","=""""","=""""","=""0.2078""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""","=""""","=""72.22853""","=""""","=""""","=""3.3749""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""","=""""","=""72.23052""","=""""","=""""","=""0.0020""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""""","=""73.95928""","=""""","=""""","=""1.7288""","=""  99             :     1  2s2.2p4.(3P).3p    4D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""","=""""","=""74.02671""","=""""","=""""","=""0.0674""","=""  99             :     1  2s2.2p4.(3P).3p    4D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""","=""""","=""74.09092""","=""""","=""""","=""0.0642""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""""","=""74.77959""","=""""","=""""","=""0.6887""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""""","=""74.88684""","=""""","=""""","=""0.1073""","=""  96             :     3  2s2.2p4.(3P).3p    2D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""","=""""","=""74.96864""","=""""","=""""","=""0.0818""","=""  98             :     1  2s2.2p4.(3P).3p    2D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""","=""""","=""75.01459""","=""""","=""""","=""0.0460""","="" 100                                               ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""","=""""","=""75.36897""","=""""","=""""","=""0.3544""","=""  97             :     3  2s2.2p4.(3P).3p    4D*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""","=""""","=""75.54429""","=""""","=""""","=""0.1753""","=""  96             :     3  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""*""","=""1/2""","=""""","=""75.75226""","=""o""","=""""","=""0.2080""","=""  43  2P*        :    41  2s2.2p4.(3P).3p    2S*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""","=""""","=""75.90714""","=""""","=""""","=""0.1549""","=""  93             :     4  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""","=""""","=""75.94052""","=""""","=""""","=""0.0334""","=""  69             :    20  2s2.2p4.(1D).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3p""","=""*""","=""1/2""","=""""","=""75.99531""","=""o""","=""""","=""0.0548""","=""  58  2S*        :    31  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(1S).3s""","=""2S""","=""1/2""","=""""","=""77.37973""","=""""","=""""","=""1.3844""","=""  99             :     1  2s2.2p4.(1D).3d    2S    ""","="""""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""","=""""","=""79.08700""","=""""","=""""","=""1.7073""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""","=""""","=""79.11592""","=""""","=""""","=""0.0289""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3p""","=""2D*""","=""3/2""","=""""","=""79.92560""","=""""","=""""","=""0.8097""","=""  99             :     1  2s2.2p4.(1D).3p    2P*   ""","="""""
"=""2s2.2p4.(1D).3p""","=""2D*""","=""5/2""","=""""","=""79.94332""","=""""","=""""","=""0.0177""","="" 100                                               ""","="""""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""3/2""","=""""","=""80.59737""","=""""","=""""","=""0.6540""","=""  76             :    24  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""1/2""","=""""","=""80.72536""","=""""","=""""","=""0.1280""","=""  75             :    25  2s2.2p4.(3P).3p    2P*   ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""7/2""","=""""","=""83.16688""","=""""","=""""","=""2.4415""","=""  98             :     2  2s2.2p4.(3P).3d    4F    ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""","=""""","=""83.19697""","=""""","=""""","=""0.0301""","=""  97             :     1  2s2.2p4.(3P).3d    4F    ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""3/2""","=""""","=""83.23358""","=""""","=""""","=""0.0366""","=""  98             :     1  2s2.2p4.(3P).3d    4P    ""","="""""
"=""2s2.2p4.(3P).3d""","=""4D""","=""1/2""","=""""","=""83.26399""","=""""","=""""","=""0.0304""","=""  99                                               ""","="""""
