Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                            ""","=""L4995"""
"=""2s2.2p4""","=""3P""","=""1""","=""""","=""0.22108""","=""""","=""""","=""0.22108""","=""                                            ""","="""""
"=""2s2.2p4""","=""3P""","=""0""","=""""","=""0.31266""","=""""","=""""","=""0.0916""","=""                                            ""","="""""
"=""2s2.2p4""","=""1D""","=""2""","=""""","=""4.4543""","=""""","=""""","=""4.1416""","=""                                            ""","="""""
"=""2s2.2p4""","=""1S""","=""0""","=""""","=""9.5814""","=""""","=""""","=""5.127""","=""                                            ""","="""""
"=""2s.2p5""","=""3P*""","=""2""","=""""","=""35.11385""","=""""","=""""","=""25.5324""","="" 100                                        ""","="""""
"=""2s.2p5""","=""3P*""","=""1""","=""""","=""35.31421""","=""""","=""""","=""0.2004""","="" 100                                        ""","="""""
"=""2s.2p5""","=""3P*""","=""0""","=""""","=""35.42377""","=""""","=""""","=""0.1096""","="" 100                                        ""","="""""
"=""2s.2p5""","=""1P*""","=""1""","=""""","=""49.2815""","=""""","=""""","=""13.8577""","="" 100                                        ""","="""""
"=""2p6""","=""1S""","=""0""","=""""","=""82.198""","=""""","=""""","=""32.916""","=""                                            ""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""""","=""84.8723""","=""""","=""""","=""2.674""","="" 100                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""""","=""90.2285""","=""""","=""""","=""5.356""","="" 100                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""""","=""90.2311""","=""""","=""""","=""0.003""","=""  99                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""""","=""90.2335""","=""""","=""""","=""0.002""","=""  99                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""""","=""91.1961""","=""""","=""""","=""0.963""","=""  99                                        ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""","=""""","=""93.7996""","=""""","=""""","=""2.603""","=""  99         :     1  2s2.2p3.(2D*).3d 3P*  ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""","=""""","=""93.8022""","=""""","=""""","=""0.003""","=""  99         :     1  2s2.2p3.(2D*).3d 3P*  ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""","=""""","=""93.8115""","=""""","=""""","=""0.009""","=""  98         :     1  2s2.2p3.(2D*).3d 3P*  ""","="""""
"=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""","=""""","=""94.8018""","=""""","=""""","=""0.990""","=""  98         :     1  2s2.2p3.(2D*).3d 1P*  ""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""","=""""","=""101.9118""","=""""","=""""","=""7.110""","=""  98         :     2  2s2.2p3.(2D*).3d 3D*  ""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""","=""""","=""101.9136""","=""""","=""""","=""0.002""","=""  98         :     2  2s2.2p3.(2D*).3d 3D*  ""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""","=""""","=""101.9232""","=""""","=""""","=""0.010""","=""  98         :     2  2s2.2p3.(2D*).3d 3D*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""3""","=""""","=""108.0170""","=""""","=""""","=""6.094""","=""  98         :     2  2s2.2p3.(4S*).3d 3D*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""2""","=""""","=""108.0345""","=""""","=""""","=""0.017""","=""  98         :     2  2s2.2p3.(4S*).3d 3D*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""3D*""","=""1""","=""""","=""108.039""","=""""","=""""","=""0.005""","=""  97         :     2  2s2.2p3.(4S*).3d 3D*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""1P*""","=""1""","=""""","=""108.2947""","=""""","=""""","=""0.256""","=""  94         :     3  2s2.2p3.(2P*).3d 1P*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""3P*""","=""2""","=""""","=""108.7087""","=""""","=""""","=""0.414""","=""  96         :     2  2s2.2p3.(2P*).3d 3P*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""3P*""","=""1""","=""""","=""108.7692""","=""""","=""""","=""0.061""","=""  94         :     4  2s2.2p3.(2D*).3d 3S*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""3P*""","=""0""","=""""","=""108.7915""","=""""","=""""","=""0.022""","=""  99         :     1  2s2.2p3.(2P*).3s 3P*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""1D*""","=""2""","=""""","=""108.8099""","=""""","=""""","=""0.018""","=""  89         :    10  2s2.2p3.(2P*).3d 1D*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""3S*""","=""1""","=""""","=""109.0460""","=""""","=""""","=""0.236""","=""  96         :     4  2s2.2p3.(2D*).3d 3P*  ""","="""""
"=""2s2.2p3.(2D*).3d""","=""1F*""","=""3""","=""""","=""109.4521""","=""""","=""""","=""0.406""","=""  99         :     1  2s2.2p3.(2P*).3d 1F*  ""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""0""","=""""","=""111.4317""","=""""","=""""","=""1.980""","="" 100                                        ""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""1""","=""""","=""111.4571""","=""""","=""""","=""0.025""","=""  99         :     1  2s2.2p3.(2D*).3d 3P*  ""","="""""
"=""2s2.2p3.(2P*).3d""","=""3P*""","=""2""","=""""","=""111.5075""","=""""","=""""","=""0.050""","=""  97         :     2  2s2.2p3.(2D*).3d 3P*  ""","="""""
"=""2s2.2p3.(2P*).3d""","=""1D*""","=""2""","=""""","=""111.7685""","=""""","=""""","=""0.261""","=""  77         :    14  2s2.2p3.(2P*).3d 3D*  ""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""3""","=""""","=""111.8526""","=""""","=""""","=""0.084""","=""  98                                        ""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""2""","=""""","=""111.8969""","=""""","=""""","=""0.044""","=""  85         :    11  2s2.2p3.(2P*).3d 1D*  ""","="""""
"=""2s2.2p3.(2P*).3d""","=""3D*""","=""1""","=""""","=""111.9287""","=""""","=""""","=""0.032""","=""  99         :     1  2s2.2p3.(2P*).3d 1D*  ""","="""""
"=""2s2.2p3.(2P*).3d""","=""1F*""","=""3""","=""""","=""112.252""","=""""","=""""","=""0.323""","=""  99         :     1  2s2.2p3.(2D*).3d 1F*  ""","="""""
"=""2s2.2p3.(4S*).4s""","=""3S*""","=""1""","=""""","=""112.919""","=""""","=""""","=""0.67""","=""                                            ""","="""""
"=""2s2.2p3.(2P*).3d""","=""1P*""","=""1""","=""""","=""113.38""","=""""","=""""","=""0.46""","=""  97         :     3  2s2.2p3.(2D*).3d 1P*  ""","="""""
"=""2s.2p4.(4P).3s""","=""3P""","=""2""","=""""","=""116.6008""","=""""","=""""","=""3.22""","=""                                            ""","="""""
"=""2s.2p4.(4P).3s""","=""3P""","=""1""","=""""","=""116.7862""","=""""","=""""","=""0.185""","=""                                            ""","="""""
"=""2s.2p4.(4P).3s""","=""3P""","=""0""","=""""","=""116.8717""","=""""","=""""","=""0.086""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4s""","=""3D*""","=""3""","=""""","=""119.2821""","=""""","=""""","=""2.410""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4s""","=""3D*""","=""2""","=""""","=""119.2856""","=""""","=""""","=""0.004""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4s""","=""3D*""","=""1""","=""""","=""119.2869""","=""""","=""""","=""0.001""","=""                                            ""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""","=""""","=""119.3233""","=""""","=""""","=""0.036""","=""                                            ""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""""","=""119.3233""","=""""","=""""","=""0.000""","=""                                            ""","="""""
"=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","=""""","=""119.3280""","=""""","=""""","=""0.005""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4s""","=""1D*""","=""2""","=""""","=""119.6244""","=""""","=""""","=""0.296""","=""                                            ""","="""""
"=""2s2.2p3.(2P*).4s""","=""3P*""","=""0""","=""""","=""122.82""","=""?""","=""""","=""3.20""","=""                                            ""","="""""
"=""2s2.2p3.(2P*).4s""","=""3P*""","=""1""","=""""","=""122.82""","=""?""","=""""","=""0.0""","=""                                            ""","="""""
"=""2s2.2p3.(2P*).4s""","=""3P*""","=""2""","=""""","=""122.82""","=""?""","=""""","=""0.0""","=""                                            ""","="""""
"=""2s2.2p3.(2P*).4s""","=""1P*""","=""1""","=""""","=""123.1596""","=""""","=""""","=""0.34""","=""                                            ""","="""""
"=""2s.2p4.(4P).3p?""","=""*""","=""1""","=""""","=""124.4692""","=""""","=""""","=""1.310""","=""                                            ""","="""""
"=""2s.2p4.(4P).3p?""","=""*""","=""2""","=""""","=""124.4692""","=""""","=""""","=""0.000""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4d""","=""3D*""","=""3""","=""""","=""125.7000""","=""""","=""""","=""1.231""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4d""","=""3D*""","=""2""","=""""","=""125.7072""","=""""","=""""","=""0.007""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4d""","=""3D*""","=""1""","=""""","=""125.7114""","=""""","=""""","=""0.004""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4d""","=""1P*""","=""1""","=""""","=""125.9202""","=""""","=""""","=""0.209""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4d""","=""3P*""","=""0""","=""""","=""""","=""""","=""""","=""""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""","=""""","=""126.169""","=""""","=""""","=""""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""","=""""","=""126.22""","=""""","=""""","=""0.05""","=""                                            ""","="""""
