Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d5""","=""a 6S""","=""5/2""","=""""","=""0.000000""","=""""","=""0""","=""""","="" 100                                         ""","=""L7185"""
"=""3d5""","=""a 4G""","=""11/2""","=""""","=""3.325802""","=""""","=""""","=""3.325802""","="" 100                                         ""","="""""
"=""3d5""","=""a 4G""","=""9/2""","=""""","=""3.329112""","=""""","=""""","=""0.00331""","="" 100                                         ""","="""""
"=""3d5""","=""a 4G""","=""5/2""","=""""","=""3.329943""","=""""","=""""","=""0.00083""","="" 100                                         ""","="""""
"=""3d5""","=""a 4G""","=""7/2""","=""""","=""3.330203""","=""""","=""""","=""0.00026""","="" 100                                         ""","="""""
"=""3d5""","=""a 4P""","=""5/2""","=""""","=""3.616334""","=""""","=""""","=""0.28613""","=""  97                                         ""","="""""
"=""3d5""","=""a 4P""","=""3/2""","=""""","=""3.621244""","=""""","=""""","=""0.00491""","=""  98                                         ""","="""""
"=""3d5""","=""a 4P""","=""1/2""","=""""","=""3.625472""","=""""","=""""","=""0.00423""","=""  99                                         ""","="""""
"=""3d5""","=""a 4D""","=""7/2""","=""""","=""4.005595""","=""""","=""""","=""0.38012""","="" 100                                         ""","="""""
"=""3d5""","=""a 4D""","=""1/2""","=""""","=""4.01323""","=""""","=""""","=""0.00764""","=""  99                                         ""","="""""
"=""3d5""","=""a 4D""","=""5/2""","=""""","=""4.015067""","=""""","=""""","=""0.00184""","=""  97                                         ""","="""""
"=""3d5""","=""a 4D""","=""3/2""","=""""","=""4.015191""","=""""","=""""","=""0.00012""","=""  98                                         ""","="""""
"=""3d5""","=""a 2I""","=""11/2""","=""""","=""4.85701""","=""""","=""""","=""0.84182""","=""  99                                         ""","="""""
"=""3d5""","=""a 2I""","=""13/2""","=""""","=""4.85727""","=""""","=""""","=""0.0003""","="" 100                                         ""","="""""
"=""3d5""","=""a 2D3""","=""5/2""","=""""","=""5.11287""","=""""","=""""","=""0.2556""","=""  58             :    22  3d5           2F1  ""","="""""
"=""3d5""","=""a 2D3""","=""3/2""","=""""","=""5.15400""","=""""","=""""","=""0.0411""","=""  73             :    24  3d5           2D1  ""","="""""
"=""3d5""","=""a 2F1""","=""7/2""","=""""","=""5.28253""","=""""","=""""","=""0.1285""","=""  98                                         ""","="""""
"=""3d5""","=""a 2F1""","=""5/2""","=""""","=""5.34439""","=""""","=""""","=""0.0619""","=""  72             :    14  3d5           2D3  ""","="""""
"=""3d5""","=""a 4F""","=""9/2""","=""""","=""5.402383""","=""""","=""""","=""0.05799""","=""  99                                         ""","="""""
"=""3d5""","=""a 4F""","=""7/2""","=""""","=""5.406021""","=""""","=""""","=""0.00364""","=""  99                                         ""","="""""
"=""3d5""","=""a 4F""","=""5/2""","=""""","=""5.414246""","=""""","=""""","=""0.00823""","=""  90                                         ""","="""""
"=""3d5""","=""a 4F""","=""3/2""","=""""","=""5.41497""","=""""","=""""","=""0.00072""","=""  96                                         ""","="""""
"=""3d5""","=""a 2H""","=""9/2""","=""""","=""5.76724""","=""""","=""""","=""0.3523""","=""  92                                         ""","="""""
"=""3d5""","=""a 2H""","=""11/2""","=""""","=""5.78643""","=""""","=""""","=""0.0192""","=""  99                                         ""","="""""
"=""3d5""","=""a 2G2""","=""7/2""","=""""","=""5.93165""","=""""","=""""","=""0.1452""","=""  99                                         ""","="""""
"=""3d5""","=""a 2G2""","=""9/2""","=""""","=""5.95189""","=""""","=""""","=""0.0202""","=""  91                                         ""","="""""
"=""3d5""","=""b 2F2""","=""5/2""","=""""","=""6.32353""","=""""","=""""","=""0.3716""","=""  99                                         ""","="""""
"=""3d5""","=""b 2F2""","=""7/2""","=""""","=""6.33060""","=""""","=""""","=""0.0071""","=""  99                                         ""","="""""
"=""3d5""","=""a 2S""","=""1/2""","=""""","=""6.90316""","=""""","=""""","=""0.5726""","="" 100                                         ""","="""""
"=""3d5""","=""b 2D2""","=""3/2""","=""""","=""7.63497""","=""""","=""""","=""0.7318""","="" 100                                         ""","="""""
"=""3d5""","=""b 2D2""","=""5/2""","=""""","=""7.63790""","=""""","=""""","=""0.0029""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""a 6D""","=""1/2""","=""""","=""7.743680""","=""""","=""""","=""0.10578""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""a 6D""","=""3/2""","=""""","=""7.757453""","=""""","=""""","=""0.01377""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""a 6D""","=""5/2""","=""""","=""7.779698""","=""""","=""""","=""0.02224""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""a 6D""","=""7/2""","=""""","=""7.809631""","=""""","=""""","=""0.02993""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""a 6D""","=""9/2""","=""""","=""7.846386""","=""""","=""""","=""0.03675""","="" 100                                         ""","="""""
"=""3d5""","=""b 2G1""","=""7/2""","=""""","=""8.541519""","=""""","=""""","=""0.69513""","="" 100                                         ""","="""""
"=""3d5""","=""b 2G1""","=""9/2""","=""""","=""8.542412""","=""""","=""""","=""0.00089""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""b 4D""","=""1/2""","=""""","=""8.851885""","=""""","=""""","=""0.30947""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""b 4D""","=""3/2""","=""""","=""8.872831""","=""""","=""""","=""0.02095""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""b 4D""","=""5/2""","=""""","=""8.906030""","=""""","=""""","=""0.03320""","="" 100                                         ""","="""""
"=""3d4.(5D).4s""","=""b 4D""","=""7/2""","=""""","=""8.949592""","=""""","=""""","=""0.04356""","="" 100                                         ""","="""""
"=""3d5""","=""a 2P""","=""3/2""","=""""","=""10.31251""","=""""","=""""","=""1.36292""","="" 100                                         ""","="""""
"=""3d5""","=""a 2P""","=""1/2""","=""""","=""10.31908""","=""""","=""""","=""0.0066""","="" 100                                         ""","="""""
"=""3d4.(3P2).4s""","=""b 4P""","=""1/2""","=""""","=""10.490369""","=""""","=""""","=""0.17129""","=""  61             :    38  3d4.(3P1).4s  4P   ""","="""""
"=""3d4.(3P2).4s""","=""b 4P""","=""3/2""","=""""","=""10.560215""","=""""","=""""","=""0.06985""","=""  61             :    38  3d4.(3P1).4s  4P   ""","="""""
"=""3d4.(3P2).4s""","=""b 4P""","=""5/2""","=""""","=""10.669026""","=""""","=""""","=""0.10881""","=""  62             :    38  3d4.(3P1).4s  4P   ""","="""""
"=""3d4.(3H).4s""","=""a 4H""","=""7/2""","=""""","=""10.536379""","=""""","=""""","=""-0.13265""","="" 100                                         ""","="""""
"=""3d4.(3H).4s""","=""a 4H""","=""9/2""","=""""","=""10.548215""","=""""","=""""","=""0.01184""","="" 100                                         ""","="""""
"=""3d4.(3H).4s""","=""a 4H""","=""11/2""","=""""","=""10.563548""","=""""","=""""","=""0.01533""","=""  94             :     6  3d4.(3G).4s   4H   ""","="""""
"=""3d4.(3H).4s""","=""a 4H""","=""13/2""","=""""","=""10.581645""","=""""","=""""","=""0.01810""","="" 100                                         ""","="""""
"=""3d4.(3F2).4s""","=""b 4F""","=""3/2""","=""""","=""10.722993""","=""""","=""""","=""0.14135""","=""  79             :    20  3d4.(3F1).4s  4F   ""","="""""
"=""3d4.(3F2).4s""","=""b 4F""","=""5/2""","=""""","=""10.727229""","=""""","=""""","=""0.00424""","=""  79             :    20  3d4.(3F1).4s  4F   ""","="""""
"=""3d4.(3F2).4s""","=""b 4F""","=""7/2""","=""""","=""10.734334""","=""""","=""""","=""0.00711""","=""  79             :    19  3d4.(3F1).4s  4F   ""","="""""
