Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d4""","=""a 5D""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                        ""","=""L7185"""
"=""3d4""","=""a 5D""","=""1""","=""""","=""0.01227""","=""""","=""""","=""0.01227""","=""                                        ""","="""""
"=""3d4""","=""a 5D""","=""2""","=""""","=""0.03556""","=""""","=""""","=""0.0233""","=""                                        ""","="""""
"=""3d4""","=""a 5D""","=""3""","=""""","=""0.06846""","=""""","=""""","=""0.0329""","=""                                        ""","="""""
"=""3d4""","=""a 5D""","=""4""","=""""","=""0.10983""","=""""","=""""","=""0.0414""","=""                                        ""","="""""
"=""3d4""","=""a 3P""","=""0""","=""""","=""2.56079""","=""""","=""""","=""2.4510""","=""                                        ""","="""""
"=""3d4""","=""a 3P""","=""1""","=""""","=""2.63823""","=""""","=""""","=""0.0774""","=""                                        ""","="""""
"=""3d4""","=""a 3P""","=""2""","=""""","=""2.76791""","=""""","=""""","=""0.1297""","=""                                        ""","="""""
"=""3d4""","=""a 3H""","=""4""","=""""","=""2.63847""","=""""","=""""","=""-0.1294""","=""                                        ""","="""""
"=""3d4""","=""a 3H""","=""5""","=""""","=""2.66254""","=""""","=""""","=""0.0241""","=""                                        ""","="""""
"=""3d4""","=""a 3H""","=""6""","=""""","=""2.68789""","=""""","=""""","=""0.0253""","=""                                        ""","="""""
"=""3d4""","=""a 3F""","=""2""","=""""","=""2.82572""","=""""","=""""","=""0.1378""","=""                                        ""","="""""
"=""3d4""","=""a 3F""","=""3""","=""""","=""2.83456""","=""""","=""""","=""0.0088""","=""                                        ""","="""""
"=""3d4""","=""a 3F""","=""4""","=""""","=""2.84657""","=""""","=""""","=""0.0120""","=""                                        ""","="""""
"=""3d4""","=""a 3G""","=""3""","=""""","=""3.15421""","=""""","=""""","=""0.3076""","=""                                        ""","="""""
"=""3d4""","=""a 3G""","=""4""","=""""","=""3.18277""","=""""","=""""","=""0.0286""","=""                                        ""","="""""
"=""3d4""","=""a 3G""","=""5""","=""""","=""3.20843""","=""""","=""""","=""0.0257""","=""                                        ""","="""""
"=""3d4""","=""a 3D""","=""3""","=""""","=""3.89127""","=""""","=""""","=""0.6828""","=""                                        ""","="""""
"=""3d4""","=""a 3D""","=""2""","=""""","=""3.90222""","=""""","=""""","=""0.0109""","=""                                        ""","="""""
"=""3d4""","=""a 3D""","=""1""","=""""","=""3.91551""","=""""","=""""","=""0.0133""","=""                                        ""","="""""
"=""3d4""","=""b 3F""","=""4""","=""""","=""6.59748""","=""""","=""""","=""2.6820""","=""                                        ""","="""""
"=""3d4""","=""b 3F""","=""2""","=""""","=""6.60349""","=""""","=""""","=""0.0060""","=""                                        ""","="""""
"=""3d4""","=""b 3F""","=""3""","=""""","=""6.60671""","=""""","=""""","=""0.0032""","=""                                        ""","="""""
