Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3d3""","=""4F""","=""3/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                   ""","=""L7185"""
"=""3d3""","=""4F""","=""5/2""","=""""","=""0.04451""","=""""","=""""","=""0.04451""","="" 100                                   ""","="""""
"=""3d3""","=""4F""","=""7/2""","=""""","=""0.10354""","=""""","=""""","=""0.0590""","="" 100                                   ""","="""""
"=""3d3""","=""4F""","=""9/2""","=""""","=""0.17509""","=""""","=""""","=""0.0716""","="" 100                                   ""","="""""
"=""3d3""","=""4P""","=""1/2""","=""""","=""2.03756""","=""""","=""""","=""1.8625""","="" 100                                   ""","="""""
"=""3d3""","=""4P""","=""3/2""","=""""","=""2.05747""","=""""","=""""","=""0.0199""","=""  98                                   ""","="""""
"=""3d3""","=""4P""","=""5/2""","=""""","=""2.11376""","=""""","=""""","=""0.0563""","="" 100                                   ""","="""""
"=""3d3""","=""2G""","=""7/2""","=""""","=""2.21837""","=""""","=""""","=""0.1046""","="" 100                                   ""","="""""
"=""3d3""","=""2G""","=""9/2""","=""""","=""2.28116""","=""""","=""""","=""0.0628""","=""  98                                   ""","="""""
"=""3d3""","=""2P""","=""3/2""","=""""","=""2.84157""","=""""","=""""","=""0.5604""","=""  64         :    27  3d3         2D2  ""","="""""
"=""3d3""","=""2P""","=""1/2""","=""""","=""2.86175""","=""""","=""""","=""0.0202""","="" 100                                   ""","="""""
"=""3d3""","=""2D2""","=""5/2""","=""""","=""3.05373""","=""""","=""""","=""0.1920""","=""  79         :    20  3d3         2D1  ""","="""""
"=""3d3""","=""2D2""","=""3/2""","=""""","=""3.05875""","=""""","=""""","=""0.0050""","=""  50         :    35  3d3         2P   ""","="""""
"=""3d3""","=""2H""","=""9/2""","=""""","=""3.09648""","=""""","=""""","=""0.0377""","=""  98                                   ""","="""""
"=""3d3""","=""2H""","=""11/2""","=""""","=""3.14099""","=""""","=""""","=""0.0445""","="" 100                                   ""","="""""
"=""3d3""","=""2F""","=""7/2""","=""""","=""5.01185""","=""""","=""""","=""1.8709""","="" 100                                   ""","="""""
"=""3d3""","=""2F""","=""5/2""","=""""","=""5.04704""","=""""","=""""","=""0.0352""","="" 100                                   ""","="""""
"=""3d3""","=""2D1""","=""5/2""","=""""","=""7.76243""","=""""","=""""","=""2.7154""","=""  79         :    20  3d3         2D2  ""","="""""
