Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4d4""","=""5D""","=""0""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  98             :     1  4d4          3P1  ""","=""L10502"""
"=""4d4""","=""5D""","=""1""","=""""","=""0.030009""","=""""","=""""","=""0.030009""","=""  99             :     1  4d4          3P1  ""","="""""
"=""4d4""","=""5D""","=""2""","=""""","=""0.082851""","=""""","=""""","=""0.05284""","=""  99                                        ""","="""""
"=""4d4""","=""5D""","=""3""","=""""","=""0.151752""","=""""","=""""","=""0.06890""","="" 100                                        ""","="""""
"=""4d4""","=""5D""","=""4""","=""""","=""0.232137""","=""""","=""""","=""0.08039""","=""  99             :     1  4d4          3F2  ""","="""""
"=""4d4""","=""3P2""","=""0""","=""""","=""1.382325""","=""""","=""""","=""1.15019""","=""  58             :    35  4d4          3P1  ""","="""""
"=""4d4""","=""3P2""","=""1""","=""""","=""1.551083""","=""""","=""""","=""0.16876""","=""  62             :    34  4d4          3P1  ""","="""""
"=""4d4""","=""3P2""","=""2""","=""""","=""1.780111""","=""""","=""""","=""0.22903""","=""  63             :    32  4d4          3P1  ""","="""""
"=""4d4""","=""3H""","=""4""","=""""","=""1.572070""","=""""","=""""","=""-0.20804""","=""  84             :     7  4d4          3G   ""","="""""
"=""4d4""","=""3H""","=""5""","=""""","=""1.645953""","=""""","=""""","=""0.07388""","=""  93             :     6  4d4          3G   ""","="""""
"=""4d4""","=""3H""","=""6""","=""""","=""1.712369""","=""""","=""""","=""0.06642""","=""  98             :     2  4d4          1I   ""","="""""
"=""4d4""","=""3F2""","=""2""","=""""","=""1.726939""","=""""","=""""","=""0.01457""","=""  75             :    21  4d4          3F1  ""","="""""
"=""4d4""","=""3F2""","=""3""","=""""","=""1.729353""","=""""","=""""","=""0.00241""","=""  61             :    20  4d4          3G   ""","="""""
"=""4d4""","=""3F2""","=""4""","=""""","=""1.772490""","=""""","=""""","=""0.04314""","=""  63             :    14  4d4          3F1  ""","="""""
"=""4d4""","=""3G""","=""3""","=""""","=""1.967778""","=""""","=""""","=""0.19529""","=""  79             :    17  4d4          3F2  ""","="""""
"=""4d4""","=""3G""","=""4""","=""""","=""2.018805""","=""""","=""""","=""0.05103""","=""  81             :    10  4d4          3F2  ""","="""""
"=""4d4""","=""3G""","=""5""","=""""","=""2.072319""","=""""","=""""","=""0.05351""","=""  93             :     6  4d4          3H   ""","="""""
"=""4d4""","=""3D""","=""3""","=""""","=""2.416178""","=""""","=""""","=""0.34386""","=""  97             :     1  4d4          3D2  ""","="""""
"=""4d4""","=""3D""","=""2""","=""""","=""2.427196""","=""""","=""""","=""0.01102""","=""  89             :     5  4d4          1D2  ""","="""""
"=""4d4""","=""1I""","=""6""","=""""","=""2.515668""","=""""","=""""","=""0.08847""","=""  98             :     2  4d4          3H   ""","="""""
