Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2s2.2p2""","=""3P""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L7288"""
"=""2s2.2p2""","=""3P""","=""1""","=""""","=""0.00604""","=""""","=""""","=""0.00604""","="""""
"=""2s2.2p2""","=""3P""","=""2""","=""""","=""0.01622""","=""""","=""""","=""0.0102""","="""""
"=""2s2.2p2""","=""1D""","=""2""","=""""","=""1.89897""","=""""","=""""","=""1.8828""","="""""
"=""2s2.2p2""","=""1S""","=""0""","=""""","=""4.05289""","=""""","=""""","=""2.1539""","="""""
"=""2s.2p3""","=""5S*""","=""2""","=""""","=""5.80055""","=""""","=""""","=""1.7477""","="""""
"=""2s.2p3""","=""3D*""","=""3""","=""""","=""11.43596""","=""""","=""""","=""5.6354""","="""""
"=""2s.2p3""","=""3D*""","=""2""","=""""","=""11.43758""","=""""","=""""","=""0.0016""","="""""
"=""2s.2p3""","=""3D*""","=""1""","=""""","=""11.43777""","=""""","=""""","=""0.0002""","="""""
"=""2s.2p3""","=""3P*""","=""1""","=""""","=""13.54113""","=""""","=""""","=""2.1034""","="""""
"=""2s.2p3""","=""3P*""","=""2""","=""""","=""13.54126""","=""""","=""""","=""0.0001""","="""""
"=""2s.2p3""","=""3P*""","=""0""","=""""","=""13.54199""","=""""","=""""","=""0.0007""","="""""
"=""2s.2p3""","=""1D*""","=""2""","=""""","=""17.877026""","=""""","=""""","=""4.33504""","="""""
"=""2s2.2p.3s""","=""3P*""","=""0""","=""""","=""18.462312""","=""""","=""""","=""0.58529""","="""""
"=""2s2.2p.3s""","=""3P*""","=""1""","=""""","=""18.466228""","=""""","=""""","=""0.00392""","="""""
"=""2s2.2p.3s""","=""3P*""","=""2""","=""""","=""18.483133""","=""""","=""""","=""0.01690""","="""""
"=""2s2.2p.3s""","=""1P*""","=""1""","=""""","=""18.496930""","=""""","=""""","=""0.01380""","="""""
"=""2s.2p3""","=""3S*""","=""1""","=""""","=""19.233263""","=""""","=""""","=""0.73633""","="""""
"=""2s2.2p.3p""","=""1P""","=""1""","=""""","=""20.409133""","=""""","=""""","=""1.17587""","="""""
"=""2s2.2p.3p""","=""3D""","=""1""","=""""","=""20.646058""","=""""","=""""","=""0.23692""","="""""
"=""2s2.2p.3p""","=""3D""","=""2""","=""""","=""20.653592""","=""""","=""""","=""0.00753""","="""""
"=""2s2.2p.3p""","=""3D""","=""3""","=""""","=""20.665518""","=""""","=""""","=""0.01193""","="""""
"=""2s.2p3""","=""1P*""","=""1""","=""""","=""20.676307""","=""""","=""""","=""0.01079""","="""""
"=""2s2.2p.3p""","=""3S""","=""1""","=""""","=""20.939965""","=""""","=""""","=""0.26366""","="""""
"=""2s2.2p.3p""","=""3P""","=""0""","=""""","=""21.148308""","=""""","=""""","=""0.20834""","="""""
"=""2s2.2p.3p""","=""3P""","=""1""","=""""","=""21.152682""","=""""","=""""","=""0.00437""","="""""
"=""2s2.2p.3p""","=""3P""","=""2""","=""""","=""21.159916""","=""""","=""""","=""0.00723""","="""""
"=""2s2.2p.3p""","=""1D""","=""2""","=""""","=""21.599539""","=""""","=""""","=""0.43962""","="""""
"=""2s2.2p.3p""","=""1S""","=""0""","=""""","=""22.103082""","=""""","=""""","=""0.50354""","="""""
"=""2s2.2p.3d""","=""3F*""","=""2""","=""""","=""23.124489""","=""""","=""""","=""1.02141""","="""""
"=""2s2.2p.3d""","=""3F*""","=""3""","=""""","=""23.131853""","=""""","=""""","=""0.00736""","="""""
"=""2s2.2p.3d""","=""3F*""","=""4""","=""""","=""23.141959""","=""""","=""""","=""0.01011""","="""""
"=""2s2.2p.3d""","=""1D*""","=""2""","=""""","=""23.196374""","=""""","=""""","=""0.05441""","="""""
"=""2s2.2p.3d""","=""3D*""","=""1""","=""""","=""23.239296""","=""""","=""""","=""0.04292""","="""""
"=""2s2.2p.3d""","=""3D*""","=""2""","=""""","=""23.242271""","=""""","=""""","=""0.00297""","="""""
"=""2s2.2p.3d""","=""3D*""","=""3""","=""""","=""23.246033""","=""""","=""""","=""0.00376""","="""""
"=""2s2.2p.3d""","=""3P*""","=""2""","=""""","=""23.415330""","=""""","=""""","=""0.16930""","="""""
"=""2s2.2p.3d""","=""3P*""","=""1""","=""""","=""23.421752""","=""""","=""""","=""0.00642""","="""""
"=""2s2.2p.3d""","=""3P*""","=""0""","=""""","=""23.425232""","=""""","=""""","=""0.00348""","="""""
"=""2s2.2p.3d""","=""1F*""","=""3""","=""""","=""23.474568""","=""""","=""""","=""0.04934""","="""""
"=""2s2.2p.3d""","=""1P*""","=""1""","=""""","=""23.571906""","=""""","=""""","=""0.09734""","="""""
"=""2s2.2p.4s""","=""3P*""","=""0""","=""""","=""24.367883""","=""""","=""""","=""0.79598""","="""""
"=""2s2.2p.4s""","=""3P*""","=""1""","=""""","=""24.374310""","=""""","=""""","=""0.00643""","="""""
"=""2s2.2p.4s""","=""3P*""","=""2""","=""""","=""24.389123""","=""""","=""""","=""0.01481""","="""""
"=""2s2.2p.4s""","=""1P*""","=""1""","=""""","=""24.531351""","=""""","=""""","=""0.14223""","="""""
"=""2s2.2p.4p""","=""1P""","=""1""","=""""","=""25.065964""","=""""","=""""","=""0.53461""","="""""
"=""2s2.2p.4p""","=""3D""","=""1""","=""""","=""25.133348""","=""""","=""""","=""0.06738""","="""""
"=""2s2.2p.4p""","=""3D""","=""2""","=""""","=""25.139688""","=""""","=""""","=""0.00634""","="""""
"=""2s2.2p.4p""","=""3D""","=""3""","=""""","=""25.151603""","=""""","=""""","=""0.01192""","="""""
"=""2s2.2p.4p""","=""3P""","=""0""","=""""","=""25.188937""","=""""","=""""","=""0.03733""","="""""
"=""2s2.2p.4p""","=""3P""","=""1""","=""""","=""25.192229""","=""""","=""""","=""0.00329""","="""""
"=""2s2.2p.4p""","=""3P""","=""2""","=""""","=""25.200902""","=""""","=""""","=""0.00867""","="""""
"=""2s2.2p.4p""","=""3S""","=""1""","=""""","=""25.235454""","=""""","=""""","=""0.03455""","="""""
"=""2s2.2p.4p""","=""1D""","=""2""","=""""","=""25.460177""","=""""","=""""","=""0.22472""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""1""","=""""","=""25.490900""","=""""","=""""","=""0.03072""","="""""
