Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""1s2.2s2""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L7288"""
"=""1s2.2s.2p""","=""3P*""","=""0""","=""""","=""8.33288""","=""""","=""""","=""8.33288""","="""""
"=""1s2.2s.2p""","=""3P*""","=""1""","=""""","=""8.34070""","=""""","=""""","=""0.0078""","="""""
"=""1s2.2s.2p""","=""3P*""","=""2""","=""""","=""8.35856""","=""""","=""""","=""0.0179""","="""""
"=""1s2.2s.2p""","=""1P*""","=""1""","=""""","=""16.20398""","=""""","=""""","=""7.8454""","="""""
"=""1s2.2p2""","=""3P""","=""0""","=""""","=""21.76362""","=""""","=""""","=""5.5596""","="""""
"=""1s2.2p2""","=""3P""","=""1""","=""""","=""21.77263""","=""""","=""""","=""0.0090""","="""""
"=""1s2.2p2""","=""3P""","=""2""","=""""","=""21.78810""","=""""","=""""","=""0.0155""","="""""
"=""1s2.2p2""","=""1D""","=""2""","=""""","=""23.41845""","=""""","=""""","=""1.6303""","="""""
"=""1s2.2p2""","=""1S""","=""0""","=""""","=""29.18207""","=""""","=""""","=""5.7636""","="""""
"=""1s2.2s.3s""","=""3S""","=""1""","=""""","=""46.77735""","=""""","=""""","=""17.5953""","="""""
"=""1s2.2s.3s""","=""1S""","=""0""","=""""","=""48.21183""","=""""","=""""","=""1.4345""","="""""
"=""1s2.2s.3p""","=""1P*""","=""1""","=""""","=""50.15439""","=""""","=""""","=""1.9426""","="""""
"=""1s2.2s.3p""","=""3P*""","=""0""","=""""","=""50.33406""","=""""","=""""","=""0.1797""","="""""
"=""1s2.2s.3p""","=""3P*""","=""1""","=""""","=""50.33603""","=""""","=""""","=""0.0020""","="""""
"=""1s2.2s.3p""","=""3P*""","=""2""","=""""","=""50.34041""","=""""","=""""","=""0.0044""","="""""
"=""1s2.2s.3d""","=""3D""","=""1""","=""""","=""52.07904""","=""""","=""""","=""1.7386""","="""""
"=""1s2.2s.3d""","=""3D""","=""2""","=""""","=""52.07951""","=""""","=""""","=""0.0005""","="""""
"=""1s2.2s.3d""","=""3D""","=""3""","=""""","=""52.08055""","=""""","=""""","=""0.0010""","="""""
"=""1s2.2s.3d""","=""1D""","=""2""","=""""","=""53.20901""","=""""","=""""","=""1.1285""","="""""
"=""1s2.2p.(2P*).3s""","=""3P*""","=""0""","=""""","=""57.68883""","=""""","=""""","=""4.4798""","="""""
"=""1s2.2p.(2P*).3s""","=""3P*""","=""1""","=""""","=""57.69865""","=""""","=""""","=""0.0098""","="""""
"=""1s2.2p.(2P*).3s""","=""3P*""","=""2""","=""""","=""57.71918""","=""""","=""""","=""0.0205""","="""""
"=""1s2.2p.(2P*<3/2>).3s""","=""1P*""","=""1""","=""""","=""58.64816""","=""""","=""""","=""0.9290""","="""""
"=""1s2.2p.(2P*<1/2>).3p""","=""1P""","=""1""","=""""","=""59.62204""","=""""","=""""","=""0.9739""","="""""
"=""1s2.2p.(2P*).3p""","=""3D""","=""1""","=""""","=""60.07012""","=""""","=""""","=""0.4481""","="""""
"=""1s2.2p.(2P*).3p""","=""3D""","=""2""","=""""","=""60.08211""","=""""","=""""","=""0.0120""","="""""
"=""1s2.2p.(2P*).3p""","=""3D""","=""3""","=""""","=""60.10087""","=""""","=""""","=""0.0188""","="""""
"=""1s2.2s.4s""","=""3S""","=""1""","=""""","=""60.45561""","=""""","=""""","=""0.3547""","="""""
"=""1s2.2p.(2P*).3p""","=""3P""","=""0""","=""""","=""61.27957""","=""""","=""""","=""0.8240""","="""""
"=""1s2.2p.(2P*).3p""","=""3P""","=""1""","=""""","=""61.28653""","=""""","=""""","=""0.0070""","="""""
"=""1s2.2p.(2P*).3p""","=""3P""","=""2""","=""""","=""61.29804""","=""""","=""""","=""0.0115""","="""""
"=""1s2.2p.(2P*).3d""","=""3F*""","=""2""","=""""","=""61.42254""","=""""","=""""","=""0.1245""","="""""
"=""1s2.2p.(2P*).3d""","=""3F*""","=""3""","=""""","=""61.43201""","=""""","=""""","=""0.0095""","="""""
"=""1s2.2p.(2P*).3d""","=""3F*""","=""4""","=""""","=""61.44480""","=""""","=""""","=""0.0128""","="""""
"=""1s2.2p.(2P*<3/2>).3p""","=""3S""","=""1""","=""""","=""61.74977""","=""""","=""""","=""0.3050""","="""""
"=""1s2.2p.(2P*<1/2>).3d""","=""1D*""","=""2""","=""""","=""61.78260""","=""""","=""""","=""0.0328""","="""""
"=""1s2.2p.(2P*<3/2>).3p""","=""1D""","=""2""","=""""","=""61.95564""","=""""","=""""","=""0.1730""","="""""
"=""1s2.2s.4p""","=""3P*""","=""2""","=""""","=""62.44841""","=""""","=""""","=""0.4928""","="""""
"=""1s2.2s.4p""","=""3P*""","=""1""","=""""","=""62.44984""","=""""","=""""","=""0.0014""","="""""
"=""1s2.2s.4p""","=""3P*""","=""0""","=""""","=""62.45082""","=""""","=""""","=""0.0010""","="""""
"=""1s2.2p.(2P*).3d""","=""3D*""","=""1""","=""""","=""62.68071""","=""""","=""""","=""0.2299""","="""""
"=""1s2.2p.(2P*).3d""","=""3D*""","=""2""","=""""","=""62.68495""","=""""","=""""","=""0.0042""","="""""
"=""1s2.2p.(2P*).3d""","=""3D*""","=""3""","=""""","=""62.69020""","=""""","=""""","=""0.0052""","="""""
"=""1s2.2p.(2P*<3/2>).3d""","=""1F*""","=""3""","=""""","=""62.77132""","=""""","=""""","=""0.0811""","="""""
"=""1s2.2s.4p""","=""1P*""","=""1""","=""""","=""62.86345""","=""""","=""""","=""0.0921""","="""""
"=""1s2.2s.4d""","=""3D""","=""1""","=""""","=""63.410""","=""""","=""""","=""0.547""","="""""
"=""1s2.2s.4d""","=""3D""","=""2""","=""""","=""63.4112""","=""""","=""""","=""0.001""","="""""
"=""1s2.2s.4d""","=""3D""","=""3""","=""""","=""63.41147""","=""""","=""""","=""0.0003""","="""""
"=""1s2.2p.(2P*<3/2>).3d""","=""3P*""","=""2""","=""""","=""63.41907""","=""""","=""""","=""0.0076""","="""""
"=""1s2.2p.(2P*<3/2>).3d""","=""3P*""","=""1""","=""""","=""63.42541""","=""""","=""""","=""0.0063""","="""""
"=""1s2.2p.(2P*<3/2>).3d""","=""3P*""","=""0""","=""""","=""63.42922""","=""""","=""""","=""0.0038""","="""""
"=""1s2.2s.4d""","=""1D""","=""2""","=""""","=""63.80818""","=""""","=""""","=""0.3790""","="""""
"=""1s2.2p.(2P*<3/2>).3p""","=""1S""","=""0""","=""""","=""63.92251""","=""""","=""""","=""0.1143""","="""""
"=""1s2.2s.4f""","=""3F*""","=""2""","=""""","=""64.04436""","=""""","=""""","=""0.1218""","="""""
"=""1s2.2s.4f""","=""3F*""","=""3""","=""""","=""64.04538""","=""""","=""""","=""0.0010""","="""""
"=""1s2.2s.4f""","=""3F*""","=""4""","=""""","=""64.04677""","=""""","=""""","=""0.0014""","="""""
"=""1s2.2p.(2P*<3/2>).3d""","=""1P*""","=""1""","=""""","=""64.29951""","=""""","=""""","=""0.2527""","="""""
"=""1s2.2s.4f""","=""1F*""","=""3""","=""""","=""64.70274""","=""""","=""""","=""0.4032""","="""""
"=""1s2.2s.5s""","=""3S""","=""1""","=""""","=""67.54825""","=""""","=""""","=""2.8455""","="""""
"=""1s2.2s.5s""","=""1S""","=""0""","=""""","=""67.78604""","=""""","=""""","=""0.2378""","="""""
"=""1s2.2s.5p""","=""1P*""","=""1""","=""""","=""68.22015""","=""""","=""""","=""0.4341""","="""""
"=""1s2.2s.5d""","=""3D""","=""1""","=""""","=""68.53718""","=""""","=""""","=""0.3170""","="""""
"=""1s2.2s.5d""","=""3D""","=""2""","=""""","=""68.53718""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.5d""","=""3D""","=""3""","=""""","=""68.53734""","=""""","=""""","=""0.0002""","="""""
"=""1s2.2s.5d""","=""1D""","=""2""","=""""","=""68.72453""","=""""","=""""","=""0.1872""","="""""
"=""1s2.2s.5g""","=""1G""","=""4""","=""""","=""68.72929""","=""""","=""""","=""0.0048""","="""""
"=""1s2.2s.5g""","=""3G""","=""3""","=""""","=""68.72936""","=""""","=""""","=""0.0001""","="""""
"=""1s2.2s.5g""","=""3G""","=""4""","=""""","=""68.72936""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.5g""","=""3G""","=""5""","=""""","=""68.72936""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.5f""","=""3F*""","=""2""","=""""","=""68.75814""","=""""","=""""","=""0.0288""","="""""
"=""1s2.2s.5f""","=""3F*""","=""3""","=""""","=""68.75814""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.5f""","=""3F*""","=""4""","=""""","=""68.75814""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.5f""","=""1F*""","=""3""","=""""","=""68.81070""","=""""","=""""","=""0.0526""","="""""
"=""1s2.2s.6s""","=""3S""","=""1""","=""""","=""70.71827""","=""""","=""""","=""1.9076""","="""""
"=""1s2.2s.6s""","=""1S""","=""0""","=""""","=""70.81631""","=""""","=""""","=""0.0980""","="""""
"=""1s2.2s.6p""","=""1P*""","=""1""","=""""","=""71.00961""","=""""","=""""","=""0.1933""","="""""
"=""1s2.2s.6d""","=""3D""","=""1""","=""""","=""71.29470""","=""""","=""""","=""0.2851""","="""""
"=""1s2.2s.6g""","=""1G""","=""4""","=""""","=""71.39108""","=""""","=""""","=""0.0964""","="""""
"=""1s2.2s.6g""","=""3G""","=""3""","=""""","=""71.39127""","=""""","=""""","=""0.0002""","="""""
"=""1s2.2s.6g""","=""3G""","=""4""","=""""","=""71.39127""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.6g""","=""3G""","=""5""","=""""","=""71.39127""","=""""","=""""","=""0.0000""","="""""
"=""1s2.2s.6d""","=""1D""","=""2""","=""""","=""71.39908""","=""""","=""""","=""0.0078""","="""""
