Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""1s2.2s""","=""2S""","=""1/2""","=""""","=""0.00000""","=""""","=""0.00000""","=""""","="" 100                              ""","=""L7288"""
"=""1s2.2p""","=""2P*""","=""1/2""","=""""","=""9.97624""","=""""","=""0.00005""","=""9.97624""","="" 100                              ""","=""u57"""
"=""1s2.2p""","=""2P*""","=""3/2""","=""""","=""10.00838""","=""""","=""0.00005""","=""0.03214""","="" 100                              ""","=""u57"""
"=""1s2.3s""","=""2S""","=""1/2""","=""""","=""56.55249""","=""""","=""""","=""46.54411""","=""                                  ""","="""""
"=""1s2.3p""","=""2P*""","=""1/2""","=""""","=""59.23540""","=""""","=""""","=""2.6829""","=""                                  ""","="""""
"=""1s2.3p""","=""2P*""","=""3/2""","=""""","=""59.24486""","=""""","=""""","=""0.0095""","=""                                  ""","="""""
"=""1s2.3d""","=""2D""","=""3/2""","=""""","=""60.05848""","=""""","=""""","=""0.8136""","=""                                  ""","="""""
"=""1s2.3d""","=""2D""","=""5/2""","=""""","=""60.06121""","=""""","=""""","=""0.0027""","=""                                  ""","="""""
"=""1s2.4s""","=""2S""","=""1/2""","=""""","=""75.17767""","=""""","=""""","=""15.1165""","=""                                  ""","="""""
"=""1s2.4p""","=""2P*""","=""1/2""","=""""","=""76.26776""","=""""","=""""","=""1.0901""","=""                                  ""","="""""
"=""1s2.4p""","=""2P*""","=""3/2""","=""""","=""76.27183""","=""""","=""""","=""0.0041""","=""                                  ""","="""""
"=""1s2.4d""","=""2D""","=""3/2""","=""""","=""76.61186""","=""""","=""""","=""0.3400""","=""                                  ""","="""""
"=""1s2.4d""","=""2D""","=""5/2""","=""""","=""76.61300""","=""""","=""""","=""0.0011""","=""                                  ""","="""""
"=""1s2.4f""","=""2F*""","=""5/2""","=""""","=""76.62959""","=""""","=""""","=""0.0166""","=""                                  ""","="""""
"=""1s2.4f""","=""2F*""","=""7/2""","=""""","=""76.63018""","=""""","=""""","=""0.0006""","=""                                  ""","="""""
"=""1s2.5s""","=""2S""","=""1/2""","=""""","=""83.55124""","=""""","=""""","=""6.9211""","=""                                  ""","="""""
"=""1s2.5p""","=""2P*""","=""1/2""","=""""","=""84.09853""","=""""","=""""","=""0.5473""","=""                                  ""","="""""
"=""1s2.5p""","=""2P*""","=""3/2""","=""""","=""84.10053""","=""""","=""""","=""0.0020""","=""                                  ""","="""""
"=""1s2.5d""","=""2D""","=""3/2""","=""[""","=""84.27363""","=""]""","=""""","=""0.1731""","=""                                  ""","="""""
"=""1s2.5d""","=""2D""","=""5/2""","=""""","=""84.27424""","=""""","=""""","=""0.0006""","=""                                  ""","="""""
"=""1s2.5f""","=""2F*""","=""5/2""","=""""","=""84.28327""","=""""","=""""","=""0.0090""","=""                                  ""","="""""
"=""1s2.5f""","=""2F*""","=""7/2""","=""""","=""84.28327""","=""""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.5g""","=""2G""","=""7/2""","=""""","=""84.28474""","=""""","=""""","=""0.0015""","=""                                  ""","="""""
"=""1s2.5g""","=""2G""","=""9/2""","=""""","=""84.28474""","=""""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.6s""","=""2S""","=""1/2""","=""""","=""88.02124""","=""""","=""""","=""3.7365""","=""                                  ""","="""""
"=""1s2.6p""","=""2P*""","=""1/2""","=""""","=""88.33418""","=""""","=""""","=""0.3129""","=""                                  ""","="""""
"=""1s2.6p""","=""2P*""","=""3/2""","=""""","=""88.33534""","=""""","=""""","=""0.0012""","=""                                  ""","="""""
"=""1s2.6d""","=""2D""","=""3/2""","=""""","=""88.43536""","=""""","=""""","=""0.1000""","=""                                  ""","="""""
"=""1s2.6d""","=""2D""","=""5/2""","=""""","=""88.43564""","=""""","=""""","=""0.0003""","=""                                  ""","="""""
"=""1s2.6f""","=""2F*""","=""7/2""","=""""","=""88.44099""","=""""","=""""","=""0.0053""","=""                                  ""","="""""
"=""1s2.6f""","=""2F*""","=""5/2""","=""""","=""88.44099""","=""""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.6g""","=""2G""","=""7/2""","=""""","=""88.44151""","=""""","=""""","=""0.0005""","=""                                  ""","="""""
"=""1s2.6g""","=""2G""","=""9/2""","=""""","=""88.44151""","=""""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.6h""","=""2H*""","=""9/2""","=""""","=""88.44224""","=""""","=""""","=""0.0007""","=""                                  ""","="""""
"=""1s2.6h""","=""2H*""","=""11/2""","=""""","=""88.44224""","=""""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.7s""","=""2S""","=""1/2""","=""""","=""90.68519""","=""""","=""""","=""2.2430""","=""                                  ""","="""""
"=""1s2.7p""","=""2P*""","=""1/2""","=""[""","=""90.88083""","=""]""","=""""","=""0.1956""","=""                                  ""","="""""
"=""1s2.7p""","=""2P*""","=""3/2""","=""[""","=""90.88156""","=""]""","=""""","=""0.0007""","=""                                  ""","="""""
"=""1s2.7d""","=""2D""","=""3/2""","=""[""","=""90.94432""","=""]""","=""""","=""0.0628""","=""                                  ""","="""""
"=""1s2.7d""","=""2D""","=""5/2""","=""[""","=""90.94454""","=""]""","=""""","=""0.0002""","=""                                  ""","="""""
"=""1s2.7f""","=""2F*""","=""5/2""","=""""","=""90.94770""","=""""","=""""","=""0.0032""","=""                                  ""","="""""
"=""1s2.7f""","=""2F*""","=""7/2""","=""""","=""90.94770""","=""""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.7g""","=""2G""","=""7/2""","=""[""","=""90.94848""","=""]""","=""""","=""0.0008""","=""                                  ""","="""""
"=""1s2.7g""","=""2G""","=""9/2""","=""[""","=""90.94848""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.7h""","=""2H*""","=""9/2""","=""[""","=""90.94860""","=""]""","=""""","=""0.0001""","=""                                  ""","="""""
"=""1s2.7h""","=""2H*""","=""11/2""","=""[""","=""90.94860""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.7i""","=""2I""","=""11/2""","=""[""","=""90.94866""","=""]""","=""""","=""0.0001""","=""                                  ""","="""""
"=""1s2.7i""","=""2I""","=""13/2""","=""[""","=""90.94866""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.8s""","=""2S""","=""1/2""","=""[""","=""92.39992""","=""]""","=""""","=""1.4513""","=""                                  ""","="""""
"=""1s2.8p""","=""2P*""","=""1/2""","=""[""","=""92.53015""","=""]""","=""""","=""0.1302""","=""                                  ""","="""""
"=""1s2.8p""","=""2P*""","=""3/2""","=""[""","=""92.53063""","=""]""","=""""","=""0.0005""","=""                                  ""","="""""
"=""1s2.8d""","=""2D""","=""3/2""","=""[""","=""92.57262""","=""]""","=""""","=""0.0420""","=""                                  ""","="""""
"=""1s2.8d""","=""2D""","=""5/2""","=""[""","=""92.57276""","=""]""","=""""","=""0.0001""","=""                                  ""","="""""
"=""1s2.8f""","=""2F*""","=""5/2""","=""[""","=""92.57518""","=""]""","=""""","=""0.0024""","=""                                  ""","="""""
"=""1s2.8f""","=""2F*""","=""7/2""","=""[""","=""92.57518""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.8g""","=""2G""","=""7/2""","=""[""","=""92.57544""","=""]""","=""""","=""0.0003""","=""                                  ""","="""""
"=""1s2.8g""","=""2G""","=""9/2""","=""[""","=""92.57544""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.8h""","=""2H*""","=""9/2""","=""[""","=""92.57552""","=""]""","=""""","=""0.0001""","=""                                  ""","="""""
"=""1s2.8h""","=""2H*""","=""11/2""","=""[""","=""92.57552""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.8i""","=""2I""","=""13/2""","=""[""","=""92.57555""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.8i""","=""2I""","=""11/2""","=""[""","=""92.57555""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.8k""","=""2K*""","=""13/2""","=""[""","=""92.57558""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.8k""","=""2K*""","=""15/2""","=""[""","=""92.57558""","=""]""","=""""","=""0.0000""","=""                                  ""","="""""
"=""1s2.9s""","=""2S""","=""1/2""","=""[""","=""93.56802""","=""]""","=""""","=""0.9924""","=""                                  ""","="""""
"=""1s2.9p""","=""2P*""","=""1/2""","=""[""","=""93.65909""","=""]""","=""""","=""0.0911""","=""                                  ""","="""""
"=""1s2.9p""","=""2P*""","=""3/2""","=""[""","=""93.65944""","=""]""","=""""","=""0.0003""","=""                                  ""","="""""
"=""1s2.9d""","=""2D""","=""3/2""","=""""","=""93.6835""","=""""","=""""","=""0.0241""","=""                                  ""","="""""
"=""1s2.9d""","=""2D""","=""5/2""","=""""","=""93.6866""","=""""","=""""","=""0.003""","=""                                  ""","="""""
