Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p4""","=""3P""","=""2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                                            ""","=""L13237"""
"=""2s2.2p4""","=""3P""","=""1""","=""""","=""0.13716""","=""""","=""0.00012""","=""0.13716""","=""                                            ""","="""""
"=""2s2.2p4""","=""3P""","=""0""","=""""","=""0.19540""","=""""","=""0.00012""","=""0.0582""","=""                                            ""","="""""
"=""2s2.2p4""","=""1D""","=""2""","=""""","=""3.82365""","=""""","=""0.00012""","=""3.6283""","=""                                            ""","="""""
"=""2s2.2p4""","=""1S""","=""0""","=""""","=""8.24445""","=""""","=""0.00025""","=""4.4208""","=""                                            ""","="""""
"=""2s.2p5""","=""3P*""","=""2""","=""""","=""30.21271""","=""""","=""0.00012""","=""21.9683""","=""  99                                        ""","="""""
"=""2s.2p5""","=""3P*""","=""1""","=""""","=""30.33740""","=""""","=""0.00012""","=""0.1247""","=""  99                                        ""","="""""
"=""2s.2p5""","=""3P*""","=""0""","=""""","=""30.40574""","=""""","=""0.00012""","=""0.0683""","=""  99                                        ""","="""""
"=""2s.2p5""","=""1P*""","=""1""","=""""","=""42.61188""","=""""","=""0.00025""","=""12.2061""","=""  99                                        ""","="""""
"=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""""","=""58.76231""","=""+x""","=""0.00005""","=""16.1504""","="" 100                                        ""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""""","=""60.3369""","=""""","=""0.0012""","=""1.575""","="" 100                                        ""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""""","=""65.06360""","=""+x""","=""0.00005""","=""4.727""","="" 100                                        ""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""""","=""65.07169""","=""+x""","=""0.00005""","=""0.00809""","="" 100                                        ""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""""","=""65.08558""","=""+x""","=""0.00005""","=""0.01389""","="" 100                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""""","=""65.1022""","=""""","=""0.0012""","=""0.017""","="" 100                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""""","=""65.1062""","=""""","=""0.0012""","=""0.004""","="" 100                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""""","=""65.1089""","=""""","=""0.0012""","=""0.003""","="" 100                                        ""","="""""
"=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""""","=""65.8864""","=""""","=""0.0012""","=""0.777""","=""  99                                        ""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""""","=""66.4753""","=""""","=""0.0012""","=""0.589""","=""  94         :     5  2s2.2p3.(2D*).3p 3P   ""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""""","=""66.4777""","=""""","=""0.0012""","=""0.002""","=""  94         :     5  2s2.2p3.(2D*).3p 3P   ""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""""","=""66.4785""","=""""","=""0.0012""","=""0.001""","=""  94         :     5  2s2.2p3.(2D*).3p 3P   ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""","=""""","=""68.2108""","=""""","=""0.0012""","=""1.732""","=""  99                                        ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""","=""""","=""68.2109""","=""?""","=""0.0012""","=""0.000""","=""  99                                        ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""","=""""","=""68.2144""","=""""","=""0.0012""","=""0.004""","=""  99                                        ""","="""""
"=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""","=""""","=""69.0339""","=""""","=""0.0012""","=""0.820""","=""  99                                        ""","="""""
"=""2p6""","=""1S""","=""0""","=""""","=""70.77303""","=""""","=""0.00025""","=""1.7391""","=""                                            ""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""""","=""70.9660""","=""""","=""0.0012""","=""0.1930""","=""  92         :     6  2s2.2p3.(2P*).3p 3D   ""","="""""
