Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""4d4""","=""5D""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""0""","=""L11823"""
"=""4d4""","=""5D""","=""1""","=""""","=""0.0197115""","=""""","=""""","=""0.0197115""","=""1.500""","=""L11823"""
"=""4d4""","=""5D""","=""2""","=""""","=""0.0543498""","=""""","=""""","=""0.034638""","=""1.490""","=""L11823"""
"=""4d4""","=""5D""","=""3""","=""""","=""0.0993518""","=""""","=""""","=""0.045002""","=""1.486""","=""L11823"""
"=""4d4""","=""5D""","=""4""","=""""","=""0.1518587""","=""""","=""""","=""0.052507""","=""1.495""","=""L11823"""
"=""4d3.(4F).5s""","=""5F""","=""1""","=""""","=""0.2922079""","=""""","=""""","=""0.140349""","=""0.000""","=""L11823"""
"=""4d3.(4F).5s""","=""5F""","=""2""","=""""","=""0.3259708""","=""""","=""""","=""0.033763""","=""0.996""","=""L11823"""
"=""4d3.(4F).5s""","=""5F""","=""3""","=""""","=""0.3756261""","=""""","=""""","=""0.049655""","=""1.248""","=""L11823"""
"=""4d3.(4F).5s""","=""5F""","=""4""","=""""","=""0.4392216""","=""""","=""""","=""0.063595""","=""1.350""","=""L11823"""
"=""4d3.(4F).5s""","=""5F""","=""5""","=""""","=""0.5140431""","=""""","=""""","=""0.074821""","=""1.390""","=""L11823"""
"=""4d4""","=""3P2""","=""0""","=""""","=""0.6896300""","=""""","=""""","=""0.175587""","=""0""","=""L11823"""
"=""4d4""","=""3P2""","=""1""","=""""","=""0.7677486""","=""""","=""""","=""0.078119""","=""1.495""","=""L11823"""
"=""4d4""","=""3P2""","=""2""","=""""","=""0.9002894""","=""""","=""""","=""0.132541""","=""1.450""","=""L11823"""
"=""4d4""","=""3F2""","=""2""","=""""","=""0.9305963""","=""""","=""""","=""0.030307""","=""0.712""","=""L11823"""
"=""4d4""","=""3F2""","=""3""","=""""","=""0.9795550""","=""""","=""""","=""0.048959""","=""1.070""","=""L11823"""
"=""4d4""","=""3F2""","=""4""","=""""","=""1.0315948""","=""""","=""""","=""0.052040""","=""1.230""","=""L11823"""
"=""4d4""","=""3H""","=""4""","=""""","=""1.1790406""","=""""","=""""","=""0.147446""","=""0.825""","=""L11823"""
"=""4d4""","=""3H""","=""5""","=""""","=""1.2165890""","=""""","=""""","=""0.037548""","=""1.050""","=""L11823"""
"=""4d4""","=""3H""","=""6""","=""""","=""1.2629514""","=""""","=""""","=""0.046362""","=""1.157""","=""L11823"""
"=""4d4""","=""3G""","=""3""","=""""","=""1.2704605""","=""""","=""""","=""0.007509""","=""0.765""","=""L11823"""
