Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4d3""","=""4F""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  99         :     1  4d3           2D2  ""","=""L9419"""
"=""4d3""","=""4F""","=""5/2""","=""""","=""0.063970""","=""""","=""""","=""0.063970""","="" 100                                     ""","=""L9419"""
"=""4d3""","=""4F""","=""7/2""","=""""","=""0.145875""","=""""","=""""","=""0.08191""","="" 100                                     ""","=""L9419"""
"=""4d3""","=""4F""","=""9/2""","=""""","=""0.240409""","=""""","=""""","=""0.09453""","=""  99         :     1  4d3           2G   ""","=""L9419"""
"=""4d3""","=""4P""","=""3/2""","=""""","=""1.067122""","=""""","=""""","=""0.82671""","=""  74         :    22  4d3           2P   ""","=""L9419"""
"=""4d3""","=""4P""","=""1/2""","=""""","=""1.074283""","=""""","=""""","=""0.00716""","=""  87         :    13  4d3           2P   ""","=""L9419"""
"=""4d3""","=""4P""","=""5/2""","=""""","=""1.189493""","=""""","=""""","=""0.11521""","=""  99         :     1  4d3           2D2  ""","=""L9419"""
"=""4d3""","=""2G""","=""7/2""","=""""","=""1.145061""","=""""","=""""","=""-0.04443""","=""  99                                     ""","=""L9419"""
"=""4d3""","=""2G""","=""9/2""","=""""","=""1.215639""","=""""","=""""","=""0.07058""","=""  90         :     9  4d3           2H   ""","=""L9419"""
"=""4d3""","=""2P""","=""1/2""","=""""","=""1.324781""","=""""","=""""","=""0.10914""","=""  83         :    13  4d3           4P   ""","=""L9419"""
"=""4d3""","=""2P""","=""3/2""","=""""","=""1.352873""","=""""","=""""","=""0.02809""","=""  50         :    24  4d3           4P   ""","=""L9419"""
"=""4d3""","=""2H""","=""9/2""","=""""","=""1.601379""","=""""","=""""","=""0.24851""","=""  91         :     8  4d3           2G   ""","=""L9419"""
"=""4d3""","=""2H""","=""11/2""","=""""","=""1.644437""","=""""","=""""","=""0.04306""","="" 100                                     ""","=""L9419"""
"=""4d3""","=""2D2""","=""3/2""","=""""","=""1.607910""","=""""","=""""","=""-0.03653""","=""  54         :    24  4d3           2P   ""","=""L9419"""
"=""4d3""","=""2D2""","=""5/2""","=""""","=""1.623416""","=""""","=""""","=""0.01551""","=""  77         :    19  4d3           2D1  ""","=""L9419"""
"=""4d3""","=""2F""","=""7/2""","=""""","=""2.462375""","=""""","=""""","=""0.83896""","=""  94         :     6  4d2.(3F).5s   2F   ""","=""L9419"""
"=""4d3""","=""2F""","=""5/2""","=""""","=""2.476524""","=""""","=""""","=""0.01415""","=""  92         :     7  4d2.(3F).5s   2F   ""","=""L9419"""
"=""4d2.(3F).5s""","=""4F""","=""3/2""","=""""","=""3.126874""","=""""","=""""","=""0.65035""","=""  99         :     1  4d2.(1D).5s   2D   ""","=""L9419"""
"=""4d2.(3F).5s""","=""4F""","=""5/2""","=""""","=""3.190735""","=""""","=""""","=""0.06386""","=""  99                                     ""","=""L9419"""
"=""4d2.(3F).5s""","=""4F""","=""7/2""","=""""","=""3.281052""","=""""","=""""","=""0.09032""","="" 100                                     ""","=""L9419"""
"=""4d2.(3F).5s""","=""4F""","=""9/2""","=""""","=""3.393844""","=""""","=""""","=""0.11279""","="" 100                                     ""","=""L9419"""
"=""4d3""","=""2D1""","=""5/2""","=""""","=""3.929638""","=""""","=""""","=""0.53579""","=""  75         :    20  4d3           2D2  ""","=""L9419"""
"=""4d3""","=""2D1""","=""3/2""","=""""","=""3.964177""","=""""","=""""","=""0.03454""","=""  73         :    25  4d3           2D2  ""","=""L9419"""
"=""4d2.(3F).5s""","=""2F""","=""5/2""","=""""","=""4.172980""","=""""","=""""","=""0.20880""","=""  84         :     7  4d3           2F   ""","=""L9419"""
"=""4d2.(3P).5s""","=""4P""","=""1/2""","=""""","=""4.279239""","=""""","=""""","=""0.10626""","="" 100                                     ""","=""L9419"""
"=""4d2.(3P).5s""","=""4P""","=""3/2""","=""""","=""4.315543""","=""""","=""""","=""0.03630""","=""  96         :     4  4d2.(1D).5s   2D   ""","=""L9419"""
"=""4d2.(3P).5s""","=""4P""","=""5/2""","=""""","=""4.338179""","=""""","=""""","=""0.02264""","=""  79         :    15  4d2.(1D).5s   2D   ""","=""L9419"""
"=""4d2.(3F).5s""","=""3F""","=""7/2""","=""""","=""4.349260""","=""""","=""""","=""0.01108""","=""  93         :     6  4d3           2F   ""","=""L9419"""
"=""4d2.(1D).5s""","=""2D""","=""3/2""","=""""","=""4.529804""","=""""","=""""","=""0.18054""","=""  91         :     4  4d2.(3P).5s   4P   ""","=""L9419"""
"=""4d2.(1D).5s""","=""2D""","=""5/2""","=""""","=""4.601630""","=""""","=""""","=""0.07183""","=""  75         :    19  4d2.(3P).5s   4P   ""","=""L9419"""
"=""4d2.(1G).5s""","=""2G""","=""9/2""","=""""","=""5.067811""","=""""","=""""","=""0.46618""","=""  99         :     1  4d3           2G   ""","=""L9419"""
"=""4d2.(1G).5s""","=""2G""","=""7/2""","=""""","=""5.076281""","=""""","=""""","=""0.00847""","=""  98         :     1  4d2.(3F).5s   2F   ""","=""L9419"""
"=""4d2.(3P).5s""","=""2P""","=""1/2""","=""""","=""5.352999""","=""""","=""""","=""0.27672""","=""  95         :     4  4d3           2P   ""","=""L9419"""
"=""4d2.(3P).5s""","=""2P""","=""3/2""","=""""","=""5.445578""","=""""","=""""","=""0.09258""","=""  94         :     4  4d3           2P   ""","=""L9419"""
