Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4d2""","=""3F""","=""2""","=""""","=""0.000000""","=""""","=""0.000025""","=""""","=""  99         :     1  4d2             1D       ""","=""L12094"""
"=""4d2""","=""3F""","=""3""","=""""","=""0.134760""","=""""","=""0.000025""","=""0.13476""","="" 100                                           ""","=""L12094"""
"=""4d2""","=""3F""","=""4""","=""""","=""0.29079""","=""""","=""0.00003""","=""0.15603""","="" 100                                           ""","=""L12094"""
"=""4d2""","=""1D""","=""2""","=""""","=""1.037641""","=""""","=""0.000022""","=""0.74685""","=""  84         :    14  4d2             3P       ""","=""L12094"""
"=""4d2""","=""3P""","=""0""","=""""","=""1.20186""","=""""","=""0.00004""","=""0.16422""","=""  99         :     1  4d2             1S       ""","=""L12094"""
"=""4d2""","=""3P""","=""1""","=""""","=""1.25534""","=""""","=""0.00003""","=""0.05348""","="" 100                                           ""","=""L12094"""
"=""4d2""","=""3P""","=""2""","=""""","=""1.378727""","=""""","=""0.000021""","=""0.12339""","=""  86         :    13  4d2             1D       ""","=""L12094"""
"=""4d2""","=""1G""","=""4""","=""""","=""1.711421""","=""""","=""0.000025""","=""0.33269""","="" 100                                           ""","=""L12094"""
"=""4d2""","=""1S""","=""0""","=""""","=""3.93436""","=""""","=""0.00003""","=""2.22294""","=""  98         :     1  5s2             1S       ""","=""L12094"""
"=""4d.5s""","=""3D""","=""1""","=""""","=""6.455196""","=""""","=""0.000007""","=""2.52084""","="" 100                                           ""","=""L12094"""
"=""4d.5s""","=""3D""","=""2""","=""""","=""6.525283""","=""""","=""0.000006""","=""0.070087""","=""  98         :     2  4d.5s           1D       ""","=""L12094"""
"=""4d.5s""","=""3D""","=""3""","=""""","=""6.671648""","=""""","=""0.000010""","=""0.14637""","="" 100                                           ""","=""L12094"""
"=""4d.5s""","=""1D""","=""2""","=""""","=""7.261343""","=""""","=""0.000006""","=""0.58969""","=""  96         :     2  4d.5s           3D       ""","=""L12094"""
"=""4d.5p""","=""1D*""","=""2""","=""""","=""12.034084""","=""""","=""0.000007""","=""4.772741""","=""  57         :    39  4d.5p           3F*      ""","=""L12094"""
"=""4d.5p""","=""3D*""","=""1""","=""""","=""12.273527""","=""""","=""0.000007""","=""0.239443""","=""  94         :     4  4d.5p           1P*      ""","=""L12094"""
"=""4d.5p""","=""3D*""","=""2""","=""""","=""12.446853""","=""""","=""0.000009""","=""0.17333""","=""  77         :    19  4d.5p           3F*      ""","=""L12094"""
"=""4d.5p""","=""3D*""","=""3""","=""""","=""12.618934""","=""""","=""0.000007""","=""0.17208""","=""  77         :    20  4d.5p           3F*      ""","=""L12094"""
"=""4d.5p""","=""3F*""","=""2""","=""""","=""12.364332""","=""""","=""0.000006""","=""-0.254602""","=""  42         :    36  4d.5p           1D*      ""","=""L12094"""
"=""4d.5p""","=""3F*""","=""3""","=""""","=""12.446315""","=""""","=""0.000007""","=""0.081983""","=""  80         :    19  4d.5p           3D*      ""","=""L12094"""
"=""4d.5p""","=""3F*""","=""4""","=""""","=""12.769813""","=""""","=""0.000014""","=""0.32350""","="" 100                                           ""","=""L12094"""
