Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4p6.4d""","=""2D""","=""3/2""","=""""","=""0.00000""","=""""","=""0.00014""","=""""","=""L5437"""
"=""4p6.4d""","=""2D""","=""5/2""","=""""","=""0.23153""","=""""","=""0.00014""","=""0.2315""","=""L5437"""
"=""4p6.5s""","=""2S""","=""1/2""","=""""","=""9.41407""","=""""","=""0.00014""","=""9.1825""","=""L5437"""
"=""4p6.5p""","=""2P*""","=""1/2""","=""""","=""16.01816""","=""""","=""0.00014""","=""6.6041""","=""L5437"""
"=""4p6.5p""","=""2P*""","=""3/2""","=""""","=""16.46510""","=""""","=""0.00014""","=""0.4469""","=""L5437"""
"=""4p6.5d""","=""2D""","=""3/2""","=""""","=""26.24671""","=""""","=""0.00014""","=""9.7816""","=""L5437"""
"=""4p6.5d""","=""2D""","=""5/2""","=""""","=""26.31421""","=""""","=""0.00014""","=""0.0675""","=""L5437"""
"=""4p6.4f""","=""2F*""","=""5/2""","=""""","=""26.68873""","=""""","=""0.00014""","=""0.3745""","=""L5437"""
"=""4p6.4f""","=""2F*""","=""7/2""","=""""","=""26.70589""","=""""","=""0.00014""","=""0.0172""","=""L5437"""
"=""4p6.6s""","=""2S""","=""1/2""","=""""","=""28.32993""","=""""","=""0.00014""","=""1.6240""","=""L5437"""
"=""4p6.6p""","=""2P*""","=""1/2""","=""""","=""31.05885""","=""""","=""0.00014""","=""2.7289""","=""L5437"""
"=""4p6.6p""","=""2P*""","=""3/2""","=""""","=""31.24691""","=""""","=""0.00014""","=""0.1881""","=""L5437"""
"=""4p6.5f""","=""2F*""","=""7/2""","=""""","=""34.36466""","=""""","=""0.00014""","=""3.1178""","=""L5437"""
"=""4p6.5f""","=""2F*""","=""5/2""","=""""","=""34.43516""","=""""","=""0.00014""","=""0.0705""","=""L5437"""
"=""4p6.6d""","=""2D""","=""3/2""","=""""","=""35.60375""","=""""","=""0.00014""","=""1.1686""","=""L5437"""
"=""4p6.6d""","=""2D""","=""5/2""","=""""","=""35.63623""","=""""","=""0.00014""","=""0.0325""","=""L5437"""
"=""4p6.7s""","=""2S""","=""1/2""","=""""","=""36.54261""","=""""","=""0.00014""","=""0.9064""","=""L5437"""
"=""4p6.5g""","=""2G""","=""7/2,9/2""","=""""","=""36.83499""","=""""","=""0.00014""","=""0.2924""","=""L5437"""
"=""4p6.7p""","=""2P*""","=""1/2""","=""""","=""37.93749""","=""""","=""0.00014""","=""1.1025""","=""L5437"""
"=""4p6.7p""","=""2P*""","=""3/2""","=""""","=""38.03688""","=""""","=""0.00014""","=""0.0994""","=""L5437"""
"=""4p6.6f""","=""2F*""","=""5/2""","=""""","=""39.83171""","=""""","=""0.00014""","=""1.7948""","=""L5437"""
"=""4p6.6f""","=""2F*""","=""7/2""","=""""","=""39.93480""","=""""","=""0.00014""","=""0.1031""","=""L5437"""
"=""4p6.7d""","=""2D""","=""3/2""","=""""","=""40.38236""","=""""","=""0.00014""","=""0.4476""","=""L5437"""
"=""4p6.7d""","=""2D""","=""5/2""","=""""","=""40.40085""","=""""","=""0.00014""","=""0.0185""","=""L5437"""
"=""4p6.8s""","=""2S""","=""1/2""","=""""","=""40.90043""","=""""","=""0.00014""","=""0.4996""","=""L5437"""
"=""4p6.6g""","=""2G""","=""7/2,9/2""","=""""","=""41.02854""","=""""","=""0.00014""","=""0.1281""","=""L5437"""
"=""4p6.6h""","=""2H*""","=""9/2,11/2""","=""""","=""41.10165""","=""""","=""0.00014""","=""0.0731""","=""L5437"""
"=""4p6.7g""","=""2G""","=""7/2,9/2""","=""""","=""43.56251""","=""""","=""0.00014""","=""2.4609""","=""L5437"""
"=""4p6.7h""","=""2H*""","=""9/2,11/2""","=""""","=""43.61419""","=""""","=""0.00014""","=""0.0517""","=""L5437"""
"=""4p6.7i""","=""2I""","=""11/2,13/2""","=""""","=""43.62416""","=""""","=""0.00014""","=""0.0100""","=""L5437"""
"=""Nb VI (4p6 1S<0>)""","=""Limit""","=""---""","=""""","=""50.5728""","=""""","=""0.0025""","=""""","=""L5437"""
