Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f4.(5I).6s""","=""6I""","=""7/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""0.445""","=""  98                or  :                  (5I<4>) (4,1/2) ""","=""L3974"""
"=""4f4.(5I).6s""","=""6I""","=""9/2""","=""""","=""0.0636448""","=""""","=""""","=""0.0636448""","=""0.805""","=""  70                or  :                  (5I<4>) (4,1/2) ""","="""""
"=""4f4.(5I).6s""","=""6I""","=""11/2""","=""""","=""0.1822698""","=""""","=""""","=""0.118625""","=""1.025""","=""  80                or  :                  (5I<5>) (5,1/2) ""","="""""
"=""4f4.(5I).6s""","=""6I""","=""13/2""","=""""","=""0.3205562""","=""""","=""""","=""0.138286""","=""1.150""","=""  87                or  :                  (5I<6>) (6,1/2) ""","="""""
"=""4f4.(5I).6s""","=""6I""","=""15/2""","=""""","=""0.4713792""","=""""","=""""","=""0.150823""","=""1.235""","=""  93                or  :                  (5I<7>) (7,1/2) ""","="""""
"=""4f4.(5I).6s""","=""6I""","=""17/2""","=""""","=""0.6305390""","=""""","=""""","=""0.159160""","=""1.295""","=""  97                or  :                  (5I<8>) (8,1/2) ""","="""""
"=""4f4.(5I).6s""","=""4I""","=""9/2""","=""""","=""0.2045993""","=""""","=""""","=""-0.425940""","=""0.755""","=""  70                or  :                  (5I<5>) (5,1/2) ""","="""""
"=""4f4.(5I).6s""","=""4I""","=""11/2""","=""""","=""0.3802292""","=""""","=""""","=""0.175630""","=""0.980""","=""  80                or  :                  (5I<6>) (6,1/2) ""","="""""
"=""4f4.(5I).6s""","=""4I""","=""13/2""","=""""","=""0.5594781""","=""""","=""""","=""0.179249""","=""1.110""","=""  87                or  :                  (5I<7>) (7,1/2) ""","="""""
"=""4f4.(5I).6s""","=""4I""","=""15/2""","=""""","=""0.7421173""","=""""","=""""","=""0.182639""","=""1.205""","=""  92                or  :                  (5I<8>) (8,1/2) ""","="""""
"=""4f4.(5I).5d""","=""6L""","=""11/2""","=""""","=""0.5501873""","=""""","=""""","=""-0.191930""","=""0.620""","=""  96                    :     1            (3H4) 4K        ""","="""""
"=""4f4.(5I).5d""","=""6L""","=""13/2""","=""""","=""0.6803825""","=""""","=""""","=""0.130195""","=""0.850""","=""  97                    :     1            (3H4) 4K        ""","="""""
"=""4f4.(5I).5d""","=""6L""","=""15/2""","=""""","=""0.8229364""","=""""","=""""","=""0.142554""","=""1.000""","=""  98                    :     1            (5I) 6K         ""","="""""
"=""4f4.(5I).5d""","=""6L""","=""17/2""","=""""","=""0.9756205""","=""""","=""""","=""0.152684""","=""1.110""","=""  98                    :     1            (3K2) 4M        ""","="""""
"=""4f4.(5I).5d""","=""6L""","=""19/2""","=""""","=""1.1364652""","=""""","=""""","=""0.160845""","=""1.180""","=""  98                    :     1            (3K2) 4M        ""","="""""
"=""4f4.(5I).5d""","=""6L""","=""21/2""","=""""","=""1.3039158""","=""""","=""""","=""0.167451""","=""1.240""","=""  97                    :     2            (3K2) 4M        ""","="""""
"=""4f4.(5I).5d""","=""6K""","=""9/2""","=""""","=""0.7445586""","=""""","=""""","=""-0.559357""","=""0.550""","=""  95                    :     2            (5I) 4I         ""","="""""
"=""4f4.(5I).5d""","=""6K""","=""11/2""","=""""","=""0.8594337""","=""""","=""""","=""0.114875""","=""0.840""","=""  96                    :     1            (5I) 4I         ""","="""""
"=""4f4.(5I).5d""","=""6K""","=""13/2""","=""""","=""0.9856837""","=""""","=""""","=""0.126250""","=""1.015""","=""  96                    :     1            (5I) 6I         ""","="""""
"=""4f4.(5I).5d""","=""6K""","=""15/2""","=""""","=""1.1211594""","=""""","=""""","=""0.135476""","=""1.130""","=""  96                    :     1            (5I) 4L         ""","="""""
"=""4f4.(5I).5d""","=""6K""","=""17/2""","=""""","=""1.2639947""","=""""","=""""","=""0.142835""","=""1.200""","=""  95                    :     2            (5I) 4L         ""","="""""
"=""4f4.(5I).5d""","=""6K""","=""19/2""","=""""","=""1.4124515""","=""""","=""""","=""0.148457""","=""1.250""","=""  93                    :     3            (5I) 4L         ""","="""""
"=""4f4.(5I).5d""","=""6I""","=""7/2""","=""""","=""0.9329482""","=""""","=""""","=""-0.479503""","=""0.480""","=""  82                    :    13            (5I) 4H         ""","="""""
"=""4f4.(5I).5d""","=""6I""","=""9/2""","=""""","=""1.0439866""","=""""","=""""","=""0.111038""","=""0.840""","=""  90                    :     6            (5I) 4H         ""","="""""
"=""4f4.(5I).5d""","=""6I""","=""11/2""","=""""","=""1.1602330""","=""""","=""""","=""0.116246""","=""1.035""","=""  93                    :     1            (5G) 6I         ""","="""""
"=""4f4.(5I).5d""","=""6I""","=""13/2""","=""""","=""1.2816371""","=""""","=""""","=""0.121404""","=""1.140""","=""  92                    :     2            (5I) 4K         ""","="""""
"=""4f4.(5I).5d""","=""6I""","=""15/2""","=""""","=""1.4101312""","=""""","=""""","=""0.128494""","=""1.230""","=""  90                    :     4            (5I) 4K         ""","="""""
"=""4f4.(5I).5d""","=""6I""","=""17/2""","=""""","=""1.5448425""","=""""","=""""","=""0.134711""","=""1.280""","=""  88                    :     5            (5I) 4K         ""","="""""
"=""4f3.(4I*).5d2.(3F)""","=""6M*""","=""13/2""","=""""","=""0.9930899""","=""""","=""""","=""-0.551753""","=""0.675""","=""  95                    :     1  4f3.5d.6s                 ""","="""""
