Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f3""","=""4I*""","=""9/2""","=""""","=""0.0000""","=""""","=""0""","=""""","=""  97             :     3   2H2* ""","=""L3974"""
"=""4f3""","=""4I*""","=""11/2""","=""[""","=""0.233""","=""]""","=""""","=""0.233""","=""  99             :     1   2H2* ""","="""""
"=""4f3""","=""4I*""","=""13/2""","=""[""","=""0.479""","=""]""","=""""","=""0.25""","="" 100                            ""","="""""
"=""4f3""","=""4I*""","=""15/2""","=""[""","=""0.733""","=""]""","=""""","=""0.25""","=""  99             :     1   2K*  ""","="""""
"=""4f3""","=""4F*""","=""3/2""","=""[""","=""1.400""","=""]""","=""""","=""0.67""","=""  94             :     5   2D1* ""","="""""
"=""4f3""","=""4F*""","=""5/2""","=""[""","=""1.527""","=""]""","=""""","=""0.13""","=""  98             :     2   2D1* ""","="""""
"=""4f3""","=""4F*""","=""7/2""","=""[""","=""1.647""","=""]""","=""""","=""0.12""","=""  93             :     4   2G1* ""","="""""
"=""4f3""","=""4F*""","=""9/2""","=""[""","=""1.806""","=""]""","=""""","=""0.16""","=""  75             :    20   2H2* ""","="""""
"=""4f3""","=""2H2*""","=""9/2""","=""[""","=""1.546""","=""]""","=""""","=""-0.26""","=""  54             :    14   4F*  ""","="""""
"=""4f3""","=""2H2*""","=""11/2""","=""[""","=""1.96""","=""]""","=""""","=""0.41""","=""  80             :    13   2H1* ""","="""""
"=""4f3""","=""4S*""","=""3/2""","=""[""","=""1.658""","=""]""","=""""","=""-0.30""","=""  95             :     5   2P*  ""","="""""
"=""4f3""","=""4G*""","=""5/2""","=""[""","=""2.105""","=""]""","=""""","=""0.45""","=""  99             :     1   2F2* ""","="""""
"=""4f3""","=""4G*""","=""7/2""","=""[""","=""2.342""","=""]""","=""""","=""0.24""","=""  59             :    24   2G1* ""","="""""
"=""4f3""","=""4G*""","=""9/2""","=""[""","=""2.392""","=""]""","=""""","=""0.05""","=""  76             :     7   2G1* ""","="""""
"=""4f3""","=""4G*""","=""11/2""","=""[""","=""2.638""","=""]""","=""""","=""0.25""","=""  92             :     4   2H1* ""","="""""
"=""4f3""","=""*""","=""7/2""","=""[""","=""2.12""","=""]""","=""""","=""-0.52""","=""  41  4G*        :    31   2G1* ""","="""""
"=""4f3""","=""2K*""","=""13/2""","=""[""","=""2.410""","=""]""","=""""","=""0.29""","=""  99             :     1   2I*  ""","="""""
"=""4f3""","=""2K*""","=""15/2""","=""[""","=""2.657""","=""]""","=""""","=""0.25""","=""  94             :     5   2L*  ""","="""""
"=""Nd V (4f2.5s2.5p6 3H<4>)""","=""Limit""","=""---""","=""[""","=""40.60""","=""]""","=""0.04""","=""""","=""                                ""","=""L19883c180"""
