Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p5""","=""2P*""","=""3/2""","=""""","=""0.00000000""","=""""","=""0""","=""""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p5""","=""2P*""","=""1/2""","=""""","=""0.09676024""","=""""","=""0.00000025""","=""0.09676024""","="" 100                                                              ""","=""L9088"""
"=""2s.2p6""","=""2S""","=""1/2""","=""""","=""26.910472""","=""""","=""0.000011""","=""26.813712""","=""  98                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""5/2""","=""""","=""27.16875174""","=""""","=""0.00000014""","=""0.258280""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""3/2""","=""""","=""27.2329339""","=""""","=""0.0000006""","=""0.0641822""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""4P""","=""1/2""","=""""","=""27.27000770""","=""""","=""0.00000014""","=""0.0370738""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""""","=""27.78324821""","=""""","=""0.00000016""","=""0.5132405""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""","=""""","=""27.85915908""","=""""","=""0.00000017""","=""0.0759109""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""""","=""30.52396899""","=""""","=""0.00000017""","=""2.6648099""","=""  99                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""","=""""","=""30.55156804""","=""""","=""0.00000014""","=""0.0275990""","=""  99                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""","=""""","=""30.57421575""","=""""","=""0.00000015""","=""0.0226477""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(1D).3s""","=""2D""","=""5/2""","=""""","=""30.54897749""","=""""","=""0.00000019""","=""-0.0252383""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(1D).3s""","=""2D""","=""3/2""","=""""","=""30.54939418""","=""""","=""0.00000025""","=""0.0004167""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""""","=""30.88553180""","=""""","=""0.00000017""","=""0.3361376""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""""","=""30.92735780""","=""""","=""0.00000015""","=""0.0418260""","=""  98                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""","=""""","=""30.95829705""","=""""","=""0.00000016""","=""0.0309392""","=""  99                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""","=""""","=""30.97616485""","=""""","=""0.00000017""","=""0.0178678""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""","=""""","=""31.12141637""","=""""","=""0.00000019""","=""0.1452515""","=""  99                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""2D*""","=""3/2""","=""""","=""31.18476555""","=""""","=""0.00000019""","=""0.0633492""","=""  99                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""2S*""","=""1/2""","=""""","=""31.34301510""","=""""","=""0.00000025""","=""0.1582495""","=""  93                            :     6  2s2.2p4.(3P).3p    2P*   ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""4S*""","=""3/2""","=""""","=""31.36223939""","=""""","=""0.00000016""","=""0.0192243""","=""  99                                                              ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""","=""""","=""31.51244241""","=""""","=""0.00000017""","=""0.1502030""","=""  92                            :     6  2s2.2p4.(1D).3p    2P*   ""","=""L9088"""
"=""2s2.2p4.(3P).3p""","=""2P*""","=""1/2""","=""""","=""31.52821065""","=""""","=""0.00000019""","=""0.0157682""","=""  86                            :     7  2s2.2p4.(1D).3p    2P*   ""","=""L9088"""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""","=""""","=""34.01687000""","=""""","=""0.00000025""","=""2.4886593""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""","=""""","=""34.02239020""","=""""","=""0.00000025""","=""0.0055202""","="" 100                                                              ""","=""L9088"""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""3/2""","=""""","=""34.25396207""","=""""","=""0.00000025""","=""0.2315719""","=""  89                            :     5  2s2.2p4.(3P).3p    2P*   ""","=""L9088"""
"=""2s2.2p4.(1D).3p""","=""2P*""","=""1/2""","=""""","=""34.2830939""","=""""","=""0.0000004""","=""0.0291318""","=""  89                            :     6  2s2.2p4.(3P).3p    2P*   ""","=""L9088"""
