Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p4""","=""3P""","=""2""","=""""","=""0.0000000""","=""""","=""0""","=""""","="" 100                                ""","=""L9091"""
"=""2s2.2p4""","=""3P""","=""1""","=""""","=""0.0797065""","=""""","=""0.0000016""","=""0.0797065""","="" 100                                ""","="""""
"=""2s2.2p4""","=""3P""","=""0""","=""""","=""0.1141337""","=""""","=""0.0000016""","=""0.034427""","="" 100                                ""","="""""
"=""2s2.2p4""","=""1D""","=""2""","=""""","=""3.203841""","=""""","=""0.000025""","=""3.08971""","="" 100                                ""","="""""
"=""2s2.2p4""","=""1S""","=""0""","=""""","=""6.91245""","=""""","=""0.00011""","=""3.70861""","=""  98                                ""","="""""
"=""2s.2p5""","=""3P*""","=""2""","=""""","=""25.32873""","=""""","=""0.00014""","=""18.4163""","=""  99                                ""","="""""
"=""2s.2p5""","=""3P*""","=""1""","=""""","=""25.40097""","=""""","=""0.00014""","=""0.0722""","=""  99                                ""","="""""
"=""2s.2p5""","=""3P*""","=""0""","=""""","=""25.44081""","=""""","=""0.00025""","=""0.0398""","=""  99                                ""","="""""
"=""2s.2p5""","=""1P*""","=""1""","=""""","=""35.89077""","=""""","=""0.00012""","=""10.4500""","=""  98                                ""","="""""
"=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""""","=""38.420352""","=""+x""","=""0.00025""","=""2.52958""","="" 100                                ""","="""""
"=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""""","=""39.604429""","=""""","=""0.00011""","=""1.18408""","="" 100                                ""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""""","=""43.1955398""","=""+x""","=""0.0000005""","=""3.591111""","=""  99                                ""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""""","=""43.1993962""","=""+x""","=""0.0000005""","=""0.0038564""","=""  99                                ""","="""""
"=""2s2.2p3.(4S*).3p""","=""5P""","=""3""","=""""","=""43.2059611""","=""+x""","=""0.0000005""","=""0.0065649""","=""  99                                ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""""","=""43.782987""","=""""","=""0.000006""","=""0.577026""","="" 100                                ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""""","=""43.786633""","=""""","=""0.000006""","=""0.003646""","="" 100                                ""","="""""
"=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""""","=""43.789130""","=""""","=""0.000006""","=""0.002497""","="" 100                                ""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""""","=""44.2315906""","=""""","=""0.0000005""","=""0.442461""","=""  95                                ""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""""","=""44.2328337""","=""""","=""0.0000005""","=""0.0012431""","=""  95                                ""","="""""
"=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""""","=""44.2329494""","=""""","=""0.0000005""","=""0.0001157""","=""  95                                ""","="""""
"=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""""","=""44.377537""","=""""","=""0.000007""","=""0.144588""","="" 100                                ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""","=""""","=""46.430781""","=""""","=""0.000006""","=""2.053244""","=""  98                                ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""","=""""","=""46.430862""","=""""","=""0.000006""","=""0.000081""","=""  98                                ""","="""""
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""","=""""","=""46.431595""","=""""","=""0.000006""","=""0.000733""","=""  98                                ""","="""""
"=""2s2.2p3.(2P*).3s""","=""1P*""","=""1""","=""""","=""47.092466""","=""""","=""0.000007""","=""0.660871""","=""  98                                ""","="""""
"=""2s2.2p3.(2D*).3p""","=""1P""","=""1""","=""""","=""48.101172""","=""""","=""0.000007""","=""1.008706""","=""  86         :     7  (2P*).3p 1P   ""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""""","=""48.235376""","=""""","=""0.000006""","=""0.134204""","=""  91         :     6  (2D*).3p 1P   ""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""2""","=""""","=""48.236740""","=""""","=""0.000006""","=""0.001364""","=""  97                                ""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""""","=""48.245340""","=""""","=""0.000006""","=""0.008600""","=""  97                                ""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""2""","=""""","=""48.527445""","=""""","=""0.000006""","=""0.282105""","="" 100                                ""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""3""","=""""","=""48.529360""","=""""","=""0.000006""","=""0.001915""","=""  99                                ""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""4""","=""""","=""48.531910""","=""""","=""0.000006""","=""0.002550""","="" 100                                ""","="""""
"=""2s2.2p3.(2D*).3p""","=""1F""","=""3""","=""""","=""48.701219""","=""""","=""0.000007""","=""0.169309""","="" 100                                ""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","=""""","=""48.9342671""","=""+x""","=""0.0000012""","=""0.233048""","="" 100                                ""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""""","=""48.9345893""","=""+x""","=""0.0000025""","=""0.000322""","="" 100                                ""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""""","=""48.935034""","=""+x""","=""0.000004""","=""0.000445""","="" 100                                ""","="""""
