Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2s2.2p2""","=""3P""","=""0""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""  98                                      ""","=""L11744"""
"=""2s2.2p2""","=""3P""","=""1""","=""""","=""0.0509856""","=""""","=""0.0000006""","=""0.0509856""","=""  98                                      ""","=""L11744"""
"=""2s2.2p2""","=""3P""","=""2""","=""""","=""0.1375564""","=""""","=""0.0000014""","=""0.086571""","=""  98                                      ""","=""L11744"""
"=""2s2.2p2""","=""1D""","=""2""","=""""","=""3.755564""","=""""","=""0.000015""","=""3.61801""","=""  98                                      ""","=""L11744"""
"=""2s2.2p2""","=""1S""","=""0""","=""""","=""7.92450""","=""""","=""0.00007""","=""4.16894""","=""  94         :     6  2p4            1S   ""","=""L11744"""
"=""2s.2p3""","=""5S*""","=""2""","=""""","=""10.96014""","=""""","=""0.00019""","=""3.0356""","="" 100                                      ""","=""L11744"""
"=""2s.2p3""","=""3D*""","=""3""","=""""","=""21.80043""","=""""","=""0.00019""","=""10.8403""","="" 100                                      ""","=""L11744"""
"=""2s.2p3""","=""3D*""","=""2""","=""""","=""21.80916""","=""""","=""0.00019""","=""0.0087""","=""  99                                      ""","=""L11744"""
"=""2s.2p3""","=""3D*""","=""1""","=""""","=""21.81192""","=""""","=""0.00019""","=""0.0028""","=""  99                                      ""","=""L11744"""
"=""2s.2p3""","=""3P*""","=""2""","=""""","=""25.80747""","=""""","=""0.00025""","=""3.9955""","="" 100                                      ""","=""L11744"""
"=""2s.2p3""","=""3P*""","=""1""","=""""","=""25.80772""","=""""","=""0.00025""","=""0.0003""","="" 100                                      ""","=""L11744"""
"=""2s.2p3""","=""3P*""","=""0""","=""""","=""25.81165""","=""""","=""0.00025""","=""0.0039""","="" 100                                      ""","=""L11744"""
"=""2s.2p3""","=""1D*""","=""2""","=""""","=""33.54428""","=""""","=""0.00025""","=""7.7326""","=""  99                                      ""","=""L11744"""
"=""2s.2p3""","=""3S*""","=""1""","=""""","=""34.63761""","=""""","=""0.00025""","=""1.0933""","=""  99                                      ""","=""L11744"""
"=""2s.2p3""","=""1P*""","=""1""","=""""","=""37.66878""","=""""","=""0.00025""","=""3.0312""","=""  99                                      ""","=""L11744"""
"=""2p4""","=""3P""","=""2""","=""""","=""51.16556""","=""""","=""0.00025""","=""13.4968""","=""  97                                      ""","=""L11744"""
