Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3d8.(3F).4s2""","=""3F""","=""4""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""1.24965""","=""  97                                                   ""","=""L11151"""
"=""3d8.(3F).4s2""","=""3F""","=""3""","=""""","=""0.1651673""","=""""","=""""","=""0.1651673""","=""1.08280""","=""  97                                                   ""","="""""
"=""3d8.(3F).4s2""","=""3F""","=""2""","=""""","=""0.2748172""","=""""","=""""","=""0.109650""","=""0.66956""","=""  96                                                   ""","="""""
"=""3d9.(2D).4s""","=""3D""","=""3""","=""""","=""0.0253904""","=""""","=""""","=""-0.249427""","=""1.33354""","=""  99                                                   ""","="""""
"=""3d9.(2D).4s""","=""3D""","=""2""","=""""","=""0.1090833""","=""""","=""""","=""0.083693""","=""1.15105""","=""  90             :     9  3d9.(2D).4s          1D      ""","="""""
"=""3d9.(2D).4s""","=""3D""","=""1""","=""""","=""0.2123957""","=""""","=""""","=""0.103312""","=""0.49804""","=""  99                                                   ""","="""""
"=""3d9.(2D).4s""","=""1D""","=""2""","=""""","=""0.4227783""","=""""","=""""","=""0.210383""","=""1.01297""","=""  89             :     9  3d9.(2D).4s          3D      ""","="""""
"=""3d8.(1D).4s2""","=""1D""","=""2""","=""""","=""1.6764334""","=""""","=""""","=""1.253655""","=""1.143""","=""  77             :    19  3d8.(3P).4s2         3P      ""","="""""
"=""3d10""","=""1S""","=""0""","=""""","=""1.8261434""","=""""","=""""","=""0.149710""","=""""","=""  94                                                   ""","="""""
"=""3d8.(3P).4s2""","=""3P""","=""2""","=""""","=""1.9353740""","=""""","=""""","=""0.109231""","=""1.356""","=""  78             :    18  3d8.(1D).4s2         1D      ""","="""""
"=""3d8.(3P).4s2""","=""3P""","=""1""","=""""","=""1.9507675""","=""""","=""""","=""0.015394""","=""1.497""","=""  97                                                   ""","="""""
"=""3d8.(3P).4s2""","=""3P""","=""0""","=""""","=""1.9858928""","=""""","=""""","=""0.035125""","=""""","=""  96                                                   ""","="""""
"=""3d8.(1G).4s2""","=""1G""","=""4""","=""""","=""2.7403390""","=""""","=""""","=""0.754446""","=""0.99""","=""  97                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""4""","=""""","=""3.1930336""","=""""","=""""","=""0.452695""","=""1.51""","=""  95                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""3""","=""""","=""3.3061486""","=""""","=""""","=""0.113115""","=""1.495""","=""  93                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""2""","=""""","=""3.3990104""","=""""","=""""","=""0.092862""","=""1.494""","=""  93                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""1""","=""""","=""3.4645554""","=""""","=""""","=""0.065545""","=""1.486""","=""  95                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""0""","=""""","=""3.4979659""","=""""","=""""","=""0.033411""","=""""","=""  96                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""6""","=""""","=""3.3799201""","=""""","=""""","=""-0.118046""","=""1.32""","=""  98                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""5""","=""""","=""3.4195327""","=""""","=""""","=""0.039613""","=""1.276""","=""  82             :    14  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""4""","=""""","=""3.4799965""","=""""","=""""","=""0.060464""","=""1.171""","=""  83             :    12  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""3""","=""""","=""3.5432227""","=""""","=""""","=""0.063226""","=""0.945""","=""  87             :     8  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""2""","=""""","=""3.5971791""","=""""","=""""","=""0.053956""","=""0.364""","=""  95                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""5""","=""""","=""3.5387700""","=""""","=""""","=""-0.058409""","=""1.377""","=""  85             :    13  3d8.(3F).4s.4p.(3P*) 5G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""4""","=""""","=""3.6060130""","=""""","=""""","=""0.067243""","=""1.288""","=""  75             :    11  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""3""","=""""","=""3.6987932""","=""""","=""""","=""0.092780""","=""1.208""","=""  56             :    19  3d9.(2D).4p          3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""2""","=""""","=""3.7397508""","=""""","=""""","=""0.040958""","=""0.985""","=""  76             :     6  3d9.(2D).4p          3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""1""","=""""","=""3.7681281""","=""""","=""""","=""0.028377""","=""0.006""","=""  98                                                   ""","="""""
"=""3d9.(2D).4p""","=""3P*""","=""2""","=""""","=""3.5421297""","=""""","=""""","=""-0.225998""","=""1.485""","=""  93                                                   ""","="""""
"=""3d9.(2D).4p""","=""3P*""","=""1""","=""""","=""3.6576174""","=""""","=""""","=""0.115488""","=""1.426""","=""  90                                                   ""","="""""
"=""3d9.(2D).4p""","=""3P*""","=""0""","=""""","=""3.7433620""","=""""","=""""","=""0.085745""","=""""","=""  97                                                   ""","="""""
"=""3d9.(2D).4p""","=""3F*""","=""3""","=""""","=""3.6353112""","=""""","=""""","=""-0.108051""","=""1.287""","=""  33             :    30  3d8.(3F).4s.4p.(3P)  5F*     ""","="""""
"=""3d9.(2D).4p""","=""3F*""","=""4""","=""""","=""3.6551768""","=""""","=""""","=""0.019866""","=""1.086""","=""  81             :    10  3d8.(3F).4s.4p.(3P)  3D*     ""","="""""
"=""3d9.(2D).4p""","=""3F*""","=""2""","=""""","=""3.7963235""","=""""","=""""","=""0.141147""","=""0.740""","=""  72             :     8  3d8.(3F).4s.4p.(3P)  3F*     ""","="""""
"=""3d9.(2D).4p""","=""3D*""","=""3""","=""""","=""3.6784739""","=""""","=""""","=""-0.117850""","=""1.044""","=""  57             :    18  3d8.(3F).4s.4p.(3P)  3D*     ""","="""""
"=""3d9.(2D).4p""","=""3D*""","=""2""","=""""","=""3.7056989""","=""""","=""""","=""0.027225""","=""0.552""","=""  36             :    18  3d9.(2D).4p          1D*     ""","="""""
"=""3d9.(2D).4p""","=""3D*""","=""1""","=""""","=""3.8327008""","=""""","=""""","=""0.127002""","=""""","=""  64             :    28  3d8.(3F).4s.4p.(3P)  3D*     ""","="""""
"=""3d9.(2D).4p""","=""*""","=""3""","=""""","=""3.6784770""","=""""","=""""","=""-0.154224""","=""1.300""","=""  30  3D*        :    30  3d8.(3F).4s.4p.(3P*) 5F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""5""","=""""","=""3.8339304""","=""""","=""""","=""0.155453""","=""1.214""","=""  94             :     5  3d8.(3F).4s.4p.(3P*) 5G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""4""","=""""","=""3.8409993""","=""""","=""""","=""0.007069""","=""1.052""","=""  78             :    14  3d8.(3F).4s.4p.(3P*) 1G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""3""","=""""","=""3.9409818""","=""""","=""""","=""0.099982""","=""0.761""","=""  93                                                   ""","="""""
"=""3d9.(2D).4p""","=""1F*""","=""3""","=""""","=""3.8473561""","=""""","=""""","=""-0.093626""","=""1.048""","=""  56             :    31  3d9.(2D).4p          3F*     ""","="""""
"=""3d9.(2D).4p""","=""1D*""","=""2""","=""""","=""3.8982659""","=""""","=""""","=""0.050910""","=""1.060""","=""  67             :    14  3d9.(2D).4p          3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""","=""""","=""4.0881776""","=""""","=""""","=""0.189912""","=""1.222""","=""  77             :    10  3d8.(3F).4s.4p.(3P*) 1G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""","=""""","=""4.1054062""","=""""","=""""","=""0.017229""","=""1.193""","=""  37             :    31  3d8.(3F).4s.4p.(3P*) 3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""""","=""4.2357049""","=""""","=""""","=""0.130299""","=""0.973""","=""  53             :    29  3d8.(3F).4s.4p.(3P*) 3D*     ""","="""""
"=""3d9.(2D).4p""","=""1P*""","=""1""","=""""","=""4.0892791""","=""""","=""""","=""-0.146426""","=""1.005""","=""  94                                                   ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""3""","=""""","=""4.1535726""","=""""","=""""","=""0.064294""","=""1.198""","=""  38             :    35  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""2""","=""""","=""4.1672193""","=""""","=""""","=""0.013647""","=""1.19""","=""  34             :    32  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""3D*""","=""1""","=""""","=""4.2661171""","=""""","=""""","=""0.098898""","=""0.511""","=""  66             :    27  3d9.(2D).4p          3D*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""1G*""","=""4""","=""""","=""4.1646453""","=""""","=""""","=""-0.101472""","=""""","=""  75             :    13  3d8.(3F).4s.4p.(3P*) 3G*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""1F*""","=""3""","=""""","=""4.4186880""","=""""","=""""","=""0.254043""","=""1.013""","=""  83             :     9  3d8.(3F).4s.4p.(3P*) 3F*     ""","="""""
"=""3d8.(3F).4s.4p.(3P*)""","=""1D*""","=""2""","=""""","=""4.5379197""","=""""","=""""","=""0.119232""","=""1.013""","=""  82             :     9  3d9.(2D).4p          1D*     ""","="""""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""3""","=""""","=""5.0041571""","=""""","=""""","=""0.466237""","=""""","=""  87             :    10  3d8.(1D).4s.4p.(3P*) 3D*     ""","="""""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""2""","=""""","=""5.0194026""","=""""","=""""","=""0.015246""","=""""","=""  89                                                   ""","="""""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""1""","=""""","=""5.0547113""","=""""","=""""","=""0.035309""","=""""","=""  94                                                   ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""4""","=""""","=""5.2798934""","=""""","=""""","=""0.225182""","=""1.346""","=""  53             :    40  3d8.(3P).4s.4p.(3P*) 5D*     ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""3""","=""""","=""5.3025380""","=""""","=""""","=""0.022645""","=""1.218""","=""  61             :    17  3d8.(1D).4s.4p.(3P*) 5D*     ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""2""","=""""","=""5.3256424""","=""""","=""""","=""0.023104""","=""0.840""","=""  71             :    14  3d8.(1D).4s.4p.(3P*) 3D*     ""","="""""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""""","=""5.2824639""","=""""","=""""","=""-0.043179""","=""1.34""","="" 100                                                   ""","="""""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""""","=""5.3052851""","=""""","=""""","=""0.022821""","=""1.085""","=""  99                                                   ""","="""""
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""3""","=""""","=""5.2843298""","=""""","=""""","=""-0.020955""","=""""","=""  39             :    32  3d8.(3F).4s.4p.(1P*) 3D*     ""","="""""
