Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""3p6.3d9""","=""2D""","=""5/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""""","=""                                                     ""","=""L7185"""
"=""3p6.3d9""","=""2D""","=""3/2""","=""""","=""0.186837""","=""""","=""""","=""0.186837""","=""""","=""                                                     ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""","=""""","=""1.040711""","=""""","=""""","=""0.85387""","=""1.355""","="" 100                                                 ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""","=""""","=""1.156778""","=""""","=""""","=""0.11607""","=""1.244""","=""  98             :     2  3d8.(3F).4s          2F    ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""","=""""","=""1.254182""","=""""","=""""","=""0.09740""","=""1.023""","=""  99             :     1  3d8.(3F).4s          2F    ""","="""""
"=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""","=""""","=""1.322154""","=""""","=""""","=""0.06797""","=""0.397""","=""  99             :     1  3d8.(1D).4s          2D    ""","="""""
"=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""","=""""","=""1.680034""","=""""","=""""","=""0.35788""","=""1.141""","=""  98             :     2  3d8.(3F).4s          4F    ""","="""""
"=""3p6.3d8.(3F).4s""","=""2F""","=""5/2""","=""""","=""1.859214""","=""""","=""""","=""0.17918""","=""0.866""","=""  98             :     1  3d8.(1D).4s          2D    ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""5/2""","=""""","=""2.865062""","=""""","=""""","=""1.00585""","=""1.428""","=""  54             :    46  3d8.(1D).4s          2D    ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""3/2""","=""""","=""3.073345""","=""""","=""""","=""0.20828""","=""""","=""  78             :    22  3d8.(1D).4s          2D    ""","="""""
"=""3p6.3d8.(3P).4s""","=""4P""","=""1/2""","=""""","=""3.079263""","=""""","=""""","=""0.00592""","=""2.667""","="" 100                                                 ""","="""""
"=""3p6.3d8.(1D).4s""","=""2D""","=""3/2""","=""""","=""2.950350""","=""""","=""""","=""-0.12891""","=""1.045""","=""  75             :    22  3d8.(3P).4s          4P    ""","="""""
"=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""","=""""","=""3.104116""","=""""","=""""","=""0.15377""","=""1.368""","=""  53             :    46  3d8.(3P).4s          4P    ""","="""""
"=""3p6.3d8.(3P).4s""","=""2P""","=""3/2""","=""""","=""3.604336""","=""""","=""""","=""0.50022""","=""1.322""","=""  97             :     3  3d8.(1D).4s          2D    ""","="""""
"=""3p6.3d8.(3P).4s""","=""2P""","=""1/2""","=""""","=""3.669121""","=""""","=""""","=""0.06479""","=""0.670""","="" 100                                                 ""","="""""
"=""3p6.3d8.(1G).4s""","=""2G""","=""9/2""","=""""","=""4.029428""","=""""","=""""","=""0.36031""","=""1.135""","="" 100                                                 ""","="""""
"=""3p6.3d8.(1G).4s""","=""2G""","=""7/2""","=""""","=""4.032405""","=""""","=""""","=""0.00298""","=""0.895""","=""                                                     ""","="""""
"=""3p6.3d7.4s2""","=""4F""","=""9/2""","=""""","=""6.328830""","=""""","=""""","=""2.29643""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d7.4s2""","=""4F""","=""7/2""","=""""","=""6.472713""","=""""","=""""","=""0.14388""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d7.4s2""","=""4F""","=""5/2""","=""""","=""6.575865""","=""""","=""""","=""0.10315""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d7.4s2""","=""4F""","=""3/2""","=""""","=""6.645701""","=""""","=""""","=""0.06984""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""7/2""","=""""","=""6.392359""","=""""","=""""","=""-0.25334""","=""1.420""","=""  94                                                 ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""5/2""","=""""","=""6.538734""","=""""","=""""","=""0.14637""","=""1.365""","=""  93                                                 ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""3/2""","=""""","=""6.649845""","=""""","=""""","=""0.11111""","=""1.186""","=""  94             :     4  3d8.(3P).4p          4D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4D*""","=""1/2""","=""""","=""6.717000""","=""""","=""""","=""0.06715""","=""-0.005""","=""  96                                                 ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""9/2""","=""""","=""6.616438""","=""""","=""""","=""-0.10056""","=""1.156""","=""  67             :    23  3d8.(3F).4p          2G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""11/2""","=""""","=""6.632719""","=""""","=""""","=""0.01628""","=""1.305""","="" 100                                                 ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""7/2""","=""""","=""6.727709""","=""""","=""""","=""0.09499""","=""1.025""","=""  81             :    10  3d8.(3F).4p          4F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4G*""","=""5/2""","=""""","=""6.821451""","=""""","=""""","=""0.09374""","=""0.616""","=""  94             :     5  3d8.(3F).4p          4F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""9/2""","=""""","=""6.764212""","=""""","=""""","=""-0.05724""","=""1.26""","=""  80             :    19  3d8.(3F).4p          2G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""7/2""","=""""","=""6.870935""","=""""","=""""","=""0.10672""","=""1.184""","=""  76             :    10  3d8.(3F).4p          2F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""5/2""","=""""","=""6.952446""","=""""","=""""","=""0.08151""","=""0.985""","=""  87             :     6  3d8.(3F).4p          4G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""4F*""","=""3/2""","=""""","=""6.995745""","=""""","=""""","=""0.04330""","=""0.412""","=""  95                                                 ""","="""""
"=""3p6.3d8.(3F).4p""","=""2G*""","=""9/2""","=""""","=""6.856283""","=""""","=""""","=""-0.13946""","=""1.152""","=""  58             :    32  3d8.(3F).4p          4G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2G*""","=""7/2""","=""""","=""6.989164""","=""""","=""""","=""0.13288""","=""0.940""","=""  84             :     8  3d8.(3F).4p          4G*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2F*""","=""7/2""","=""""","=""7.077086""","=""""","=""""","=""0.08792""","=""1.154""","=""  81             :    11  3d8.(3F).4p          4F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2F*""","=""5/2""","=""""","=""7.252234""","=""""","=""""","=""0.17515""","=""0.946""","=""  74             :    20  3d8.(3F).4p          2D*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2D*""","=""5/2""","=""""","=""7.119193""","=""""","=""""","=""-0.13304""","=""1.116""","=""  74             :    20  3d8.(3F).4p          2F*   ""","="""""
"=""3p6.3d8.(3F).4p""","=""2D*""","=""3/2""","=""""","=""7.278610""","=""""","=""""","=""0.15942""","=""0.795""","=""  89             :     7  3d8.(1D).4p          2D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""5/2""","=""""","=""8.253794""","=""""","=""""","=""0.97518""","=""1.48""","=""  73             :    20  3d8.(1D).4p          2D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""3/2""","=""""","=""8.254832""","=""""","=""""","=""0.00104""","=""1.550""","=""  73             :    12  3d8.(1D).4p          2P*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4P*""","=""1/2""","=""""","=""8.310787""","=""""","=""""","=""0.05595""","=""2.331""","=""  85             :    11  3d8.(1D).4p          2P*   ""","="""""
"=""3p6.3d8.(1D).4p""","=""2F*""","=""5/2""","=""""","=""8.393066""","=""""","=""""","=""0.08228""","=""0.960""","=""  84             :     8  3d8.(3P).4p          4P*   ""","="""""
"=""3p6.3d8.(1D).4p""","=""2F*""","=""7/2""","=""""","=""8.447193""","=""""","=""""","=""0.05413""","=""1.200""","=""  86             :     9  3d8.(3P).4p          4D*   ""","="""""
"=""3p6.3d7.4s2""","=""4P""","=""5/2""","=""""","=""8.416067""","=""""","=""""","=""-0.03113""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d7.4s2""","=""4P""","=""3/2""","=""""","=""8.450338""","=""""","=""""","=""0.03427""","=""""","=""  94             :     6  3d7.4s2              2P    ""","="""""
"=""3p6.3d7.4s2""","=""4P""","=""1/2""","=""""","=""8.518925""","=""""","=""""","=""0.06859""","=""""","=""  98             :     2  3d7.4s2              2P    ""","="""""
"=""3p6.3d8.(1D).4p""","=""2D*""","=""3/2""","=""""","=""8.450057""","=""""","=""""","=""-0.06887""","=""1.02""","=""  65             :    18  3d8.(3P).4p          4P*   ""","="""""
"=""3p6.3d8.(1D).4p""","=""2D*""","=""5/2""","=""""","=""8.522175""","=""""","=""""","=""0.07212""","=""1.264""","=""  74             :    19  3d8.(3P).4p          4P*   ""","="""""
"=""3p6.3d8.(1D).4p""","=""2P*""","=""1/2""","=""""","=""8.465842""","=""""","=""""","=""-0.05633""","=""1.008""","=""  61             :    23  3d8.(3P).4p          2P*   ""","="""""
"=""3p6.3d8.(1D).4p""","=""2P*""","=""3/2""","=""""","=""8.550651""","=""""","=""""","=""0.08481""","=""1.305""","=""  64             :    15  3d8.(1D).4p          2D*   ""","="""""
"=""3p6.3d7.4s2""","=""2G""","=""9/2""","=""""","=""8.723397""","=""""","=""""","=""0.17275""","=""""","=""  97             :     3  3d7.4s2              2H    ""","="""""
"=""3p6.3d7.4s2""","=""2G""","=""7/2""","=""""","=""8.859631""","=""""","=""""","=""0.13623""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""5/2""","=""""","=""8.757681""","=""""","=""""","=""-0.10195""","=""1.325""","=""  83             :     9  3d8.(3P).4p          2D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""3/2""","=""""","=""8.766522""","=""""","=""""","=""0.00884""","=""1.190""","=""  91             :     4  3d8.(3F).4p          4D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""1/2""","=""""","=""8.771721""","=""""","=""""","=""0.00520""","=""""","=""  95             :     4  3d8.(3F).4p          4D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4D*""","=""7/2""","=""""","=""8.775368""","=""""","=""""","=""0.00365""","=""1.385""","=""  87             :     9  3d8.(1D).4p          2F*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""2D*""","=""5/2""","=""""","=""8.898449""","=""""","=""""","=""0.12308""","=""1.240""","=""  87             :    10  3d8.(3P).4p          4D*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""2D*""","=""3/2""","=""""","=""8.973408""","=""""","=""""","=""0.07496""","=""0.844""","=""  82             :    11  3d8.(3P).4p          2P*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""2P*""","=""3/2""","=""""","=""9.049067""","=""""","=""""","=""0.07566""","=""1.326""","=""  67             :    16  3d8.(1D).4p          2P*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""2P*""","=""1/2""","=""""","=""9.162835""","=""""","=""""","=""0.11377""","=""1.039""","=""  70             :    24  3d8.(1D).4p          2P*   ""","="""""
"=""3p6.3d7.4s2""","=""2P""","=""3/2""","=""""","=""9.161655""","=""""","=""""","=""-0.00118""","=""""","=""  85             :     8  3d7.4s2              2D2   ""","="""""
"=""3p6.3d8.(3P).4p""","=""2S*""","=""1/2""","=""""","=""9.209959""","=""""","=""""","=""0.04830""","=""""","=""  94             :     4  3d8.(1D).4p          2P*   ""","="""""
"=""3p6.3d8.(3P).4p""","=""4S*""","=""3/2""","=""""","=""9.212141""","=""""","=""""","=""0.00218""","=""""","=""  97                                                 ""","="""""
"=""3p6.3d8.(1G).4p""","=""2H*""","=""9/2""","=""""","=""9.317348""","=""""","=""""","=""0.10521""","=""0.903""","="" 100                                                 ""","="""""
"=""3p6.3d8.(1G).4p""","=""2H*""","=""11/2""","=""""","=""9.388292""","=""""","=""""","=""0.07094""","=""1.119""","="" 100                                                 ""","="""""
"=""3p6.3d8.(1G).4p""","=""2F*""","=""7/2""","=""""","=""9.412587""","=""""","=""""","=""0.02430""","=""1.165""","=""  94             :     4  3d8.(1D).4p          2F*   ""","="""""
"=""3p6.3d8.(1G).4p""","=""2F*""","=""5/2""","=""""","=""9.472644""","=""""","=""""","=""0.06006""","=""""","=""  95                                                 ""","="""""
"=""3p6.3d7.4s2""","=""2H""","=""11/2""","=""""","=""9.512980""","=""""","=""""","=""0.04034""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d7.4s2""","=""2H""","=""9/2""","=""""","=""9.638134""","=""""","=""""","=""0.12515""","=""""","=""  97             :     3  3d7.4s2              2G    ""","="""""
"=""3p6.3d7.4s2""","=""2D2""","=""5/2""","=""""","=""9.588004""","=""""","=""""","=""-0.05013""","=""""","=""  77             :    23  3d7.4s2              2D1   ""","="""""
"=""3p6.3d7.4s2""","=""2D2""","=""3/2""","=""""","=""9.789228""","=""""","=""""","=""0.20122""","=""""","=""  72             :    18  3d7.4s2              2D1   ""","="""""
"=""3p6.3d8.(1G).4p""","=""2G*""","=""7/2""","=""""","=""9.896794""","=""""","=""""","=""0.10757""","=""""","=""  99                                                 ""","="""""
"=""3p6.3d8.(1G).4p""","=""2G*""","=""9/2""","=""""","=""9.909298""","=""""","=""""","=""0.01250""","=""""","="" 100                                                 ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6F*""","=""11/2""","=""""","=""10.705194""","=""""","=""""","=""0.79590""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6F*""","=""9/2""","=""""","=""10.770511""","=""""","=""""","=""0.06532""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6F*""","=""7/2""","=""""","=""10.853340""","=""""","=""""","=""0.08283""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6F*""","=""5/2""","=""""","=""10.926549""","=""""","=""""","=""0.07321""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6F*""","=""3/2""","=""""","=""10.982770""","=""""","=""""","=""0.05622""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6F*""","=""1/2""","=""""","=""11.019913""","=""""","=""""","=""0.03714""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""","=""""","=""10.931920""","=""""","=""""","=""-0.08799""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""","=""""","=""11.047053""","=""""","=""""","=""0.11513""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6G*""","=""11/2""","=""""","=""11.091670""","=""""","=""""","=""0.04462""","=""""","=""                                                     ""","="""""
"=""3p6.3d7.(4F).4s.4p.(3P*)""","=""6G*""","=""9/2""","=""""","=""11.148469""","=""""","=""""","=""0.05680""","=""""","=""                                                     ""","="""""
