Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3p6.3d8""","=""3F""","=""4""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                                ""","=""L7185"""
"=""3p6.3d8""","=""3F""","=""3""","=""""","=""0.16871""","=""""","=""""","=""0.16871""","="" 100                                                ""","="""""
"=""3p6.3d8""","=""3F""","=""2""","=""""","=""0.28139""","=""""","=""""","=""0.1127""","=""  99                                                ""","="""""
"=""3p6.3d8""","=""1D""","=""2""","=""""","=""1.73970""","=""""","=""""","=""1.4583""","=""  83             :    16  3d8              3P       ""","="""""
"=""3p6.3d8""","=""3P""","=""2""","=""""","=""2.06578""","=""""","=""""","=""0.3261""","=""  84             :    16  3d8              1D       ""","="""""
"=""3p6.3d8""","=""3P""","=""1""","=""""","=""2.10498""","=""""","=""""","=""0.0392""","="" 100                                                ""","="""""
"=""3p6.3d8""","=""3P""","=""0""","=""""","=""2.13633""","=""""","=""""","=""0.0314""","="" 100                                                ""","="""""
"=""3p6.3d8""","=""1G""","=""4""","=""""","=""2.86511""","=""""","=""""","=""0.7288""","="" 100                                                ""","="""""
"=""3p6.3d8""","=""1S""","=""0""","=""""","=""6.51314""","=""""","=""""","=""3.6480""","="" 100                                                ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""5""","=""""","=""6.658439""","=""""","=""""","=""0.14530""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""4""","=""""","=""6.776707""","=""""","=""""","=""0.11827""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""3""","=""""","=""6.869504""","=""""","=""""","=""0.09280""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""2""","=""""","=""6.937190""","=""""","=""""","=""0.06769""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4s""","=""5F""","=""1""","=""""","=""6.981332""","=""""","=""""","=""0.04414""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""4""","=""""","=""7.605015""","=""""","=""""","=""0.62368""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""3""","=""""","=""7.762103""","=""""","=""""","=""0.15709""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4s""","=""3F""","=""2""","=""""","=""7.869516""","=""""","=""""","=""0.10741""","=""                                                    ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""3""","=""""","=""8.811228""","=""""","=""""","=""0.94171""","=""                                                    ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""2""","=""""","=""8.850500""","=""""","=""""","=""0.03927""","=""                                                    ""","="""""
"=""3p6.3d7.(4P).4s""","=""5P""","=""1""","=""""","=""8.907325""","=""""","=""""","=""0.05682""","=""                                                    ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""5""","=""""","=""9.314146""","=""""","=""""","=""0.40682""","=""                                                    ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""4""","=""""","=""9.378984""","=""""","=""""","=""0.06484""","=""                                                    ""","="""""
"=""3p6.3d7.(2G).4s""","=""3G""","=""3""","=""""","=""9.452214""","=""""","=""""","=""0.07323""","=""                                                    ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""2""","=""""","=""9.708402""","=""""","=""""","=""0.25619""","=""  47             :    53  3d7.(2P).4s      3P       ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""1""","=""""","=""9.730581""","=""""","=""""","=""0.02218""","=""  52             :    35  3d7.(2P).4s      3P       ""","="""""
"=""3p6.3d7.(4P).4s""","=""3P""","=""0""","=""""","=""9.752293""","=""""","=""""","=""0.02171""","=""  48             :    46  3d7.(2P).4s      3P       ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""2""","=""""","=""9.812483""","=""""","=""""","=""0.06019""","=""  47             :    53  3d7.(4P).4s      3P       ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""1""","=""""","=""9.887643""","=""""","=""""","=""0.07516""","=""  56             :    39  3d7.(4P).4s      3P       ""","="""""
"=""3p6.3d7.(2P).4s""","=""3P""","=""0""","=""""","=""9.995742""","=""""","=""""","=""0.10810""","=""  43             :    51  3d7.(4P).4s      3P       ""","="""""
"=""3p6.3d7.(2G).4s""","=""1G""","=""4""","=""""","=""9.825761""","=""""","=""""","=""-0.16998""","=""                                                    ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""6""","=""""","=""10.127872""","=""""","=""""","=""0.30211""","=""                                                    ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""5""","=""""","=""10.190732""","=""""","=""""","=""0.06286""","=""                                                    ""","="""""
"=""3p6.3d7.(2H).4s""","=""3H""","=""4""","=""""","=""10.269165""","=""""","=""""","=""0.07843""","=""                                                    ""","="""""
"=""3p6.3d7.(a 2D).4s""","=""3D""","=""3""","=""""","=""10.188104""","=""""","=""""","=""-0.08106""","=""                                                    ""","="""""
"=""3p6.3d7.(a 2D).4s""","=""3D""","=""1""","=""""","=""10.201080""","=""""","=""""","=""0.01298""","=""  54             :    41  3d7.(2P).4s      1P       ""","="""""
"=""3p6.3d7.(a 2D).4s""","=""3D""","=""2""","=""""","=""10.294836""","=""""","=""""","=""0.09376""","=""                                                    ""","="""""
"=""3p6.3d7.(2P).4s""","=""1P""","=""1""","=""""","=""10.489572""","=""""","=""""","=""0.19474""","=""  48             :    40  3d7.(a 2D).4s    1D       ""","="""""
"=""3p6.3d7.(2H).4s""","=""1H""","=""5""","=""""","=""10.642084""","=""""","=""""","=""0.15251""","=""                                                    ""","="""""
"=""3p6.3d7.(a 2D).4s""","=""1D""","=""2""","=""""","=""10.742720""","=""""","=""""","=""0.10064""","=""                                                    ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""2""","=""""","=""12.130812""","=""""","=""""","=""1.38809""","=""                                                    ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""3""","=""""","=""12.149932""","=""""","=""""","=""0.01912""","=""                                                    ""","="""""
"=""3p6.3d7.(2F).4s""","=""3F""","=""4""","=""""","=""12.179951""","=""""","=""""","=""0.03002""","=""                                                    ""","="""""
"=""3p6.3d7.(2F).4s""","=""1F""","=""3""","=""""","=""12.640797""","=""""","=""""","=""0.46085""","=""                                                    ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""5""","=""""","=""13.664646""","=""""","=""""","=""1.02385""","=""  94             :     5  3d7.(4F).4p      5G*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""4""","=""""","=""13.684303""","=""""","=""""","=""0.01966""","=""  65             :    29  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""3""","=""""","=""13.789671""","=""""","=""""","=""0.10537""","=""  78             :    17  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""2""","=""""","=""13.875633""","=""""","=""""","=""0.08596""","=""  88             :     9  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5F*""","=""1""","=""""","=""13.936028""","=""""","=""""","=""0.06039""","=""  96                                                ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""4""","=""""","=""13.873664""","=""""","=""""","=""-0.06236""","=""  63             :    26  3d7.(4F).4p      5F*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""3""","=""""","=""14.002209""","=""""","=""""","=""0.12855""","=""  73             :    13  3d7.(4F).4p      5F*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""2""","=""""","=""14.090986""","=""""","=""""","=""0.08878""","=""  78             :     8  3d7.(4F).4p      5G*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""1""","=""""","=""14.146052""","=""""","=""""","=""0.05507""","=""  88             :     8  3d7.(4P).4p      5D*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5D*""","=""0""","=""""","=""14.170830""","=""""","=""""","=""0.02478""","=""  91             :     8  3d7.(4P).4p      5D*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""6""","=""""","=""13.983911""","=""""","=""""","=""-0.18692""","="" 100                                                ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""5""","=""""","=""14.027686""","=""""","=""""","=""0.04377""","=""  82             :    12  3d7.(4F).4p      3G*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""4""","=""""","=""14.097638""","=""""","=""""","=""0.06995""","=""  84             :     8  3d7.(4F).4p      5G*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""3""","=""""","=""14.147862""","=""""","=""""","=""0.05022""","=""  86             :     7  3d7.(4F).4p      5F*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""5G*""","=""2""","=""""","=""14.180198""","=""""","=""""","=""0.03234""","=""  88             :     5  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""5""","=""""","=""14.291939""","=""""","=""""","=""0.11174""","=""  87             :    13  3d7.(4F).4p      5G*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""4""","=""""","=""14.465781""","=""""","=""""","=""0.17384""","=""  83             :     9  3d7.(4F).4p      3F*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""3G*""","=""3""","=""""","=""14.581329""","=""""","=""""","=""0.11555""","=""  88             :     7  3d7.(4F).4p      3F*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""4""","=""""","=""14.405963""","=""""","=""""","=""-0.17537""","=""  85             :    10  3d7.(4F).4p      3G*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""3""","=""""","=""14.537246""","=""""","=""""","=""0.13128""","=""  83             :     8  3d7.(4F).4p      3G*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""3F*""","=""2""","=""""","=""14.644387""","=""""","=""""","=""0.10714""","=""  92                                                ""","="""""
"=""3p6.3d7.(4F).4p""","=""3D*""","=""3""","=""""","=""14.722535""","=""""","=""""","=""0.07815""","=""  90             :     5  3d7.(4F).4p      3F*      ""","="""""
"=""3p6.3d7.(4F).4p""","=""3D*""","=""2""","=""""","=""14.837132""","=""""","=""""","=""0.11460""","=""  92                                                ""","="""""
"=""3p6.3d7.(4F).4p""","=""3D*""","=""1""","=""""","=""14.911867""","=""""","=""""","=""0.07474""","=""  93                                                ""","="""""
"=""3p6.3d7.(b 2D).4s""","=""3D""","=""1""","=""""","=""15.026008""","=""""","=""""","=""0.11414""","=""                                                    ""","="""""
"=""3p6.3d7.(b 2D).4s""","=""3D""","=""2""","=""""","=""15.053120""","=""""","=""""","=""0.02711""","=""                                                    ""","="""""
"=""3p6.3d7.(b 2D).4s""","=""3D""","=""3""","=""""","=""15.101579""","=""""","=""""","=""0.04846""","=""                                                    ""","="""""
"=""3p6.3d7.(4P).4p""","=""5S*""","=""2""","=""""","=""15.161085""","=""""","=""""","=""0.05951""","=""  99                                                ""","="""""
"=""3p6.3d7.(b 2D).4s""","=""1D""","=""2""","=""""","=""15.551778""","=""""","=""""","=""0.39069""","=""                                                    ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""2""","=""""","=""16.107172""","=""""","=""""","=""0.55539""","=""  82             :     7  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""3""","=""""","=""16.112243""","=""""","=""""","=""0.00507""","=""  84             :     7  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""1""","=""""","=""16.112732""","=""""","=""""","=""0.00049""","=""  75             :     7  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""0""","=""""","=""16.141509""","=""""","=""""","=""0.02878""","=""  86             :     8  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4P).4p""","=""5D*""","=""4""","=""""","=""16.156666""","=""""","=""""","=""0.01516""","=""  93             :     6  3d7.(4F).4p      5D*      ""","="""""
"=""3p6.3d7.(4P).4p""","=""3S*""","=""1""","=""""","=""16.225006""","=""""","=""""","=""0.06834""","=""  53             :    12  3d7.(2P).4p      3S*      ""","="""""
"=""3p6.3d7.(2G).4p""","=""3H*""","=""5""","=""""","=""16.303984""","=""""","=""""","=""0.07898""","=""  74             :    15  3d7.(2G).4p      1H*      ""","="""""
"=""3p6.3d7.(2G).4p""","=""3H*""","=""4""","=""""","=""16.385318""","=""""","=""""","=""0.08133""","=""  61             :    28  3d7.(2G).4p      3F*      ""","="""""
"=""3p6.3d7.(2G).4p""","=""3H*""","=""6""","=""""","=""16.386818""","=""""","=""""","=""0.00150""","=""  96                                                ""","="""""
"=""3p6.3d7.(2G).4p""","=""3F*""","=""4""","=""""","=""16.340128""","=""""","=""""","=""-0.04669""","=""  41             :    33  3d7.(2G).4p      3H*      ""","="""""
"=""3p6.3d7.(2G).4p""","=""3F*""","=""3""","=""""","=""16.509550""","=""""","=""""","=""0.16942""","=""  78             :    11  3d7.(2G).4p      3G*      ""","="""""
"=""3p6.3d7.(2G).4p""","=""3F*""","=""2""","=""""","=""16.642635""","=""""","=""""","=""0.13308""","=""  94                                                ""","="""""
"=""3p6.3d7.(4P).4p""","=""5P*""","=""2""","=""""","=""16.467366""","=""""","=""""","=""-0.17527""","=""  45             :    21  3d7.(2P).4p      3P*      ""","="""""
