Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3p6.3d7""","=""4F""","=""9/2""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                                        ""","=""L7185"""
"=""3p6.3d7""","=""4F""","=""7/2""","=""""","=""0.14750""","=""""","=""""","=""0.14750""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""4F""","=""5/2""","=""""","=""0.25324""","=""""","=""""","=""0.1057""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""4F""","=""3/2""","=""""","=""0.32497""","=""""","=""""","=""0.0717""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""4P""","=""5/2""","=""""","=""2.24642""","=""""","=""""","=""1.9215""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""4P""","=""3/2""","=""""","=""2.27719""","=""""","=""""","=""0.0308""","=""  93             :     7  3d7          2P   ""","="""""
"=""3p6.3d7""","=""4P""","=""1/2""","=""""","=""2.35054""","=""""","=""""","=""0.0734""","=""  97             :     3  3d7          2P   ""","="""""
"=""3p6.3d7""","=""2G""","=""9/2""","=""""","=""2.45856""","=""""","=""""","=""0.1080""","=""  97             :     2  3d7          2H   ""","="""""
"=""3p6.3d7""","=""2G""","=""7/2""","=""""","=""2.59717""","=""""","=""""","=""0.1386""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""2P""","=""3/2""","=""""","=""2.93209""","=""""","=""""","=""0.3349""","=""  83             :     8  3d7          2D2  ""","="""""
"=""3p6.3d7""","=""2P""","=""1/2""","=""""","=""3.05638""","=""""","=""""","=""0.1243""","=""  97             :     3  3d7          4P   ""","="""""
"=""3p6.3d7""","=""2H""","=""11/2""","=""""","=""3.30407""","=""""","=""""","=""0.2477""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""2H""","=""9/2""","=""""","=""3.43159""","=""""","=""""","=""0.1275""","=""  98             :     2  3d7          2G   ""","="""""
"=""3p6.3d7""","=""2D2""","=""5/2""","=""""","=""3.35954""","=""""","=""""","=""-0.0720""","=""  77             :    23  3d7          2D1  ""","="""""
"=""3p6.3d7""","=""2D2""","=""3/2""","=""""","=""3.56798""","=""""","=""""","=""0.2084""","=""  72             :    18  3d7          2D1  ""","="""""
"=""3p6.3d7""","=""2F""","=""5/2""","=""""","=""5.38556""","=""""","=""""","=""1.8176""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""2F""","=""7/2""","=""""","=""5.43777""","=""""","=""""","=""0.0522""","="" 100                                        ""","="""""
"=""3p6.3d7""","=""2D1""","=""3/2""","=""""","=""8.35158""","=""""","=""""","=""2.9138""","=""  80             :    20  3d7          2D2  ""","="""""
"=""3p6.3d7""","=""2D1""","=""5/2""","=""""","=""8.42966""","=""""","=""""","=""0.0781""","=""  77             :    23  3d7          2D2  ""","="""""
