Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2s2.2p3""","=""4S*""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L11267"""
"=""2s2.2p3""","=""2D*""","=""5/2""","=""""","=""3.324085""","=""""","=""""","=""3.324085""","="""""
"=""2s2.2p3""","=""2D*""","=""3/2""","=""""","=""3.326567""","=""""","=""""","=""0.00248""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""","=""""","=""5.017394""","=""""","=""""","=""1.69083""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""","=""""","=""5.017641""","=""""","=""""","=""0.00025""","="""""
"=""2s.2p4""","=""4P""","=""5/2""","=""""","=""14.857920""","=""""","=""""","=""9.84028""","="""""
"=""2s.2p4""","=""4P""","=""3/2""","=""""","=""14.878157""","=""""","=""""","=""0.02024""","="""""
"=""2s.2p4""","=""4P""","=""1/2""","=""""","=""14.888377""","=""""","=""""","=""0.01022""","="""""
"=""2s.2p4""","=""2D""","=""5/2""","=""""","=""20.579946""","=""""","=""""","=""5.69157""","="""""
"=""2s.2p4""","=""2D""","=""3/2""","=""""","=""20.580943""","=""""","=""""","=""0.00100""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""""","=""22.9662478""","=""""","=""""","=""2.385305""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""""","=""22.9793029""","=""""","=""""","=""0.013055""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""""","=""22.9989602""","=""""","=""""","=""0.019657""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""""","=""23.4191946""","=""""","=""""","=""0.420234""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""""","=""23.4415082""","=""""","=""""","=""0.022314""","="""""
"=""2s.2p4""","=""2S""","=""1/2""","=""""","=""24.265006""","=""""","=""""","=""0.823498""","="""""
"=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""""","=""25.2856211""","=""""","=""""","=""1.020615""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""""","=""25.6313478""","=""""","=""""","=""0.345727""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""""","=""25.6382319""","=""""","=""""","=""0.006884""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""""","=""25.6495863""","=""""","=""""","=""0.011354""","="""""
"=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""""","=""25.6650368""","=""""","=""""","=""0.015451""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""""","=""25.661218""","=""""","=""""","=""-0.003819""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""""","=""25.661347""","=""""","=""""","=""0.00013""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""""","=""25.8316247""","=""""","=""""","=""0.170278""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""""","=""25.8373471""","=""""","=""""","=""0.005722""","="""""
"=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""""","=""25.8487467""","=""""","=""""","=""0.011400""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""""","=""26.2254001""","=""""","=""""","=""0.376653""","="""""
"=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""""","=""26.2490334""","=""""","=""""","=""0.023633""","="""""
"=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""""","=""26.3047208""","=""""","=""""","=""0.055687""","="""""
"=""2s.2p4""","=""2P""","=""3/2""","=""""","=""26.358274""","=""""","=""""","=""0.053553""","="""""
"=""2s.2p4""","=""2P""","=""1/2""","=""""","=""26.379157""","=""""","=""""","=""0.02088""","="""""
