Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2s2.2p""","=""2P*""","=""1/2""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L7288"""
"=""2s2.2p""","=""2P*""","=""3/2""","=""""","=""0.04785""","=""""","=""""","=""0.04785""","="""""
"=""2s.2p2""","=""4P""","=""1/2""","=""""","=""8.85741""","=""""","=""""","=""8.8096""","="""""
"=""2s.2p2""","=""4P""","=""3/2""","=""""","=""8.87356""","=""""","=""""","=""0.0161""","="""""
"=""2s.2p2""","=""4P""","=""5/2""","=""""","=""8.89655""","=""""","=""""","=""0.0230""","="""""
"=""2s.2p2""","=""2D""","=""5/2""","=""""","=""15.73810""","=""""","=""""","=""6.8415""","="""""
"=""2s.2p2""","=""2D""","=""3/2""","=""""","=""15.73982""","=""""","=""""","=""0.0017""","="""""
"=""2s.2p2""","=""2S""","=""1/2""","=""""","=""20.37884""","=""""","=""""","=""4.6390""","="""""
"=""2s.2p2""","=""2P""","=""1/2""","=""""","=""22.37677""","=""""","=""""","=""1.9979""","="""""
"=""2s.2p2""","=""2P""","=""3/2""","=""""","=""22.40695""","=""""","=""""","=""0.0302""","="""""
"=""2p3""","=""4S*""","=""3/2""","=""""","=""28.70699""","=""""","=""""","=""6.3000""","="""""
"=""2p3""","=""2D*""","=""5/2""","=""""","=""31.63530""","=""""","=""""","=""2.9283""","="""""
"=""2p3""","=""2D*""","=""3/2""","=""""","=""31.63890""","=""""","=""""","=""0.0036""","="""""
"=""2p3""","=""2P*""","=""1/2""","=""""","=""35.83334""","=""""","=""""","=""4.1944""","="""""
"=""2p3""","=""2P*""","=""3/2""","=""""","=""35.83435""","=""""","=""""","=""0.0010""","="""""
"=""2s2.3s""","=""2S""","=""1/2""","=""""","=""44.33852""","=""""","=""""","=""8.5042""","="""""
"=""2s2.3p""","=""2P*""","=""1/2""","=""""","=""48.37382""","=""""","=""""","=""4.0353""","="""""
"=""2s2.3p""","=""2P*""","=""3/2""","=""""","=""48.38459""","=""""","=""""","=""0.0108""","="""""
"=""2s2.3d""","=""2D""","=""3/2""","=""""","=""52.01557""","=""""","=""""","=""3.6310""","="""""
"=""2s2.3d""","=""2D""","=""5/2""","=""""","=""52.01764""","=""""","=""""","=""0.0021""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""""","=""54.41034""","=""""","=""""","=""2.3927""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""""","=""54.42707""","=""""","=""""","=""0.0167""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""""","=""54.45769""","=""""","=""""","=""0.0306""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""""","=""56.14086""","=""""","=""""","=""1.6832""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""""","=""56.17371""","=""""","=""""","=""0.0328""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""""","=""57.92905""","=""""","=""""","=""1.7553""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""""","=""57.94338""","=""""","=""""","=""0.0143""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""""","=""58.06644""","=""""","=""""","=""0.1231""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""""","=""58.07605""","=""""","=""""","=""0.0096""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""""","=""58.09287""","=""""","=""""","=""0.0168""","="""""
"=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""""","=""58.11883""","=""""","=""""","=""0.0260""","="""""
"=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""""","=""58.82779""","=""""","=""""","=""0.7090""","="""""
"=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""""","=""59.36966""","=""""","=""""","=""0.5419""","="""""
"=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""""","=""59.38135""","=""""","=""""","=""0.0117""","="""""
"=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""""","=""59.39736""","=""""","=""""","=""0.0160""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""""","=""59.84297""","=""""","=""""","=""0.4456""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""""","=""59.87465""","=""""","=""""","=""0.0317""","="""""
"=""2s2.4s""","=""2S""","=""1/2""","=""""","=""60.23421""","=""""","=""""","=""0.3596""","="""""
"=""2s.2p.(3P*).3p""","=""2S""","=""1/2""","=""""","=""61.11068""","=""""","=""""","=""0.8765""","="""""
"=""2s.2p.(3P*).3d""","=""4F*""","=""3/2""","=""""","=""61.3931""","=""""","=""""","=""0.2824""","="""""
"=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""","=""""","=""61.40269""","=""""","=""""","=""0.0096""","="""""
"=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""","=""""","=""61.41676""","=""""","=""""","=""0.0141""","="""""
"=""2s.2p.(3P*).3d""","=""4F*""","=""9/2""","=""""","=""61.43577""","=""""","=""""","=""0.0190""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""1/2""","=""""","=""61.96324""","=""""","=""""","=""0.5275""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""""","=""61.96677""","=""""","=""""","=""0.0035""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""""","=""61.97258""","=""""","=""""","=""0.0058""","="""""
"=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""""","=""61.98057""","=""""","=""""","=""0.0080""","="""""
"=""2s2.4p""","=""2P*""","=""1/2""","=""""","=""61.99147""","=""""","=""""","=""0.0109""","="""""
"=""2s2.4p""","=""2P*""","=""3/2""","=""""","=""61.99679""","=""""","=""""","=""0.0053""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""""","=""62.17922""","=""""","=""""","=""0.1824""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""""","=""62.18606""","=""""","=""""","=""0.0068""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""""","=""62.49990""","=""""","=""""","=""0.3138""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""""","=""62.51394""","=""""","=""""","=""0.0140""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""""","=""62.52304""","=""""","=""""","=""0.0091""","="""""
"=""2s2.4d""","=""2D""","=""3/2""","=""""","=""63.30257""","=""""","=""""","=""0.7795""","="""""
"=""2s2.4d""","=""2D""","=""5/2""","=""""","=""63.30312""","=""""","=""""","=""0.0005""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","=""""","=""63.32430""","=""""","=""""","=""0.0212""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","=""""","=""63.35310""","=""""","=""""","=""0.0288""","="""""
"=""2s2.4f""","=""2F*""","=""5/2""","=""""","=""63.62710""","=""""","=""""","=""0.2740""","="""""
"=""2s2.4f""","=""2F*""","=""7/2""","=""""","=""63.62848""","=""""","=""""","=""0.0014""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""""","=""63.75520""","=""""","=""""","=""0.1267""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","=""""","=""63.77391""","=""""","=""""","=""0.0187""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""","=""""","=""64.3105""","=""""","=""""","=""0.5366""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""","=""""","=""64.3117""","=""""","=""""","=""0.001""","="""""
"=""2s2.5s""","=""2S""","=""1/2""","=""""","=""66.8731""","=""""","=""""","=""2.561""","="""""
"=""2s2.5p""","=""2P*""","=""1/2""","=""""","=""67.79498""","=""""","=""""","=""0.9219""","="""""
"=""2s2.5p""","=""2P*""","=""3/2""","=""""","=""67.79688""","=""""","=""""","=""0.0019""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""""","=""67.8598""","=""""","=""""","=""0.0629""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""""","=""67.8634""","=""""","=""""","=""0.004""","="""""
"=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""""","=""68.1655""","=""""","=""""","=""0.302""","="""""
