Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p3""","=""4S*""","=""3/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""                                           ""","=""L7147"""
"=""3s2.3p3""","=""2D*""","=""3/2""","=""""","=""1.408587""","=""""","=""""","=""1.408587""","=""                                           ""","="""""
"=""3s2.3p3""","=""2D*""","=""5/2""","=""""","=""1.410522""","=""""","=""""","=""0.00194""","=""                                           ""","="""""
"=""3s2.3p3""","=""2P*""","=""1/2""","=""""","=""2.321320""","=""""","=""""","=""0.91080""","=""                                           ""","="""""
"=""3s2.3p3""","=""2P*""","=""3/2""","=""""","=""2.324457""","=""""","=""""","=""0.00314""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""""","=""6.9356043""","=""""","=""""","=""4.611147""","=""  98         :     1  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""""","=""6.9543513""","=""""","=""""","=""0.018747""","=""  98         :     1  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""""","=""6.9852271""","=""""","=""""","=""0.030876""","=""  98         :     1  3s.3p4          4P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""""","=""7.1757806""","=""""","=""""","=""0.190554""","=""  98         :     1  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""""","=""7.2127021""","=""""","=""""","=""0.036921""","=""  98         :     1  3s2.3p2.(3P).3d 2P   ""","="""""
"=""3s.3p4""","=""4P""","=""5/2""","=""""","=""7.3813433""","=""""","=""""","=""0.168641""","=""  70         :    14  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4""","=""4P""","=""3/2""","=""""","=""7.4038306""","=""""","=""""","=""0.022487""","=""  70         :    14  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s.3p4""","=""4P""","=""1/2""","=""""","=""7.4167807""","=""""","=""""","=""0.012950""","=""  70         :    14  3s2.3p2.(3P).3d 4P   ""","="""""
"=""3s2.3p2.(3P).4p""","=""2S*""","=""1/2""","=""""","=""7.9646942""","=""""","=""""","=""0.547913""","=""                                           ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""","=""""","=""8.0783444""","=""""","=""""","=""0.113650""","=""  98         :     1  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""","=""""","=""8.0784540""","=""""","=""""","=""0.000110""","=""  98         :     1  3s2.3p2.(1D).3d 2D   ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""1/2""","=""""","=""8.1052879""","=""""","=""""","=""0.026834""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""3/2""","=""""","=""8.1147813""","=""""","=""""","=""0.009493""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""5/2""","=""""","=""8.1315198""","=""""","=""""","=""0.016738""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4D*""","=""7/2""","=""""","=""8.1567289""","=""""","=""""","=""0.025209""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""1/2""","=""""","=""8.2255380""","=""""","=""""","=""0.068809""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""","=""""","=""8.2276264""","=""""","=""""","=""0.002088""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4P*""","=""5/2""","=""""","=""8.2504346""","=""""","=""""","=""0.022808""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""","=""""","=""8.2837898""","=""""","=""""","=""0.033355""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""","=""""","=""8.3210594""","=""""","=""""","=""0.037270""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""","=""""","=""8.2864403""","=""""","=""""","=""-0.034619""","=""                                           ""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""3/2""","=""""","=""8.4196598""","=""""","=""""","=""0.133219""","=""  85         :     4  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).3d""","=""2P""","=""1/2""","=""""","=""8.4466228""","=""""","=""""","=""0.026963""","=""  86         :     4  3s.3p4          2P   ""","="""""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""1/2""","=""""","=""8.4273389""","=""""","=""""","=""-0.019284""","=""                                           ""","="""""
"=""3s2.3p2.(3P).4p""","=""2P*""","=""3/2""","=""""","=""8.4418455""","=""""","=""""","=""0.014507""","=""                                           ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""3/2""","=""""","=""8.4536377""","=""""","=""""","=""0.011792""","=""  96         :     2  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""5/2""","=""""","=""8.4634281""","=""""","=""""","=""0.009790""","=""  95         :     2  3s2.3p2.(3P).4d 4F   ""","="""""
"=""3s2.3p2.(3P).3d""","=""4F""","=""7/2""","=""""","=""8.4777261""","=""""","=""""","=""0.014298""","=""  95         :     2  3s2.3p2.(3P).4d 4F   ""","="""""
