Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""3s2.3p""","=""2P*""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  94         :     3  3p3          2P*  ""","=""L7147"""
"=""3s2.3p""","=""2P*""","=""3/2""","=""""","=""0.069325""","=""""","=""""","=""0.069325""","=""  94         :     3  3p3          2P*  ""","="""""
"=""3s.3p2""","=""4P""","=""1/2""","=""""","=""7.057388""","=""""","=""""","=""6.98806""","=""                                        ""","="""""
"=""3s.3p2""","=""4P""","=""3/2""","=""""","=""7.082719""","=""""","=""""","=""0.02533""","=""                                        ""","="""""
"=""3s.3p2""","=""4P""","=""5/2""","=""""","=""7.123388""","=""""","=""""","=""0.04067""","=""                                        ""","="""""
"=""3s.3p2""","=""2D""","=""3/2""","=""""","=""9.288506""","=""""","=""""","=""2.16512""","=""  75         :    21  3s2.3d       2D   ""","="""""
"=""3s.3p2""","=""2D""","=""5/2""","=""""","=""9.292102""","=""""","=""""","=""0.00360""","=""  75         :    21  3s2.3d       2D   ""","="""""
"=""3s.3p2""","=""2S""","=""1/2""","=""""","=""12.423271""","=""""","=""""","=""3.13117""","=""                                        ""","="""""
"=""3s.3p2""","=""2P""","=""1/2""","=""""","=""13.518896""","=""""","=""""","=""1.09563""","=""                                        ""","="""""
"=""3s.3p2""","=""2P""","=""3/2""","=""""","=""13.565481""","=""""","=""""","=""0.04659""","=""                                        ""","="""""
"=""3s2.3d""","=""2D""","=""3/2""","=""""","=""14.490599""","=""""","=""""","=""0.92512""","=""  74         :    19  3s.3p2       2D   ""","="""""
"=""3s2.3d""","=""2D""","=""5/2""","=""""","=""14.492001""","=""""","=""""","=""0.00140""","=""  74         :    19  3s.3p2       2D   ""","="""""
"=""3s2.4s""","=""2S""","=""1/2""","=""""","=""14.609796""","=""""","=""""","=""0.11779""","=""                                        ""","="""""
"=""3s2.4p""","=""2P*""","=""1/2""","=""""","=""17.528503""","=""""","=""""","=""2.91871""","=""  94         :     4  3p2.(1S).4p  2P*  ""","="""""
"=""3s2.4p""","=""2P*""","=""3/2""","=""""","=""17.545454""","=""""","=""""","=""0.01695""","=""  94         :     4  3p2.(1S).4p  2P*  ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""3/2""","=""""","=""18.265748""","=""""","=""""","=""0.72029""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""2D*""","=""5/2""","=""""","=""18.273443""","=""""","=""""","=""0.00770""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""3/2""","=""""","=""19.728957""","=""""","=""""","=""1.45551""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""5/2""","=""""","=""19.743085""","=""""","=""""","=""0.01413""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""7/2""","=""""","=""19.763220""","=""""","=""""","=""0.02013""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4F*""","=""9/2""","=""""","=""19.789573""","=""""","=""""","=""0.02635""","=""                                        ""","="""""
"=""3p3""","=""4S*""","=""3/2""","=""""","=""19.802180""","=""""","=""""","=""0.01261""","=""                                        ""","="""""
"=""3p3""","=""2P*""","=""3/2""","=""""","=""21.091010""","=""""","=""""","=""1.28883""","=""  59         :    29  3s.3p.3d     2P*  ""","="""""
"=""3p3""","=""2P*""","=""1/2""","=""""","=""21.098472""","=""""","=""""","=""0.00746""","=""  59         :    29  3s.3p.3d     2P*  ""","="""""
"=""3s2.4d""","=""2D""","=""5/2""","=""""","=""21.378572""","=""""","=""""","=""0.28010""","=""  94         :     4  3p2.(1S).4d  2D   ""","="""""
"=""3s2.4d""","=""2D""","=""3/2""","=""""","=""21.378656""","=""""","=""""","=""0.00008""","=""  94         :     4  3p2.(1S).4d  2D   ""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""5/2""","=""""","=""21.550087""","=""""","=""""","=""0.17143""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""3/2""","=""""","=""21.571476""","=""""","=""""","=""0.02139""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4P*""","=""1/2""","=""""","=""21.586418""","=""""","=""""","=""0.01494""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""1/2""","=""""","=""21.729437""","=""""","=""""","=""0.14302""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""3/2""","=""""","=""21.736174""","=""""","=""""","=""0.00674""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""5/2""","=""""","=""21.743902""","=""""","=""""","=""0.00773""","=""                                        ""","="""""
"=""3s.3p.(3P*).3d""","=""4D*""","=""7/2""","=""""","=""21.749973""","=""""","=""""","=""0.00607""","=""                                        ""","="""""
"=""3s2.5s""","=""2S""","=""1/2""","=""""","=""21.826534""","=""""","=""""","=""0.07656""","=""                                        ""","="""""
