Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""2p6.3s""","=""2S""","=""1/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""L7147"""
"=""2p6.3p""","=""2P*""","=""1/2""","=""""","=""10.991431""","=""""","=""""","=""10.991431""","="""""
"=""2p6.3p""","=""2P*""","=""3/2""","=""""","=""11.090046""","=""""","=""""","=""0.09861""","="""""
"=""2p6.3d""","=""2D""","=""3/2""","=""""","=""25.317448""","=""""","=""""","=""14.22740""","="""""
"=""2p6.3d""","=""2D""","=""5/2""","=""""","=""25.318322""","=""""","=""""","=""0.00087""","="""""
"=""2p6.4s""","=""2S""","=""1/2""","=""""","=""33.842636""","=""""","=""""","=""8.52431""","="""""
"=""2p6.4p""","=""2P*""","=""1/2""","=""""","=""37.711142""","=""""","=""""","=""3.86851""","="""""
"=""2p6.4p""","=""2P*""","=""3/2""","=""""","=""37.746404""","=""""","=""""","=""0.03526""","="""""
"=""2p6.4d""","=""2D""","=""3/2""","=""""","=""42.823599""","=""""","=""""","=""5.07720""","="""""
"=""2p6.4d""","=""2D""","=""5/2""","=""""","=""42.824235""","=""""","=""""","=""0.00064""","="""""
"=""2p6.4f""","=""2F*""","=""5/2""","=""""","=""43.716114""","=""""","=""""","=""0.89188""","="""""
"=""2p6.4f""","=""2F*""","=""7/2""","=""""","=""43.716114""","=""""","=""""","=""0.00000""","="""""
"=""2p6.5s""","=""2S""","=""1/2""","=""""","=""46.698059""","=""""","=""""","=""2.98195""","="""""
"=""2p6.5p""","=""2P*""","=""1/2""","=""""","=""48.492460""","=""""","=""""","=""1.79440""","="""""
"=""2p6.5p""","=""2P*""","=""3/2""","=""""","=""48.509054""","=""""","=""""","=""0.01659""","="""""
"=""2p6.5d""","=""2D""","=""3/2""","=""""","=""50.912317""","=""""","=""""","=""2.40326""","="""""
"=""2p6.5d""","=""2D""","=""5/2""","=""""","=""50.912706""","=""""","=""""","=""0.00039""","="""""
"=""2p6.5f""","=""2F*""","=""7/2""","=""""","=""51.387449""","=""""","=""""","=""0.47474""","="""""
