Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d10""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0""","=""""","="" 100                              ""","=""L13502"""
"=""5d9.6s""","=""(5/2,1/2)""","=""3""","=""""","=""13.73375""","=""""","=""0.00019""","=""13.73375""","="" 100                              ""","=""L13502"""
"=""5d9.6s""","=""(5/2,1/2)""","=""2""","=""""","=""14.22204""","=""""","=""0.00019""","=""0.4883""","=""  97                              ""","=""L13502"""
"=""5d9.6s""","=""(3/2,1/2)""","=""1""","=""""","=""16.45454""","=""""","=""0.00019""","=""2.2325""","="" 100                              ""","=""L13502"""
"=""5d9.6s""","=""(3/2,1/2)""","=""2""","=""""","=""16.86199""","=""""","=""0.00019""","=""0.4074""","=""  97                              ""","=""L13502"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""2""","=""""","=""24.15300""","=""""","=""0.00019""","=""7.2910""","=""  97                              ""","=""L13502"""
"=""5d9.6p""","=""(5/2,1/2)*""","=""3""","=""""","=""24.44162""","=""""","=""0.00019""","=""0.2886""","=""  99                              ""","=""L13502"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""2""","=""""","=""26.91345""","=""""","=""0.00019""","=""2.4718""","=""  90         :     9   (5/2,3/2*) ""","=""L13502"""
"=""5d9.6p""","=""(3/2,1/2)*""","=""1""","=""""","=""27.21366""","=""""","=""0.00019""","=""0.3002""","=""  62         :    33   (5/2,3/2*) ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""4""","=""""","=""27.40908""","=""""","=""0.00019""","=""0.1954""","="" 100                              ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""2""","=""""","=""27.76156""","=""""","=""0.00019""","=""0.3525""","=""  87         :     9   (3/2,1/2)* ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""3""","=""""","=""28.08392""","=""""","=""0.00019""","=""0.3224""","="" 100                              ""","=""L13502"""
"=""5d9.6p""","=""(5/2,3/2)*""","=""1""","=""""","=""28.24856""","=""""","=""0.00019""","=""0.1646""","=""  61         :    37   (3/2,1/2)* ""","=""L13502"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""0""","=""""","=""29.46661""","=""""","=""0.00019""","=""1.2180""","="" 100                              ""","=""L13502"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""3""","=""""","=""30.33449""","=""""","=""0.00019""","=""0.8679""","="" 100                              ""","=""L13502"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""1""","=""""","=""30.41082""","=""""","=""0.00019""","=""0.0763""","=""  94         :     6   (5/2,3/2*) ""","=""L13502"""
"=""5d9.6p""","=""(3/2,3/2)*""","=""2""","=""""","=""30.69821""","=""""","=""0.00019""","=""0.2874""","=""  99                              ""","=""L13502"""
"=""5d9.6d""","=""(5/2,3/2)""","=""1""","=""""","=""40.22562""","=""""","=""0.00025""","=""9.5274""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,3/2)""","=""4""","=""""","=""40.59694""","=""""","=""0.00025""","=""0.3713""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,3/2)""","=""2""","=""""","=""40.69639""","=""""","=""0.00025""","=""0.0995""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,3/2)""","=""3""","=""""","=""40.86248""","=""""","=""0.00025""","=""0.1661""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,5/2)""","=""1""","=""""","=""40.88482""","=""""","=""0.00025""","=""0.0223""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,5/2)""","=""5""","=""""","=""40.91341""","=""""","=""0.00025""","=""0.0286""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,5/2)""","=""3""","=""""","=""41.18779""","=""""","=""0.00025""","=""0.2744""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,5/2)""","=""2""","=""""","=""41.22539""","=""""","=""0.00025""","=""0.0376""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,5/2)""","=""4""","=""""","=""41.31375""","=""""","=""0.00025""","=""0.0884""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(5/2,5/2)""","=""0""","=""""","=""41.89779""","=""""","=""0.00025""","=""0.5840""","=""                                  ""","=""L10932"""
"=""5d9.7s""","=""(5/2,1/2)""","=""3""","=""""","=""41.96188""","=""""","=""0.00025""","=""0.0641""","=""  99                              ""","=""L10932"""
"=""5d9.7s""","=""(5/2,1/2)""","=""2""","=""""","=""42.06030""","=""""","=""0.00025""","=""0.0984""","=""  99                              ""","=""L10932"""
"=""5d9.6d""","=""(3/2,3/2)""","=""1""","=""""","=""43.26753""","=""""","=""0.00025""","=""1.2072""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(3/2,3/2)""","=""3""","=""""","=""43.31793""","=""""","=""0.00025""","=""0.0504""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(3/2,3/2)""","=""2""","=""""","=""43.67940""","=""""","=""0.00025""","=""0.3615""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(3/2,3/2)""","=""0""","=""[""","=""45.072""","=""]""","=""0.005""","=""1.393""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(3/2,5/2)""","=""1""","=""""","=""43.59885""","=""""","=""0.00025""","=""-1.473""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(3/2,5/2)""","=""4""","=""""","=""43.76110""","=""""","=""0.00025""","=""0.1623""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(3/2,5/2)""","=""2""","=""""","=""43.87783""","=""""","=""0.00025""","=""0.1167""","=""                                  ""","=""L10932"""
"=""5d9.6d""","=""(3/2,5/2)""","=""3""","=""""","=""44.02452""","=""""","=""0.00025""","=""0.1467""","=""                                  ""","=""L10932"""
"=""5d9.7s""","=""(3/2,1/2)""","=""1""","=""""","=""44.69648""","=""""","=""0.00025""","=""0.6720""","=""  99                              ""","=""L10932"""
