Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4d9""","=""2D""","=""5/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""""","=""  99                                              ""","=""L11817"""
"=""4d9""","=""2D""","=""3/2""","=""""","=""0.4388101""","=""""","=""""","=""0.4388101""","=""""","=""  99                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""9/2""","=""""","=""3.1100531""","=""""","=""""","=""2.671243""","=""1.330""","=""  99                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""7/2""","=""""","=""3.3596102""","=""""","=""""","=""0.249557""","=""1.248""","=""  92                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""5/2""","=""""","=""3.5867908""","=""""","=""""","=""0.227181""","=""1.031""","=""  96                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""4F""","=""3/2""","=""""","=""3.7130975""","=""""","=""""","=""0.126307""","=""0.424""","=""  93                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""2F""","=""7/2""","=""""","=""4.0022766""","=""""","=""""","=""0.289179""","=""1.148""","=""  91                                              ""","=""L11817"""
"=""4d8.(3F).5s""","=""2F""","=""5/2""","=""""","=""4.2681175""","=""""","=""""","=""0.265841""","=""1.096""","=""  53         :    24  4d8.(1D).5s            2D   ""","=""L11817"""
"=""4d8.(3P).5s""","=""4P""","=""5/2""","=""""","=""4.4986780""","=""""","=""""","=""0.230561""","=""1.323""","=""  59         :    36  4d8.(3F).5s            2F   ""","=""L11817"""
"=""4d8.(3P).5s""","=""4P""","=""3/2""","=""""","=""4.6330371""","=""""","=""""","=""0.134359""","=""1.462""","=""  65         :    23  4d8.(1D).5s            2D   ""","=""L11817"""
"=""4d8.(3P).5s""","=""4P""","=""1/2""","=""""","=""4.7740464""","=""""","=""""","=""0.141009""","=""2.666""","=""  98                                              ""","=""L11817"""
"=""4d8.(1D).5s""","=""2D""","=""3/2""","=""""","=""4.9065509""","=""""","=""""","=""0.132505""","=""1.165""","=""  48         :    34  4d8.(3P).5s            4P   ""","=""L11817"""
"=""4d8.(1D).5s""","=""2D""","=""5/2""","=""""","=""5.1082831""","=""""","=""""","=""0.201732""","=""1.239""","=""  70         :    18  4d8.(3P).5s            4P   ""","=""L11817"""
"=""4d8.(3P).5s""","=""2P""","=""3/2""","=""""","=""5.4119734""","=""""","=""""","=""0.303690""","=""1.220""","=""  77         :    20  4d8.(1D).5s            2D   ""","=""L11817"""
"=""4d8.(3P).5s""","=""2P""","=""1/2""","=""""","=""5.4482208""","=""""","=""""","=""0.036247""","=""0.681""","=""  97                                              ""","=""L11817"""
"=""4d8.(1G).5s""","=""2G""","=""9/2""","=""""","=""5.5183636""","=""""","=""""","=""0.070143""","=""1.099""","=""  99                                              ""","=""L11817"""
"=""4d8.(1G).5s""","=""2G""","=""7/2""","=""""","=""5.5317524""","=""""","=""""","=""0.013389""","=""0.886""","=""  98                                              ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""7/2""","=""""","=""8.0900073""","=""""","=""""","=""2.558255""","=""1.40""","=""  84         :     7  4d8.(3F).5p            4F*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""5/2""","=""""","=""8.4265391""","=""""","=""""","=""0.336532""","=""1.328""","=""  80         :     7  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""3/2""","=""""","=""8.6940572""","=""""","=""""","=""0.267518""","=""1.168""","=""  84         :     9  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4D*""","=""1/2""","=""""","=""8.8253999""","=""""","=""""","=""0.131343""","=""0.038""","=""  82         :    11  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""2G*""","=""9/2""","=""""","=""8.3443476""","=""""","=""""","=""-0.481052""","=""1.17""","=""  38         :    41  4d8.(3F).5p            4G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""2G*""","=""7/2""","=""""","=""9.2146555""","=""""","=""""","=""0.870308""","=""0.99""","=""  45         :    19  4d8.(3F).5p            4G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4G*""","=""11/2""","=""""","=""8.5071847""","=""""","=""""","=""-0.707471""","=""1.28""","=""  99                                              ""","=""L11817"""
"=""4d8.(3F).5p""","=""4G*""","=""7/2""","=""""","=""8.6308980""","=""""","=""""","=""0.123713""","=""1.069""","=""  49         :    27  4d8.(3F).5p            4F*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4G*""","=""5/2""","=""""","=""8.8118386""","=""""","=""""","=""0.180941""","=""0.718""","=""  65         :    18  4d8.(3F).5p            4F*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4G*""","=""9/2""","=""""","=""8.9625768""","=""""","=""""","=""0.150738""","=""1.15""","=""  57         :    34  4d8.(3F).5p            2G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4F*""","=""9/2""","=""""","=""8.6641933""","=""""","=""""","=""-0.298383""","=""1.28""","=""  71         :    26  4d8.(3F).5p            2G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4F*""","=""5/2""","=""""","=""9.0180245""","=""""","=""""","=""0.353831""","=""1.020""","=""  44         :    21  4d8.(3F).5p            4G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4F*""","=""7/2""","=""""","=""9.0918153""","=""""","=""""","=""0.073791""","=""1.09""","=""  35         :    31  4d8.(3F).5p            2G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""4F*""","=""3/2""","=""""","=""9.3112462""","=""""","=""""","=""0.219431""","=""0.920""","=""  42         :    22  4d8.(3P).5p            4P*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""2F*""","=""7/2""","=""""","=""8.8335700""","=""""","=""""","=""-0.477676""","=""1.11""","=""  43         :    27  4d8.(3F).5p            4G*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""2F*""","=""5/2""","=""""","=""9.3925781""","=""""","=""""","=""0.559008""","=""1.115""","=""  28         :    31  4d8.(3F).5p            2F*  ""","=""L11817"""
"=""4d7.5s2""","=""4F""","=""9/2""","=""""","=""8.9370627""","=""""","=""""","=""-0.455515""","=""""","=""  97                                              ""","=""L11817"""
"=""4d7.5s2""","=""4F""","=""7/2""","=""""","=""9.2765189""","=""""","=""""","=""0.339456""","=""""","=""  99                                              ""","=""L11817"""
"=""4d7.5s2""","=""4F""","=""5/2""","=""""","=""9.4821004""","=""""","=""""","=""0.205582""","=""""","=""  97                                              ""","=""L11817"""
"=""4d7.5s2""","=""4F""","=""3/2""","=""""","=""9.6094944""","=""""","=""""","=""0.127394""","=""""","=""  95                                              ""","=""L11817"""
"=""4d8.(3F).5p""","=""2D*""","=""3/2""","=""""","=""8.9703336""","=""""","=""""","=""-0.639161""","=""0.724""","=""  24         :    43  4d8.(3F).5p            4F*  ""","=""L11817"""
"=""4d8.(3F).5p""","=""2D*""","=""5/2""","=""""","=""9.0651283""","=""""","=""""","=""0.094795""","=""1.047""","=""  37         :    27  4d8.(3F).5p            2F*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4P*""","=""3/2""","=""""","=""9.5167515""","=""""","=""""","=""0.451623""","=""1.317""","=""  51         :    35  4d8.(3F).5p            2D*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4P*""","=""5/2""","=""""","=""9.5182849""","=""""","=""""","=""0.001533""","=""1.34""","=""  53         :    25  4d8.(3F).5p            2F*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4P*""","=""1/2""","=""""","=""9.5232336""","=""""","=""""","=""0.004949""","=""2.266""","=""  79         :    10  4d8.(1D).5p            2P*  ""","=""L11817"""
"=""4d8.(1D).5p""","=""2F*""","=""5/2""","=""""","=""9.7659713""","=""""","=""""","=""0.242738""","=""1.056""","=""  43         :    25  4d8.(3P).5p            2D*  ""","=""L11817"""
"=""4d8.(1D).5p""","=""2F*""","=""7/2""","=""""","=""9.8829065""","=""""","=""""","=""0.116935""","=""1.25""","=""  37         :    48  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(1D).5p""","=""2P*""","=""1/2""","=""""","=""9.8710099""","=""""","=""""","=""-0.011897""","=""1.09""","=""  39         :    31  4d8.(3P).5p            2P*  ""","=""L11817"""
"=""4d8.(1D).5p""","=""2P*""","=""3/2""","=""""","=""10.0376201""","=""""","=""""","=""0.166610""","=""1.130""","=""  17         :    26  4d8.(3P).5p            2P*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4D*""","=""3/2""","=""""","=""10.1121827""","=""""","=""""","=""0.074563""","=""1.186""","=""  43         :    13  4d8.(1D).5p            2P*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4D*""","=""1/2""","=""""","=""10.1429266""","=""""","=""""","=""0.030744""","=""0.049""","=""  80         :    11  4d8.(3F).5p            4D*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4D*""","=""5/2""","=""""","=""10.2228887""","=""""","=""""","=""0.079962""","=""1.233""","=""  49         :    22  4d8.(1D).5p            2F*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4D*""","=""7/2""","=""""","=""10.2979952""","=""""","=""""","=""0.075107""","=""1.22""","=""  35         :    34  4d8.(1G).5p            2F*  ""","=""L11817"""
"=""4d8.(1D).5p""","=""2D*""","=""5/2""","=""""","=""10.1741258""","=""""","=""""","=""-0.123869""","=""1.20""","=""  60         :    13  4d8.(3P).5p            2D*  ""","=""L11817"""
"=""4d8.(1D).5p""","=""2D*""","=""3/2""","=""""","=""10.2084595""","=""""","=""""","=""0.034334""","=""1.17""","=""  25         :    29  4d8.(1D).5p            2P*  ""","=""L11817"""
"=""4d8.(1G).5p""","=""2H*""","=""9/2""","=""""","=""10.3889045""","=""""","=""""","=""0.180445""","=""0.91""","=""  95                                              ""","=""L11817"""
"=""4d8.(1G).5p""","=""2H*""","=""11/2""","=""""","=""10.6125425""","=""""","=""""","=""0.223638""","=""1.09""","=""  98                                              ""","=""L11817"""
"=""4d8.(3P).5p""","=""2D*""","=""5/2""","=""""","=""10.3905507""","=""""","=""""","=""-0.221992""","=""1.19""","=""  56         :    20  4d8.(3P).5p            4D*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""2D*""","=""3/2""","=""""","=""10.4612294""","=""""","=""""","=""0.070679""","=""0.834""","=""  74         :    15  4d8.(1D).5p            2D*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""2S*""","=""1/2""","=""""","=""10.5477871""","=""""","=""""","=""0.086558""","=""1.839""","=""  82         :    12  4d8.(3P).5p            2P*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""2P*""","=""3/2""","=""""","=""10.5577533""","=""""","=""""","=""0.009966""","=""1.411""","=""  46         :    20  4d8.(3P).5p            4S*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""2P*""","=""1/2""","=""""","=""10.9157522""","=""""","=""""","=""0.357999""","=""0.70""","=""  43         :    43  4d8.(3P).5p            2P*  ""","=""L11817"""
"=""4d8.(1G).5p""","=""2F*""","=""7/2""","=""""","=""10.6683477""","=""""","=""""","=""-0.247405""","=""1.09""","=""  55         :    27  4d8.(1D).5p            2F*  ""","=""L11817"""
"=""4d8.(1G).5p""","=""2F*""","=""5/2""","=""""","=""10.8018725""","=""""","=""""","=""0.133525""","=""0.92?""","=""  80         :     7  4d8.(1D).5p            2F*  ""","=""L11817"""
"=""4d8.(3P).5p""","=""4S*""","=""3/2""","=""""","=""10.6976630""","=""""","=""""","=""-0.104209""","=""2.00""","=""  67         :    18  4d8.(1D).5p            2P*  ""","=""L11817"""
"=""4d8.(1G).5p""","=""2G*""","=""7/2""","=""""","=""11.1195355""","=""""","=""""","=""0.421872""","=""0.89""","=""  94                                              ""","=""L11817"""
"=""4d8.(1G).5p""","=""2G*""","=""9/2""","=""""","=""11.1567677""","=""""","=""""","=""0.037232""","=""1.11""","=""  95                                              ""","=""L11817"""
"=""4d7.5s2""","=""2F""","=""7/2""","=""""","=""12.7626198""","=""""","=""""","=""1.605852""","=""""","=""  97                                              ""","=""L11817"""
"=""4d7.(4F).5s.5p.(3P*)""","=""6D*""","=""9/2""","=""""","=""12.9030839""","=""""","=""""","=""0.140464""","=""""","=""  53         :    35  4d7.(4F).5s.5p.(3P*)   6F*  ""","=""L11817"""
"=""4d7.(4F).5s.5p.(3P*)""","=""6F*""","=""11/2""","=""""","=""12.9496195""","=""""","=""""","=""0.046536""","=""""","=""  87         :    10  4d7.(4F).5s.5p.(3P*)   6G*  ""","=""L11817"""
"=""4d7.(4F).5s.5p.(3P*)""","=""6F*""","=""9/2""","=""""","=""13.2475261""","=""""","=""""","=""0.297907""","=""""","=""  43         :    31  4d7.(4F).5s.5p.(3P*)   6D*  ""","=""L11817"""
"=""4d8.(3F).6s""","=""4F""","=""9/2""","=""""","=""12.9710959""","=""""","=""""","=""-0.276430""","=""""","=""  99                                              ""","=""L11817"""
"=""4d8.(3F).6s""","=""4F""","=""7/2""","=""""","=""13.4087258""","=""""","=""""","=""0.437630""","=""""","=""  62         :    38  4d8.(3F).6s            2F   ""","=""L11817"""
"=""4d8.(3F).6s""","=""4F""","=""5/2""","=""""","=""13.4089235""","=""""","=""""","=""0.000198""","=""""","=""  77         :    22  4d8.(3F).6s            2F   ""","=""L11817"""
"=""4d8.(3F).6s""","=""4F""","=""3/2""","=""""","=""13.5555032""","=""""","=""""","=""0.146580""","=""""","=""  89         :    10  4d8.(1D).6s            2D   ""","=""L11817"""
"=""4d8.(3F).6s""","=""2F""","=""7/2""","=""""","=""13.0568787""","=""""","=""""","=""-0.498625""","=""""","=""  61         :    37  4d8.(3F).6s            4F   ""","=""L11817"""
"=""4d8.(3F).6s""","=""2F""","=""5/2""","=""""","=""13.6297269""","=""""","=""""","=""0.572848""","=""""","=""  69         :    17  4d8.(3F).6s            4F   ""","=""L11817"""
"=""4d7.(4F).5s.5p.(3P*)""","=""6G*""","=""11/2""","=""""","=""13.4783908""","=""""","=""""","=""-0.151336""","=""""","=""  78         :    11  4d7.(4F).5s.5p.(3P*)   6F*  ""","=""L11817"""
"=""4d7.(4F).5s.5p.(3P*)""","=""6G*""","=""9/2""","=""""","=""13.6098356""","=""""","=""""","=""0.131445""","=""""","=""  70         :    18  4d7.(4F).5s.5p.(3P*)   6F*  ""","=""L11817"""
"=""4d8.(3F).5d""","=""4D""","=""7/2""","=""""","=""13.6640460""","=""""","=""""","=""0.054210""","=""""","=""  82         :    14  4d8.(3F).5d            4F   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4D""","=""5/2""","=""""","=""13.8725256""","=""""","=""""","=""0.208480""","=""""","=""  20         :    26  4d8.(3F).5d            2D   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4D""","=""3/2""","=""""","=""14.0772435""","=""""","=""""","=""0.204718""","=""""","=""  44         :    33  4d8.(3F).5d            2P   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4D""","=""1/2""","=""""","=""14.0930670""","=""""","=""""","=""0.015823""","=""""","=""  49         :    28  4d8.(3F).5d            2P   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4P""","=""5/2""","=""""","=""13.6676076""","=""""","=""""","=""-0.425459""","=""""","=""  64         :    31  4d8.(3F).5d            4D   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4P""","=""3/2""","=""""","=""14.1743184""","=""""","=""""","=""0.506711""","=""""","=""  59         :    18  4d8.(3F).5d            4D   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4P""","=""1/2""","=""""","=""14.2680070""","=""""","=""""","=""0.093689""","=""""","=""  46         :    39  4d8.(3F).5d            4D   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4H""","=""13/2""","=""""","=""13.7095706""","=""""","=""""","=""-0.558436""","=""""","=""  99                                              ""","=""L11817"""
"=""4d8.(3F).5d""","=""4H""","=""9/2""","=""""","=""14.1141872""","=""""","=""""","=""0.404617""","=""""","=""  60         :    25  4d8.(3F).5d            2H   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4H""","=""11/2""","=""""","=""14.1240549""","=""""","=""""","=""0.009868""","=""""","=""  60         :    28  4d8.(3F).5d            2H   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4H""","=""7/2""","=""""","=""14.2906806""","=""""","=""""","=""0.166626""","=""""","=""  64         :    17  4d8.(3F).5d            4G   ""","=""L11817"""
"=""4d8.(3F).5d""","=""2H""","=""11/2""","=""""","=""13.7160309""","=""""","=""""","=""-0.574650""","=""""","=""  52         :    39  4d8.(3F).5d            4H   ""","=""L11817"""
"=""4d8.(3F).5d""","=""2H""","=""9/2""","=""""","=""14.3235903""","=""""","=""""","=""0.607559""","=""""","=""  49         :    22  4d8.(3F).5d            4H   ""","=""L11817"""
"=""4d8.(3F).5d""","=""2P""","=""3/2""","=""""","=""13.7404991""","=""""","=""""","=""-0.583091""","=""""","=""  60         :    17  4d8.(3F).5d            4P   ""","=""L11817"""
"=""4d8.(3F).5d""","=""2P""","=""1/2""","=""""","=""14.3114385""","=""""","=""""","=""0.570939""","=""""","=""  60         :    23  4d8.(3F).5d            4P   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4F""","=""9/2""","=""""","=""13.7485277""","=""""","=""""","=""-0.562911""","=""""","=""  48         :    37  4d8.(3F).5d            4G   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4F""","=""7/2""","=""""","=""14.1644162""","=""""","=""""","=""0.415888""","=""""","=""  45         :    25  4d8.(3F).5d            2G   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4F""","=""5/2""","=""""","=""14.2148367""","=""""","=""""","=""0.050420""","=""""","=""  42         :    27  4d8.(3F).5d            2D   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4F""","=""3/2""","=""""","=""14.3142548""","=""""","=""""","=""0.099418""","=""""","=""  56         :    10  4d8.(3P).6s            2P   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4G""","=""11/2""","=""""","=""13.7515054""","=""""","=""""","=""-0.562749""","=""""","=""  79         :    19  4d8.(3F).5d            2H   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4G""","=""7/2""","=""""","=""14.1347399""","=""""","=""""","=""0.383235""","=""""","=""  44         :    28  4d8.(3F).5d            2F   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4G""","=""9/2""","=""""","=""14.1628561""","=""""","=""""","=""0.028116""","=""""","=""  44         :    20  4d8.(3F).5d            2G   ""","=""L11817"""
"=""4d8.(3F).5d""","=""4G""","=""5/2""","=""""","=""14.3010223""","=""""","=""""","=""0.138166""","=""""","=""  60         :    22  4d8.(3F).5d            4F   ""","=""L11817"""
"=""4d8.(3F).5d""","=""2F""","=""7/2""","=""""","=""13.7737601""","=""""","=""""","=""-0.527262""","=""""","=""  61         :    18  4d8.(3F).5d            4F   ""","=""L11817"""
