Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""4d8""","=""a 3F""","=""4""","=""""","=""0.00000""","=""""","=""0""","=""""","=""L3536"""
"=""4d8""","=""a 3F""","=""3""","=""""","=""0.40038""","=""""","=""""","=""0.40038""","="""""
"=""4d8""","=""a 3F""","=""2""","=""""","=""0.58106""","=""""","=""""","=""0.1807""","="""""
"=""4d8""","=""a 3P""","=""2""","=""""","=""1.26836""","=""""","=""""","=""0.6873""","="""""
"=""4d8""","=""a 3P""","=""1""","=""""","=""1.66994""","=""""","=""""","=""0.4016""","="""""
"=""4d8""","=""a 3P""","=""0""","=""""","=""1.69837""","=""""","=""""","=""0.0284""","="""""
"=""4d8""","=""a 1D""","=""2""","=""""","=""1.81443""","=""""","=""""","=""0.1161""","="""""
"=""4d8""","=""a 1G""","=""4""","=""""","=""2.21684""","=""""","=""""","=""0.4024""","="""""
"=""4d8""","=""a 1S""","=""0""","=""""","=""5.16986""","=""""","=""""","=""2.9530""","="""""
"=""4d7.(4F).5s""","=""a 5F""","=""5""","=""""","=""6.56075""","=""""","=""""","=""1.3909""","="""""
"=""4d7.(4F).5s""","=""a 5F""","=""4""","=""""","=""6.83012""","=""""","=""""","=""0.2694""","="""""
"=""4d7.(4F).5s""","=""a 5F""","=""3""","=""""","=""7.035067""","=""""","=""""","=""0.20495""","="""""
"=""4d7.(4F).5s""","=""a 5F""","=""2""","=""""","=""7.171857""","=""""","=""""","=""0.13679""","="""""
"=""4d7.(4F).5s""","=""a 5F""","=""1""","=""""","=""7.25646""","=""""","=""""","=""0.08460""","="""""
"=""4d7.(4F).5s""","=""b 3F""","=""4""","=""""","=""7.756544""","=""""","=""""","=""0.50008""","="""""
"=""4d7.(4F).5s""","=""b 3F""","=""3""","=""""","=""8.090599""","=""""","=""""","=""0.33405""","="""""
"=""4d7.(4F).5s""","=""b 3F""","=""2""","=""""","=""8.316727""","=""""","=""""","=""0.22613""","="""""
"=""4d7.(4P).5s""","=""a 5P""","=""3""","=""""","=""8.146744""","=""""","=""""","=""-0.16998""","="""""
"=""4d7.(4P).5s""","=""a 5P""","=""2""","=""""","=""8.156641""","=""""","=""""","=""0.00990""","="""""
"=""4d7.(4P).5s""","=""a 5P""","=""1""","=""""","=""8.325667""","=""""","=""""","=""0.16903""","="""""
"=""4d7.(2G).5s""","=""a 3G""","=""5""","=""""","=""8.677089""","=""""","=""""","=""0.35142""","="""""
"=""4d7.(2G).5s""","=""a 3G""","=""4""","=""""","=""8.808712""","=""""","=""""","=""0.13162""","="""""
"=""4d7.(2G).5s""","=""a 3G""","=""3""","=""""","=""9.024269""","=""""","=""""","=""0.21556""","="""""
"=""4d7.(2P).5s""","=""b 3P""","=""2""","=""""","=""9.019208""","=""""","=""""","=""-0.00506""","="""""
"=""4d7.(2P).5s""","=""b 3P""","=""1""","=""""","=""9.051195""","=""""","=""""","=""0.03199""","="""""
"=""4d7.(2P).5s""","=""b 3P""","=""0""","=""""","=""9.209660""","=""""","=""""","=""0.15846""","="""""
"=""4d7.(2H).5s""","=""a 3H""","=""6""","=""""","=""9.258343""","=""""","=""""","=""0.04868""","="""""
"=""4d7.(2H).5s""","=""a 3H""","=""5""","=""""","=""9.418756""","=""""","=""""","=""0.16041""","="""""
"=""4d7.(2H).5s""","=""a 3H""","=""4""","=""""","=""9.742755""","=""""","=""""","=""0.32400""","="""""
"=""4d7.(2G).5s""","=""b 1G""","=""4""","=""""","=""9.348721""","=""""","=""""","=""-0.39403""","="""""
"=""4d7.(4P).5s""","=""c 3P""","=""2""","=""""","=""9.355184""","=""""","=""""","=""0.00646""","="""""
"=""4d7.(4P).5s""","=""c 3P""","=""1""","=""""","=""9.429675""","=""""","=""""","=""0.07449""","="""""
"=""4d7.(4P).5s""","=""c 3P""","=""0""","=""""","=""9.73695""","=""""","=""""","=""0.30728""","="""""
"=""4d7.(2D2).5s""","=""a 3D""","=""3""","=""""","=""9.451472""","=""""","=""""","=""-0.28548""","="""""
"=""4d7.(2D2).5s""","=""a 3D""","=""1""","=""""","=""9.685584""","=""""","=""""","=""0.23411""","="""""
"=""4d7.(2D2).5s""","=""a 3D""","=""2""","=""""","=""9.691780""","=""""","=""""","=""0.00620""","="""""
"=""4d7.(2H).5s""","=""a 1H""","=""5""","=""""","=""10.018472""","=""""","=""""","=""0.32669""","="""""
"=""4d7.(2P).5s""","=""a 1P""","=""1""","=""""","=""10.243567""","=""""","=""""","=""0.22510""","="""""
"=""4d7.(2D2).5s""","=""b 1D""","=""2""","=""""","=""10.315974""","=""""","=""""","=""0.07241""","="""""
"=""4d7.(2F).5s""","=""c 3F""","=""2""","=""""","=""10.590771""","=""""","=""""","=""0.27480""","="""""
"=""4d7.(2F).5s""","=""c 3F""","=""3""","=""""","=""10.641561""","=""""","=""""","=""0.05079""","="""""
"=""4d7.(2F).5s""","=""c 3F""","=""4""","=""""","=""10.761190""","=""""","=""""","=""0.11963""","="""""
"=""4d7.(2F).5s""","=""a 1F""","=""3""","=""""","=""11.243383""","=""""","=""""","=""0.48219""","="""""
"=""4d7.(2D1).5s""","=""b 3D""","=""1""","=""""","=""12.78389""","=""""","=""""","=""1.54051""","="""""
"=""4d7.(2D1).5s""","=""b 3D""","=""2""","=""""","=""12.838368""","=""""","=""""","=""0.05448""","="""""
"=""4d7.(2D1).5s""","=""b 3D""","=""3""","=""""","=""12.946204""","=""""","=""""","=""0.10784""","="""""
"=""4d7.(4F).5p""","=""z 5D*""","=""4""","=""""","=""12.946289""","=""""","=""""","=""0.00009""","="""""
"=""4d7.(4F).5p""","=""z 5D*""","=""3""","=""""","=""13.604074""","=""""","=""""","=""0.65779""","="""""
"=""4d7.(4F).5p""","=""z 5D*""","=""2""","=""""","=""13.754973""","=""""","=""""","=""0.15090""","="""""
"=""4d7.(4F).5p""","=""z 5D*""","=""1""","=""""","=""13.850213""","=""""","=""""","=""0.09524""","="""""
"=""4d7.(4F).5p""","=""z 5D*""","=""0""","=""""","=""13.867279""","=""""","=""""","=""0.01707""","="""""
"=""4d7.(4F).5p""","=""z 5F*""","=""5""","=""""","=""13.03639""","=""""","=""""","=""-0.83089""","="""""
"=""4d7.(4F).5p""","=""z 5F*""","=""3""","=""""","=""13.253076""","=""""","=""""","=""0.21669""","="""""
"=""4d7.(4F).5p""","=""z 5F*""","=""4""","=""""","=""13.404625""","=""""","=""""","=""0.15155""","="""""
"=""4d7.(4F).5p""","=""z 5F*""","=""2""","=""""","=""13.469844""","=""""","=""""","=""0.06522""","="""""
"=""4d7.(4F).5p""","=""z 5F*""","=""1""","=""""","=""13.610979""","=""""","=""""","=""0.14114""","="""""
"=""4d7.(2D1).5s""","=""1D""","=""2""","=""""","=""13.43453""","=""""","=""""","=""-0.17645""","="""""
"=""4d7.(4F).5p""","=""z 5G*""","=""6""","=""""","=""13.51620""","=""""","=""""","=""0.0817""","="""""
"=""4d7.(4F).5p""","=""z 5G*""","=""4""","=""""","=""13.731109""","=""""","=""""","=""0.21491""","="""""
"=""4d7.(4F).5p""","=""z 5G*""","=""3""","=""""","=""13.840487""","=""""","=""""","=""0.10938""","="""""
"=""4d7.(4F).5p""","=""z 5G*""","=""2""","=""""","=""13.861736""","=""""","=""""","=""0.02125""","="""""
"=""4d7.(4F).5p""","=""z 5G*""","=""5""","=""""","=""13.949069""","=""""","=""""","=""0.08733""","="""""
"=""4d7.(4F).5p""","=""z 3G*""","=""5""","=""""","=""13.523746""","=""""","=""""","=""-0.42532""","="""""
"=""4d7.(4F).5p""","=""z 3G*""","=""4""","=""""","=""14.244066""","=""""","=""""","=""0.72032""","="""""
"=""4d7.(4F).5p""","=""z 3G*""","=""3""","=""""","=""14.44650""","=""""","=""""","=""0.20243""","="""""
"=""4d7.(4P).5p""","=""z 5S*""","=""2""","=""""","=""13.926928""","=""""","=""""","=""-0.51957""","="""""
"=""4d7.(4F).5p""","=""z 3F*""","=""4""","=""""","=""13.941918""","=""""","=""""","=""0.01499""","="""""
"=""4d7.(4F).5p""","=""z 3F*""","=""3""","=""""","=""14.109616""","=""""","=""""","=""0.16770""","="""""
"=""4d7.(4F).5p""","=""z 3F*""","=""2""","=""""","=""14.349692""","=""""","=""""","=""0.24008""","="""""
"=""4d7.(4F).5p""","=""z 3D*""","=""3""","=""""","=""14.349465""","=""""","=""""","=""-0.00023""","="""""
"=""4d7.(4F).5p""","=""z 3D*""","=""2""","=""""","=""14.480148""","=""""","=""""","=""0.13068""","="""""
"=""4d7.(4F).5p""","=""z 3D*""","=""1""","=""""","=""14.576368""","=""""","=""""","=""0.09622""","="""""
"=""4d7.(2P).5p""","=""z 3P*""","=""1""","=""""","=""14.782333""","=""""","=""""","=""0.20596""","="""""
"=""4d7.(2P).5p""","=""z 3P*""","=""0""","=""""","=""15.218025""","=""""","=""""","=""0.43569""","="""""
"=""4d7.(2P).5p""","=""z 3P*""","=""2""","=""""","=""15.288859""","=""""","=""""","=""0.07083""","="""""
"=""4d7.(4P).5p""","=""y 5D*""","=""2""","=""""","=""14.883405""","=""""","=""""","=""-0.40545""","="""""
"=""4d7.(4P).5p""","=""y 5D*""","=""3""","=""""","=""14.905628""","=""""","=""""","=""0.02222""","="""""
"=""4d7.(4P).5p""","=""y 5D*""","=""0""","=""""","=""15.082892""","=""""","=""""","=""0.17726""","="""""
