Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f5.6s2""","=""6H*""","=""5/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.305""","=""  96         :     2   4G4* ""","=""L3974"""
"=""4f5.6s2""","=""6H*""","=""7/2""","=""""","=""0.099661""","=""""","=""""","=""0.099661""","=""0.8279""","=""  97         :     2   4G4* ""","="""""
"=""4f5.6s2""","=""6H*""","=""9/2""","=""""","=""0.216821""","=""""","=""""","=""0.11716""","=""1.068""","=""  98         :     1   4G4* ""","="""""
"=""4f5.6s2""","=""6H*""","=""11/2""","=""""","=""0.346796""","=""""","=""""","=""0.12997""","=""1.205""","=""  98         :     1   4I3* ""","="""""
"=""4f5.6s2""","=""6H*""","=""13/2""","=""""","=""0.485898""","=""""","=""""","=""0.13910""","=""1.307""","=""  97         :     2   4I3* ""","="""""
"=""4f5.6s2""","=""6H*""","=""15/2""","=""""","=""0.631054""","=""""","=""""","=""0.14516""","=""1.33""","=""  95         :     4   4I3* ""","="""""
"=""4f5.6s2""","=""6F*""","=""1/2""","=""""","=""0.650853""","=""""","=""""","=""0.01980""","=""-0.68""","=""  97         :     1   4D2* ""","="""""
"=""4f5.6s2""","=""6F*""","=""3/2""","=""""","=""0.677016""","=""""","=""""","=""0.02616""","=""1.051""","=""  95         :     1   4F3* ""","="""""
"=""4f5.6s2""","=""6F*""","=""5/2""","=""""","=""0.728139""","=""""","=""""","=""0.05112""","=""1.239""","=""  94         :     2   4F3* ""","="""""
"=""4f5.6s2""","=""6F*""","=""7/2""","=""""","=""0.813691""","=""""","=""""","=""0.08555""","=""1.385""","=""  95         :     3   4F3* ""","="""""
"=""4f5.6s2""","=""6F*""","=""9/2""","=""""","=""0.929632""","=""""","=""""","=""0.11594""","=""1.440""","=""  96         :     2   4F3* ""","="""""
"=""4f5.6s2""","=""6F*""","=""11/2""","=""""","=""1.067406""","=""""","=""""","=""0.13777""","=""1.458""","=""  97         :     1   4G3* ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.120715""","=""""","=""""","=""1.05331""","=""0.885""","=""                            ""","="""""
"=""""","=""""","=""3/2""","=""""","=""2.480433""","=""""","=""""","=""0.35972""","=""0.068""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.499255""","=""""","=""""","=""0.01882""","=""0.503""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.512661""","=""""","=""""","=""0.01341""","=""0.527""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.543903""","=""""","=""""","=""0.03124""","=""0.659""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.550077""","=""""","=""""","=""0.00617""","=""0.910""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.561514""","=""""","=""""","=""0.01144""","=""1.114""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.563474""","=""""","=""""","=""0.00196""","=""1.075""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.592386""","=""""","=""""","=""0.02891""","=""0.929""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.616079""","=""""","=""""","=""0.02369""","=""1.319""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.621405""","=""""","=""""","=""0.00533""","=""0.977""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.633113""","=""""","=""""","=""0.01171""","=""0.841""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.646842""","=""""","=""""","=""0.01373""","=""0.815""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.649673""","=""""","=""""","=""0.00283""","=""0.927""","=""                            ""","="""""
"=""""","=""""","=""3/2""","=""""","=""2.676893""","=""""","=""""","=""0.02722""","=""0.135""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.681214""","=""""","=""""","=""0.00432""","=""1.117""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.685236""","=""""","=""""","=""0.00402""","=""1.01""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.686341""","=""""","=""""","=""0.00110""","=""0.696""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.694540""","=""""","=""""","=""0.00820""","=""1.137""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.717794""","=""""","=""""","=""0.02325""","=""0.986""","=""                            ""","="""""
"=""""","=""""","=""3/2""","=""""","=""2.720972""","=""""","=""""","=""0.00318""","=""-0.01""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.724709""","=""""","=""""","=""0.00374""","=""1.218""","=""                            ""","="""""
"=""""","=""""","=""3/2""","=""""","=""2.729314""","=""""","=""""","=""0.00461""","=""0.887""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.737581""","=""""","=""""","=""0.00827""","=""0.571""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.738148""","=""""","=""""","=""0.00057""","=""0.858""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.753124""","=""""","=""""","=""0.01498""","=""0.974""","=""                            ""","="""""
"=""""","=""""","=""1/2""","=""""","=""2.759790""","=""""","=""""","=""0.00667""","=""-0.32""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.764223""","=""""","=""""","=""0.00443""","=""1.245""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.765001""","=""""","=""""","=""0.00078""","=""0.976""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.766080""","=""""","=""""","=""0.00108""","=""0.850""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.771751""","=""""","=""""","=""0.00567""","=""1.374""","=""                            ""","="""""
"=""""","=""""","=""3/2""","=""""","=""2.775766""","=""""","=""""","=""0.00401""","=""0.84""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.779003""","=""""","=""""","=""0.00324""","=""1.12""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.780418""","=""""","=""""","=""0.00142""","=""0.83""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.782974""","=""""","=""""","=""0.00256""","=""1.531""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.784278""","=""""","=""""","=""0.00130""","=""0.936""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.792484""","=""""","=""""","=""0.00821""","=""0.735""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.800403""","=""""","=""""","=""0.00792""","=""1.283""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.808780""","=""""","=""""","=""0.00838""","=""0.84""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.809070""","=""""","=""""","=""0.00029""","=""0.936""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.822045""","=""""","=""""","=""0.01297""","=""1.296""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.828964""","=""""","=""""","=""0.00692""","=""1.134""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.839888""","=""""","=""""","=""0.01092""","=""1.16""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.843540""","=""""","=""""","=""0.00365""","=""1.237""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.852424""","=""""","=""""","=""0.00888""","=""""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.855846""","=""""","=""""","=""0.00342""","=""1.0""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.873722""","=""""","=""""","=""0.01788""","=""1.150""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.875013""","=""""","=""""","=""0.00129""","=""1.48""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.876226""","=""""","=""""","=""0.00121""","=""1.12""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.885869""","=""""","=""""","=""0.00964""","=""0.83""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.886216""","=""""","=""""","=""0.00035""","=""1.0""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.893060""","=""""","=""""","=""0.00684""","=""0.571""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.893485""","=""""","=""""","=""0.00042""","=""1.257""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.894420""","=""""","=""""","=""0.00094""","=""1.323""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.905619""","=""""","=""""","=""0.01120""","=""1.00""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.906660""","=""""","=""""","=""0.00104""","=""0.784""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.911227""","=""""","=""""","=""0.00457""","=""1.16""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.913823""","=""""","=""""","=""0.00260""","=""1.283""","=""                            ""","="""""
"=""""","=""""","=""5/2""","=""""","=""2.918447""","=""""","=""""","=""0.00462""","=""0.780""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.919902""","=""""","=""""","=""0.00145""","=""1.170""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.922465""","=""""","=""""","=""0.00256""","=""1.26""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.924082""","=""""","=""""","=""0.00162""","=""1.123""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""2.929630""","=""""","=""""","=""0.00555""","=""1.09""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.939983""","=""""","=""""","=""0.01035""","=""1.181""","=""                            ""","="""""
"=""""","=""""","=""1/2""","=""""","=""2.942464""","=""""","=""""","=""0.00248""","=""3.24""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""2.943437""","=""""","=""""","=""0.00097""","=""""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""2.943876""","=""""","=""""","=""0.00044""","=""1.111""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.945935""","=""""","=""""","=""0.00206""","=""""","=""                            ""","="""""
"=""""","=""""","=""3/2""","=""""","=""2.966559""","=""""","=""""","=""0.02062""","=""1.754""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""2.968028""","=""""","=""""","=""0.00147""","=""1.044""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""2.977269""","=""""","=""""","=""0.00924""","=""1.29""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""2.980434""","=""""","=""""","=""0.00316""","=""1.08""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""2.984427""","=""""","=""""","=""0.00399""","=""1.12""","=""                            ""","="""""
"=""""","=""""","=""3/2""","=""""","=""2.986952""","=""""","=""""","=""0.00252""","=""1.395""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""2.990798""","=""""","=""""","=""0.00385""","=""""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""2.998037""","=""""","=""""","=""0.00724""","=""1.28""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""3.000959""","=""""","=""""","=""0.00292""","=""0.670""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""3.004685""","=""""","=""""","=""0.00373""","=""""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""3.006079""","=""""","=""""","=""0.00139""","=""1.14""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""3.017568""","=""""","=""""","=""0.01149""","=""1.17""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""3.027501""","=""""","=""""","=""0.00993""","=""1.124""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""3.030564""","=""""","=""""","=""0.00306""","=""1.17""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""3.030616""","=""""","=""""","=""0.00005""","=""1.037""","=""                            ""","="""""
"=""""","=""""","=""7/2""","=""""","=""3.034030""","=""""","=""""","=""0.00341""","=""0.83""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""3.038041""","=""""","=""""","=""0.00401""","=""1.22""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""3.040121""","=""""","=""""","=""0.00208""","=""1.34""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""3.041738""","=""""","=""""","=""0.00162""","=""1.183""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""3.044873""","=""""","=""""","=""0.00313""","=""1.39""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""3.053425""","=""""","=""""","=""0.00855""","=""0.961""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""3.060138""","=""""","=""""","=""0.00671""","=""0.895""","=""                            ""","="""""
"=""""","=""""","=""15/2""","=""""","=""3.063061""","=""""","=""""","=""0.00292""","=""1.102""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""3.069177""","=""""","=""""","=""0.00612""","=""0.888""","=""                            ""","="""""
"=""""","=""""","=""13/2""","=""""","=""3.071094""","=""""","=""""","=""0.00192""","=""1.17""","=""                            ""","="""""
"=""""","=""""","=""9/2""","=""""","=""3.073551""","=""""","=""""","=""0.00246""","=""1.08""","=""                            ""","="""""
"=""""","=""""","=""11/2""","=""""","=""3.085334""","=""""","=""""","=""0.01178""","=""""","=""                            ""","="""""
