Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f5.(6H*).6s""","=""7H*""","=""8""","=""""","=""""","=""""","=""""","=""""","=""""","="" 100     or  :   100   (6H*<15/2>) (15/2,1/2)* ""","=""L3974"""
"=""4f5.(6H*).6s""","=""7H*""","=""2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.000""","="" 100     or  :   100   (6H*<5/2>) (5/2,1/2)*   ""","=""L3974"""
"=""4f5.(6H*).6s""","=""7H*""","=""3""","=""""","=""0.055353""","=""""","=""""","=""0.055353""","=""0.728""","=""  89     or  :    62   (6H*<5/2>) (5/2,1/2)*   ""","=""L3974"""
"=""4f5.(6H*).6s""","=""7H*""","=""4""","=""""","=""0.140530""","=""""","=""""","=""0.08518""","=""1.038""","=""  89     or  :    79   (6H*<7/2>) (7/2,1/2)*   ""","=""L3974"""
"=""4f5.(6H*).6s""","=""7H*""","=""5""","=""""","=""0.245925""","=""""","=""""","=""0.10540""","=""1.190""","=""  92     or  :    88   (6H*<9/2>) (9/2,1/2)*   ""","=""L3974"""
"=""4f5.(6H*).6s""","=""7H*""","=""6""","=""""","=""0.365792""","=""""","=""""","=""0.11987""","=""1.29""","=""  95     or  :    93   (6H*<11/2>) (11/2,1/2)* ""","=""L3974"""
"=""4f5.(6H*).6s""","=""7H*""","=""7""","=""""","=""0.495955""","=""""","=""""","=""0.13016""","=""1.34""","=""  97     or  :    97   (6H*<13/2>) (13/2,1/2)* ""","=""L3974"""
"=""4f5.(6H*).6s""","=""5H*""","=""7""","=""""","=""""","=""""","=""""","=""""","=""""","=""  97     or  :    97   (6H*<15/2>) (15/2,1/2)* ""","=""L3974"""
"=""4f5.(6H*).6s""","=""5H*""","=""3""","=""""","=""0.198743""","=""""","=""""","=""""","=""0.531""","=""  89     or  :    62   (6H*<7/2>) (7/2,1/2)*   ""","=""L3974"""
"=""4f5.(6H*).6s""","=""5H*""","=""4""","=""""","=""0.330636""","=""""","=""""","=""0.13189""","=""0.920""","=""  89     or  :    79   (6H*<9/2>) (9/2,1/2)*   ""","=""L3974"""
"=""4f5.(6H*).6s""","=""5H*""","=""5""","=""""","=""0.472666""","=""""","=""""","=""0.14203""","=""1.10""","=""  92     or  :    88   (6H*<11/2>) (11/2,1/2)* ""","=""L3974"""
"=""4f5.(6H*).6s""","=""5H*""","=""6""","=""""","=""0.622124""","=""""","=""""","=""0.14946""","=""1.20""","=""  95     or  :    93   (6H*<13/2>) (13/2,1/2)* ""","=""L3974"""
"=""4f5.(6F*).6s""","=""7F*""","=""5""","=""""","=""""","=""""","=""""","=""""","=""""","=""  98     or  :    97   (6F*<9/2>) (9/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""7F*""","=""6""","=""""","=""""","=""""","=""""","=""""","=""""","="" 100     or  :   100   (6F*<11/2>) (11/2,1/2)* ""","=""L3974"""
"=""4f5.(6F*).6s""","=""7F*""","=""0""","=""""","=""0.654746""","=""""","=""""","=""""","=""""","="" 100     or  :   100   (6F*<1/2>) (1/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""7F*""","=""1""","=""""","=""0.668456""","=""""","=""""","=""0.01371""","=""1.493""","=""  99     or  :    53   (6F*<1/2>) (1/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""7F*""","=""2""","=""""","=""0.698329""","=""""","=""""","=""0.02987""","=""1.481""","=""  98     or  :    74   (6F*<3/2>) (3/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""7F*""","=""3""","=""""","=""0.749918""","=""""","=""""","=""0.05159""","=""1.482""","=""  96     or  :    87   (6F*<5/2>) (5/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""7F*""","=""4""","=""""","=""0.831336""","=""""","=""""","=""0.08142""","=""1.50""","=""  96     or  :    94   (6F*<7/2>) (7/2,1/2)*   ""","=""L3974"""
"=""4f5.(6H*).5d""","=""7K*""","=""10""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                               ""","=""L3974"""
"=""4f5.(6H*).5d""","=""7K*""","=""9""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                               ""","=""L3974"""
"=""4f5.(6H*).5d""","=""7K*""","=""4""","=""""","=""0.661128""","=""""","=""""","=""""","=""0.412""","=""                                               ""","=""L3974"""
"=""4f5.(6H*).5d""","=""7K*""","=""5""","=""""","=""0.760205""","=""""","=""""","=""0.09908""","=""""","=""                                               ""","=""L9521"""
"=""4f5.(6H*).5d""","=""7K*""","=""6""","=""""","=""0.872931""","=""""","=""""","=""0.11273""","=""""","=""                                               ""","=""L9521"""
"=""4f5.(6H*).5d""","=""7K*""","=""7""","=""""","=""0.997046""","=""""","=""""","=""0.12411""","=""""","=""                                               ""","=""L9521"""
"=""4f5.(6H*).5d""","=""7K*""","=""8""","=""""","=""1.130654""","=""""","=""""","=""0.13361""","=""""","=""                                               ""","=""L9521"""
"=""4f5.(6F*).6s""","=""5F*""","=""5""","=""""","=""""","=""""","=""""","=""""","=""""","=""  98     or  :    97   (6F*<11/2>) (11/2,1/2)* ""","=""L3974"""
"=""4f5.(6F*).6s""","=""5F*""","=""4""","=""""","=""""","=""""","=""""","=""""","=""""","=""  96     or  :    94   (6F*<9/2>) (9/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""5F*""","=""1""","=""""","=""0.821941""","=""""","=""""","=""""","=""0.00""","=""  99     or  :    53   (6F*<3/2>) (3/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""5F*""","=""2""","=""""","=""0.869485""","=""""","=""""","=""0.04754""","=""1.010""","=""  98     or  :    74   (6F*<5/2>) (5/2,1/2)*   ""","=""L3974"""
"=""4f5.(6F*).6s""","=""5F*""","=""3""","=""""","=""0.954813""","=""""","=""""","=""0.08533""","=""1.23""","=""  96     or  :    87   (6F*<7/2>) (7/2,1/2)*   ""","=""L3974"""
"=""""","=""""","=""3""","=""""","=""1.927104""","=""""","=""""","=""0.97229""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""2""","=""""","=""1.979791""","=""""","=""""","=""0.05269""","=""0.365""","=""                                               ""","=""L3974"""
"=""""","=""""","=""5""","=""""","=""2.177404""","=""""","=""""","=""0.19761""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""5""","=""""","=""2.183238""","=""""","=""""","=""0.00583""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""6""","=""""","=""2.183362""","=""""","=""""","=""0.00012""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""5""","=""""","=""2.183714""","=""""","=""""","=""0.00035""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""5""","=""""","=""2.196027""","=""""","=""""","=""0.01231""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""6""","=""""","=""2.211253""","=""""","=""""","=""0.01523""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""5""","=""""","=""2.283721""","=""""","=""""","=""0.07247""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""5""","=""""","=""2.310481""","=""""","=""""","=""0.02676""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""6""","=""""","=""2.316958""","=""""","=""""","=""0.00648""","=""1.09""","=""                                               ""","=""L3974"""
"=""""","=""""","=""6""","=""""","=""2.322980""","=""""","=""""","=""0.00602""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""6""","=""""","=""2.369865""","=""""","=""""","=""0.04689""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""6""","=""""","=""2.448692""","=""""","=""""","=""0.07883""","=""1.1""","=""                                               ""","=""L3974"""
"=""""","=""""","=""6""","=""""","=""2.496376""","=""""","=""""","=""0.04768""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""7""","=""""","=""2.620919""","=""""","=""""","=""0.12454""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""2""","=""""","=""2.774476""","=""""","=""""","=""0.15356""","=""1.62""","=""                                               ""","=""L3974"""
"=""""","=""""","=""2""","=""""","=""2.823646""","=""""","=""""","=""0.04917""","=""0.571""","=""                                               ""","=""L3974"""
"=""""","=""""","=""3""","=""""","=""2.884034""","=""""","=""""","=""0.06039""","=""0.617""","=""                                               ""","=""L3974"""
"=""""","=""""","=""5""","=""""","=""2.889095""","=""""","=""""","=""0.00506""","=""""","=""                                               ""","=""L3974"""
"=""""","=""""","=""2""","=""""","=""2.913606""","=""""","=""""","=""0.02451""","=""0.467""","=""                                               ""","=""L3974"""
"=""""","=""""","=""4""","=""""","=""2.918712""","=""""","=""""","=""0.00511""","=""1.168""","=""                                               ""","=""L3974"""
"=""""","=""""","=""3""","=""""","=""2.946110""","=""""","=""""","=""0.02740""","=""0.840""","=""                                               ""","=""L3974"""
"=""""","=""""","=""2""","=""""","=""2.978477""","=""""","=""""","=""0.03237""","=""0.36""","=""                                               ""","=""L3974"""
"=""""","=""""","=""3""","=""""","=""2.978689""","=""""","=""""","=""0.00021""","=""0.962""","=""                                               ""","=""L3974"""
