Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f4""","=""5I""","=""4""","=""""","=""0.0000""","=""""","=""0""","=""""","=""  97         :     2   3H4  ""","=""L3974"""
"=""4f4""","=""5I""","=""5""","=""[""","=""0.185""","=""]""","=""""","=""0.185""","=""  98         :     1   3H4  ""","="""""
"=""4f4""","=""5I""","=""6""","=""[""","=""0.386""","=""]""","=""""","=""0.20""","=""  99                        ""","="""""
"=""4f4""","=""5I""","=""7""","=""[""","=""0.598""","=""]""","=""""","=""0.21""","=""  98         :     1   3K2  ""","="""""
"=""4f4""","=""5I""","=""8""","=""[""","=""0.816""","=""]""","=""""","=""0.22""","=""  96         :     3   3K2  ""","="""""
"=""4f4""","=""5F""","=""1""","=""[""","=""1.516""","=""]""","=""""","=""0.70""","=""  95         :     4   3D1  ""","="""""
"=""4f4""","=""5F""","=""2""","=""[""","=""1.571""","=""]""","=""""","=""0.05""","=""  94         :     3   3D1  ""","="""""
"=""4f4""","=""5F""","=""3""","=""[""","=""1.676""","=""]""","=""""","=""0.10""","=""  95         :     1   3F3  ""","="""""
"=""4f4""","=""5F""","=""4""","=""[""","=""1.794""","=""]""","=""""","=""0.12""","=""  91         :     3   3G2  ""","="""""
"=""4f4""","=""5F""","=""5""","=""[""","=""1.96""","=""]""","=""""","=""0.17""","=""  92         :     4   3G2  ""","="""""
"=""4f4""","=""5S""","=""2""","=""[""","=""1.75""","=""]""","=""""","=""-0.2""","=""  94         :     5   3P2  ""","="""""
"=""Pm V (4f3.5s2.5p6 4I*<9/2>)""","=""Limit""","=""---""","=""[""","=""41.17""","=""]""","=""0.09""","=""""","=""                            ""","=""L19883c180"""
