Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f3.6s2""","=""4I*""","=""9/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.73104""","=""  97         :     2   2H2*           ""","=""L3974"""
"=""4f3.6s2""","=""4I*""","=""11/2""","=""""","=""0.170677""","=""""","=""""","=""0.170677""","=""0.96515""","=""  99                                  ""","="""""
"=""4f3.6s2""","=""4I*""","=""13/2""","=""""","=""0.352952""","=""""","=""""","=""0.18227""","=""1.10632""","=""  99                                  ""","="""""
"=""4f3.6s2""","=""4I*""","=""15/2""","=""""","=""0.543187""","=""""","=""""","=""0.19023""","=""1.19799""","=""  99         :     1   2K*            ""","="""""
"=""4f2.(3H).5d.6s2""","=""4I""","=""15/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4I""","=""9/2""","=""""","=""0.549525""","=""""","=""""","=""""","=""0.805""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4I""","=""11/2""","=""""","=""0.782741""","=""""","=""""","=""0.23322""","=""0.96""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4I""","=""13/2""","=""""","=""0.985837""","=""""","=""""","=""0.20310""","=""1.09""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4K""","=""17/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4K""","=""11/2""","=""""","=""0.603374""","=""""","=""""","=""""","=""0.785""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4K""","=""13/2""","=""""","=""0.818742""","=""""","=""""","=""0.21537""","=""0.96""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4K""","=""15/2""","=""""","=""1.036993""","=""o""","=""""","=""0.21825""","=""1.06?""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""2H""","=""9/2""","=""""","=""0.721944""","=""""","=""""","=""-0.31505""","=""0.855""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""2H""","=""11/2""","=""""","=""0.854617""","=""""","=""""","=""0.13267""","=""0.85""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4H""","=""13/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4H""","=""7/2""","=""""","=""0.810300""","=""""","=""""","=""""","=""0.68""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4H""","=""9/2""","=""""","=""0.995499""","=""""","=""""","=""0.18520""","=""0.965""","=""                                      ""","="""""
"=""4f2.(3H).5d.6s2""","=""4H""","=""11/2""","=""""","=""1.199548""","=""""","=""""","=""0.20405""","=""1.1""","=""                                      ""","="""""
"=""4f2.(3H).5d2.(3F) (5L).6s""","=""6L""","=""15/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                      ""","="""""
"=""4f2.(3H).5d2.(3F) (5L).6s""","=""6L""","=""17/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                      ""","="""""
"=""4f2.(3H).5d2.(3F) (5L).6s""","=""6L""","=""19/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                      ""","="""""
"=""4f2.(3H).5d2.(3F) (5L).6s""","=""6L""","=""21/2""","=""""","=""""","=""""","=""""","=""""","=""""","=""                                      ""","="""""
