Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""""","=""0.000000""","=""""","=""0""","=""""","=""0.604""","=""  97         or  :    97   (4I*) 5I*  ""","=""L3974"""
"=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""0.054795""","=""""","=""""","=""0.054795""","=""0.875""","=""  90         or  :    58   (4I*) 5I*  ""","="""""
"=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""""","=""0.204451""","=""""","=""""","=""0.14966""","=""1.064""","=""  94         or  :    77   (4I*) 5I*  ""","="""""
"=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""""","=""0.216194""","=""""","=""""","=""0.01174""","=""0.860""","=""  91         or  :    59   (4I*) 3I*  ""","="""""
"=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""""","=""0.371749""","=""""","=""""","=""0.15555""","=""1.177""","=""  98         or  :    90   (4I*) 5I*  ""","="""""
"=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""""","=""0.421944""","=""""","=""""","=""0.05019""","=""1.037""","=""  95         or  :    77   (4I*) 3I*  ""","="""""
"=""4f3.(4I*).5d""","=""5L*""","=""6""","=""""","=""0.482728""","=""""","=""""","=""0.06078""","=""0.726""","=""  94             :     3   (2H*2) 3K* ""","="""""
"=""4f3.(4I*).5d""","=""5L*""","=""7""","=""""","=""0.633361""","=""""","=""""","=""0.15063""","=""0.908""","=""  95             :     1   (2H*2) 3K* ""","="""""
"=""4f3.(4I*).5d""","=""5L*""","=""8""","=""""","=""0.795710""","=""""","=""""","=""0.16235""","=""1.05""","=""  97             :     1   (4I*) 5K*  ""","="""""
"=""4f3.(4I*).5d""","=""5L*""","=""9""","=""""","=""0.967772""","=""""","=""""","=""0.17206""","=""1.12""","=""  98             :     1   (4I*) 5K*  ""","="""""
