Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f3""","=""4I*""","=""9/2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  97                 :     2                      2H2*             ""","=""L3974"""
"=""4f3""","=""4I*""","=""11/2""","=""""","=""0.173372""","=""""","=""""","=""0.173372""","=""  99                 :     1                      2H2*             ""","="""""
"=""4f3""","=""4I*""","=""13/2""","=""""","=""0.358704""","=""""","=""""","=""0.18533""","="" 100                                                               ""","="""""
"=""4f3""","=""4I*""","=""15/2""","=""""","=""0.552196""","=""""","=""""","=""0.19349""","=""  99                 :     1                      2K*              ""","="""""
"=""4f3""","=""4F*""","=""3/2""","=""""","=""1.161814""","=""""","=""""","=""0.60962""","=""  95                 :     5                      2D1*             ""","="""""
"=""4f3""","=""4F*""","=""5/2""","=""""","=""1.256974""","=""""","=""""","=""0.09516""","=""  98                 :     2                      2D1*             ""","="""""
"=""4f3""","=""4F*""","=""7/2""","=""""","=""1.346352""","=""""","=""""","=""0.08938""","=""  93                 :     4                      2G1*             ""","="""""
"=""4f3""","=""4F*""","=""9/2""","=""""","=""1.458264""","=""""","=""""","=""0.11191""","=""  79                 :    15                      2H2*             ""","="""""
"=""4f3""","=""2H2*""","=""9/2""","=""""","=""1.243924""","=""""","=""""","=""-0.21434""","=""  60                 :    10                      2G1*             ""","="""""
"=""4f3""","=""2H2*""","=""11/2""","=""""","=""1.549137""","=""""","=""""","=""0.30521""","=""  82                 :    13                      2H1*             ""","="""""
"=""4f3""","=""4S*""","=""3/2""","=""""","=""1.357657""","=""""","=""""","=""-0.19148""","=""  95                 :     4                      2P*              ""","="""""
"=""4f2.(3H).5d""","=""2H""","=""9/2""","=""""","=""1.592783""","=""""","=""""","=""0.23513""","=""  52                 :    38                      (3H) 4I          ""","="""""
"=""4f2.(3H).5d""","=""2H""","=""11/2""","=""""","=""1.842400""","=""""","=""""","=""0.24962""","=""  46                 :    27                      (3H) 4I          ""","="""""
"=""4f2.(3H).5d""","=""4K""","=""11/2""","=""""","=""1.655449""","=""""","=""""","=""-0.18695""","=""  80                                                               ""","="""""
"=""4f2.(3H).5d""","=""4K""","=""13/2""","=""""","=""1.916072""","=""""","=""""","=""0.26062""","=""  95                                                               ""","="""""
"=""4f2.(3H).5d""","=""4K""","=""15/2""","=""""","=""2.174033""","=""""","=""""","=""0.25796""","="" 100                                                               ""","="""""
"=""4f2.(3H).5d""","=""4K""","=""17/2""","=""""","=""2.436249""","=""""","=""""","=""0.26222""","="" 100                                                               ""","="""""
"=""4f3""","=""*""","=""7/2""","=""""","=""1.721843""","=""""","=""""","=""-0.71441""","=""  41  2G1*           :    29                      2G2*             ""","="""""
"=""4f3""","=""4G*""","=""5/2""","=""""","=""1.759007""","=""""","=""""","=""0.03716""","=""  99                                                               ""","="""""
"=""4f3""","=""4G*""","=""7/2""","=""""","=""1.914747""","=""""","=""""","=""0.15574""","=""  75                 :    15                      2G1*             ""","="""""
"=""4f3""","=""4G*""","=""9/2""","=""""","=""1.947188""","=""""","=""""","=""0.03244""","=""  55                 :    17                      2G1*             ""","="""""
"=""4f3""","=""4G*""","=""11/2""","=""""","=""2.158513""","=""""","=""""","=""0.21133""","=""  95                 :     3                      2H1*             ""","="""""
"=""4f2.(3H).5d""","=""4I""","=""9/2""","=""""","=""1.805064""","=""""","=""""","=""-0.35345""","=""  59                 :    26                      (3H) 2H          ""","="""""
"=""4f2.(3H).5d""","=""4I""","=""11/2""","=""""","=""1.924917""","=""""","=""""","=""0.11985""","=""  68                                                               ""","="""""
"=""4f2.(3H).5d""","=""4I""","=""13/2""","=""""","=""2.121765""","=""""","=""""","=""0.19685""","=""  98                                                               ""","="""""
"=""4f2.(3H).5d""","=""4I""","=""15/2""","=""""","=""2.345935""","=""""","=""""","=""0.22417""","=""  98                                                               ""","="""""
"=""4f2.(3H).5d""","=""4G""","=""5/2""","=""""","=""1.865441""","=""""","=""""","=""-0.48049""","=""  50                 :    25                      (3F) 4G          ""","="""""
"=""4f2.(3H).5d""","=""4G""","=""7/2""","=""""","=""2.047742""","=""""","=""""","=""0.18230""","=""  57                 :    25                      (3F) 4G          ""","="""""
"=""4f2.(3H).5d""","=""4G""","=""9/2""","=""""","=""2.239571""","=""""","=""""","=""0.19183""","=""  56                 :    25                      (3F) 4G          ""","="""""
"=""4f2.(3H).5d""","=""4G""","=""11/2""","=""""","=""2.442600""","=""""","=""""","=""0.20303""","=""  52                 :    29                      (3F) 4G          ""","="""""
"=""4f3""","=""2K*""","=""13/2""","=""""","=""1.994799""","=""""","=""""","=""-0.44780""","=""  99                 :     1                      2I*              ""","="""""
"=""4f3""","=""2K*""","=""15/2""","=""""","=""2.187337""","=""""","=""""","=""0.19254""","=""  96                 :     3                      2L*              ""","="""""
"=""4f2.(3H).5d""","=""4H""","=""7/2""","=""""","=""2.000605""","=""""","=""""","=""-0.18673""","=""  76                                                               ""","="""""
"=""4f2.(3H).5d""","=""4H""","=""9/2""","=""""","=""2.185469""","=""""","=""""","=""0.18486""","=""  76                 :    10                      (3H) 4G          ""","="""""
"=""4f2.(3H).5d""","=""4H""","=""11/2""","=""""","=""2.394002""","=""""","=""""","=""0.20853""","=""  85                                                               ""","="""""
"=""4f2.(3H).5d""","=""4H""","=""13/2""","=""""","=""2.633273""","=""""","=""""","=""0.23927""","=""  77                 :    13                      (3H) 2I          ""","="""""
"=""4f3""","=""*""","=""9/2""","=""""","=""2.078469""","=""""","=""""","=""-0.55480""","=""  43  4G*            :    30                      2G1*             ""","="""""
"=""4f3""","=""2D1*""","=""3/2""","=""""","=""2.119588""","=""""","=""""","=""0.04112""","=""  50                 :    40                      2P*              ""","="""""
"=""4f3""","=""2D1*""","=""5/2""","=""""","=""2.361414""","=""""","=""""","=""0.24183""","=""  98                 :     2                      4F*              ""","="""""
"=""4f2.(3H).5d""","=""""","=""5/2""","=""""","=""2.257970""","=""""","=""""","=""-0.10344""","=""  34  2F             :    21                      (3F) 2F          ""","="""""
"=""4f2.(3H).5d""","=""2I""","=""11/2""","=""""","=""2.261663""","=""""","=""""","=""0.00369""","=""  47                 :    16                      (1G) 2I          ""","="""""
"=""4f2.(3H).5d""","=""2I""","=""13/2""","=""""","=""2.400346""","=""""","=""""","=""0.13868""","=""  50                 :    19                      (3H) 4H          ""","="""""
"=""4f3""","=""2P*""","=""1/2""","=""""","=""2.317717""","=""""","=""""","=""-0.08263""","=""  95                 :     5                      4D*              ""","="""""
"=""4f3""","=""2P*""","=""3/2""","=""""","=""2.585921""","=""""","=""""","=""0.26820""","=""  53                 :    40                      2D1*             ""","="""""
"=""4f2.(3F).5d""","=""4H""","=""7/2""","=""""","=""2.354470""","=""""","=""""","=""-0.23145""","=""  88                                                               ""","="""""
"=""4f2.(3F).5d""","=""4H""","=""9/2""","=""""","=""2.518820""","=""""","=""""","=""0.16435""","=""  89                                                               ""","="""""
"=""4f2.(3F).5d""","=""4H""","=""11/2""","=""""","=""2.697380""","=""""","=""""","=""0.17856""","=""  88                                                               ""","="""""
"=""4f2.(3F).5d""","=""4H""","=""13/2""","=""""","=""2.873345""","=""""","=""""","=""0.17597""","=""  71                 :    15                      (3H) 2K          ""","="""""
"=""4f2.(3H).5d""","=""""","=""7/2""","=""""","=""2.463867""","=""""","=""""","=""-0.40948""","=""  33  2F             :    23                      (3F) 2F          ""","="""""
"=""4f2.(3H).5d""","=""4F""","=""3/2""","=""""","=""2.499566""","=""""","=""""","=""0.03570""","=""  78                 :    16                      (3F) 4F          ""","="""""
"=""4f2.(3H).5d""","=""4F""","=""5/2""","=""""","=""2.584871""","=""""","=""""","=""0.08530""","=""  41                 :    17                      (3F) 4G          ""","="""""
"=""4f2.(3H).5d""","=""4F""","=""9/2""","=""""","=""2.820354""","=""""","=""""","=""0.23548""","=""  49                 :    13                      (1G) 2H          ""","="""""
"=""4f2.(3F).5d""","=""4P""","=""1/2""","=""""","=""""","=""""","=""""","=""""","=""  75                 :    13                      (3F) 4D          ""","="""""
"=""4f2.(3F).5d""","=""4P""","=""3/2""","=""""","=""2.622071""","=""""","=""""","=""""","=""  60                 :    17                      (3F) 2P          ""","="""""
"=""4f2.(3F).5d""","=""4P""","=""5/2""","=""""","=""2.679446""","=""""","=""""","=""0.05737""","=""  39                 :    14                      (3H) 4F          ""","="""""
"=""4f2.(3H).5d""","=""2G""","=""7/2""","=""""","=""2.640230""","=""""","=""""","=""-0.03922""","=""  38                                                               ""","="""""
"=""4f2.(3H).5d""","=""2G""","=""9/2""","=""""","=""3.073323""","=""""","=""""","=""0.43309""","=""  48                 :    15                      (3F) 4F          ""","="""""
"=""4f2.(3F).5d""","=""4G""","=""5/2""","=""""","=""2.655598""","=""""","=""""","=""-0.41772""","=""  40                 :    16                      (3F) 4P          ""","="""""
"=""4f2.(3F).5d""","=""4G""","=""7/2""","=""""","=""2.737688""","=""""","=""""","=""0.08209""","=""  40                 :    27                      (3H) 4F          ""","="""""
"=""4f2.(3F).5d""","=""4G""","=""9/2""","=""""","=""2.956351""","=""""","=""""","=""0.21866""","=""  48                 :    14                      (3H) 4G          ""","="""""
"=""4f2.(3F).5d""","=""4G""","=""11/2""","=""""","=""3.235396""","=""""","=""""","=""0.27904""","=""  42                 :    24                      (1G) 2H          ""","="""""
"=""4f2.(1G).5d""","=""""","=""9/2""","=""""","=""2.670021""","=""""","=""""","=""-0.56537""","=""  33  2H             :    13                      (3F) 4G          ""","="""""
"=""4f2.(3F).5d""","=""""","=""3/2""","=""""","=""2.762078""","=""""","=""""","=""0.09206""","=""  30  4D             :    27                      (3F) 2D          ""","="""""
"=""4f2.(3H).5d""","=""""","=""7/2""","=""""","=""2.793079""","=""""","=""""","=""0.03100""","=""  22  4F             :    16                      (3F) 4G          ""","="""""
"=""4f2.(3F).5d""","=""4D""","=""3/2""","=""""","=""2.857911""","=""""","=""""","=""0.06483""","=""  30                 :    23                      (3F) 4P          ""","="""""
"=""4f2.(3F).5d""","=""4D""","=""5/2""","=""""","=""2.944819""","=""""","=""""","=""0.08691""","=""  76                 :    10                      (1G) 2F          ""","="""""
"=""4f2.(3F).5d""","=""4D""","=""1/2""","=""""","=""2.970087""","=""""","=""""","=""0.02527""","=""  66                 :    28                      (3F) 2P          ""","="""""
"=""4f2.(3F).5d""","=""4D""","=""7/2""","=""""","=""3.034005""","=""""","=""""","=""0.06392""","=""  69                                                               ""","="""""
"=""4f3""","=""4D*""","=""3/2""","=""""","=""2.863006""","=""""","=""""","=""-0.17100""","=""  82                 :    15                      2D2*             ""","="""""
"=""4f3""","=""4D*""","=""5/2""","=""""","=""2.882135""","=""""","=""""","=""0.01913""","=""  81                 :    18                      2D2*             ""","="""""
"=""4f3""","=""4D*""","=""1/2""","=""""","=""2.909343""","=""""","=""""","=""0.02721""","=""  95                 :     5                      2P*              ""","="""""
"=""4f3""","=""4D*""","=""7/2""","=""""","=""3.085534""","=""""","=""""","=""0.17619""","="" 100                                                               ""","="""""
"=""4f2.(1G).5d""","=""""","=""11/2""","=""""","=""2.906469""","=""""","=""""","=""-0.17907""","=""  35  2H             :    22                      (3F) 4G          ""","="""""
"=""4f2.(3F).5d""","=""""","=""5/2""","=""""","=""2.917703""","=""""","=""""","=""0.01123""","=""  23  4F             :    15                      (3H) 2F          ""","="""""
"=""4f2.(3H).5d""","=""2K""","=""13/2""","=""""","=""2.931950""","=""""","=""""","=""0.01425""","=""  71                 :    19                      (3F) 4H          ""","="""""
"=""4f2.(3H).5d""","=""2K""","=""15/2""","=""""","=""3.221028""","=""""","=""""","=""0.28908""","=""  86                 :    11                      (1I) 2K          ""","="""""
"=""4f2.(1G).5d""","=""""","=""7/2""","=""""","=""2.932459""","=""""","=""""","=""-0.28857""","=""  24  2G             :    17                      (1G) 2F          ""","="""""
"=""4f2.(3F).5d""","=""4F""","=""3/2""","=""""","=""3.006694""","=""""","=""""","=""0.07423""","=""  38                 :    20                      (3F) 2P          ""","="""""
"=""4f2.(3F).5d""","=""4F""","=""5/2""","=""""","=""3.032807""","=""""","=""""","=""0.02611""","=""  43                 :    18                      (3F) 2D          ""","="""""
"=""4f2.(3F).5d""","=""4F""","=""7/2""","=""""","=""3.279006""","=""""","=""""","=""0.24620""","=""  34                 :    21                      (3H) 2F          ""","="""""
"=""4f2.(3F).5d""","=""4F""","=""9/2""","=""""","=""3.422492""","=""""","=""""","=""0.14349""","=""  56                 :    26                      (1G) 2G          ""","="""""
"=""4f2.(3F).5d""","=""""","=""3/2""","=""""","=""3.013957""","=""""","=""""","=""-0.40854""","=""  28  4D             :    26                      (3F) 2P          ""","="""""
"=""4f3""","=""2I*""","=""11/2""","=""""","=""3.020005""","=""""","=""""","=""0.00605""","=""  84                 :    14                      2H1*             ""","="""""
"=""4f3""","=""2I*""","=""13/2""","=""""","=""3.148176""","=""""","=""""","=""0.12817""","=""  99                 :     1                      2K*              ""","="""""
"=""4f2.(1G).5d""","=""""","=""9/2""","=""""","=""3.103809""","=""""","=""""","=""-0.04437""","=""  36  2G             :    33                      (3H) 4F          ""","="""""
"=""4f3""","=""2L*""","=""15/2""","=""""","=""3.129933""","=""""","=""""","=""0.02612""","=""  97                 :     3                      2K*              ""","="""""
"=""4f3""","=""2L*""","=""17/2""","=""""","=""3.279119""","=""""","=""""","=""0.14919""","="" 100                                                               ""","="""""
"=""4f2.(3F).5d""","=""""","=""7/2""","=""""","=""3.150406""","=""""","=""""","=""-0.12871""","=""  30  4F             :    25                      (1G) 2G          ""","="""""
"=""4f2.(1G).5d""","=""""","=""5/2""","=""""","=""3.215528""","=""""","=""""","=""0.06512""","=""  18  2D             :    17                      (3F) 2F          ""","="""""
"=""4f3""","=""2D2*""","=""3/2""","=""""","=""3.337839""","=""""","=""""","=""0.12231""","=""  80                 :    16                      4D*              ""","="""""
"=""4f3""","=""2D2*""","=""5/2""","=""""","=""3.421608""","=""""","=""""","=""0.08377""","=""  77                 :    19                      4D*              ""","="""""
"=""4f3""","=""2H1*""","=""9/2""","=""""","=""3.345052""","=""""","=""""","=""-0.07656""","=""  87                 :    11                      2H2*             ""","="""""
"=""4f3""","=""2H1*""","=""11/2""","=""""","=""3.484175""","=""""","=""""","=""0.13912""","=""  70                 :    16                      2I*              ""","="""""
"=""4f2.(3F).5d""","=""2G""","=""7/2""","=""""","=""3.364751""","=""""","=""""","=""-0.11942""","=""  42                 :    17                      (1D) 2G          ""","="""""
"=""4f2.(3F).5d""","=""2G""","=""9/2""","=""""","=""3.560914""","=""""","=""""","=""0.19616""","=""  52                 :    15                      (3F) 2H          ""","="""""
"=""4f2.(1G).5d""","=""2I""","=""11/2""","=""""","=""3.394726""","=""""","=""""","=""-0.16619""","=""  64                 :    17                      (3H) 2I          ""","="""""
