Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4f2""","=""3H""","=""4""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  97                                                   ""","=""L3974"""
"=""4f2""","=""3H""","=""5""","=""""","=""0.266825""","=""""","=""""","=""0.266825""","="" 100                                                   ""","="""""
"=""4f2""","=""3H""","=""6""","=""""","=""0.544178""","=""""","=""""","=""0.27735""","="" 100                                                   ""","="""""
"=""4f2""","=""3F""","=""2""","=""""","=""0.619501""","=""""","=""""","=""0.07532""","=""  98                                                   ""","="""""
"=""4f2""","=""3F""","=""3""","=""""","=""0.795388""","=""""","=""""","=""0.17589""","="" 100                                                   ""","="""""
"=""4f2""","=""3F""","=""4""","=""""","=""0.849881""","=""""","=""""","=""0.05449""","=""  66         :    33                        1G         ""","="""""
"=""4f2""","=""1G""","=""4""","=""""","=""1.230077""","=""""","=""""","=""0.38020""","=""  65         :    34                        3F         ""","="""""
"=""4f2""","=""1D""","=""2""","=""""","=""2.149190""","=""""","=""""","=""0.91911""","=""  90         :     8                        3P         ""","="""""
"=""4f2""","=""3P""","=""0""","=""""","=""2.651998""","=""""","=""""","=""0.50281""","=""  99                                                   ""","="""""
"=""4f2""","=""3P""","=""1""","=""""","=""2.728577""","=""""","=""""","=""0.07658""","="" 100                                                   ""","="""""
"=""4f2""","=""3P""","=""2""","=""""","=""2.871550""","=""""","=""""","=""0.14297""","=""  92         :     8                        1D         ""","="""""
"=""4f2""","=""1I""","=""6""","=""""","=""2.753880""","=""""","=""""","=""-0.11767""","="" 100                                                   ""","="""""
"=""4f.5d""","=""1G*""","=""4""","=""""","=""7.584231""","=""""","=""""","=""4.83035""","=""  63     or  :    70                        (5/2,3/2)* ""","="""""
"=""4f.5d""","=""3F*""","=""2""","=""""","=""7.619756""","=""""","=""""","=""0.03552""","=""  69     or  :    95                        (5/2,3/2)* ""","="""""
"=""4f.5d""","=""3F*""","=""3""","=""""","=""7.950306""","=""""","=""""","=""0.33055""","=""  82     or  :    67                        (5/2,5/2)* ""","="""""
"=""4f.5d""","=""3F*""","=""4""","=""""","=""8.247182""","=""""","=""""","=""0.29688""","=""  73     or  :    91                        (7/2,5/2)* ""","="""""
"=""4f.5d""","=""3G*""","=""3""","=""""","=""7.855135""","=""""","=""""","=""-0.39205""","=""  77     or  :    85                        (5/2,3/2)* ""","="""""
"=""4f.5d""","=""3G*""","=""4""","=""""","=""8.138317""","=""""","=""""","=""0.28318""","=""  87     or  :    58                        (7/2,3/2)* ""","="""""
"=""4f.5d""","=""3G*""","=""5""","=""""","=""8.418443""","=""""","=""""","=""0.28013""","=""  98     or  :    70                        (7/2,5/2)* ""","="""""
"=""4f.5d""","=""3H*""","=""4""","=""""","=""7.882988""","=""""","=""""","=""-0.53545""","=""  68     or  :    40                        (5/2,5/2)* ""","="""""
"=""4f.5d""","=""3H*""","=""5""","=""""","=""8.088653""","=""""","=""""","=""0.20567""","="" 100     or  :    52                        (5/2,5/2)* ""","="""""
"=""4f.5d""","=""3H*""","=""6""","=""""","=""8.440575""","=""""","=""""","=""0.35192""","="" 100     or  :   100                        (7/2,5/2)* ""","="""""
"=""4f.5d""","=""1D*""","=""2""","=""""","=""8.098855""","=""""","=""""","=""-0.34172""","=""  61     or  :    58                        (5/2,5/2)* ""","="""""
"=""4f.5d""","=""3D*""","=""1""","=""""","=""8.302939""","=""""","=""""","=""0.20408""","=""  95     or  :    63                        (5/2,3/2)* ""","="""""
"=""4f.5d""","=""3D*""","=""2""","=""""","=""8.481946""","=""""","=""""","=""0.17901""","=""  92     or  :    55                        (7/2,3/2)* ""","="""""
"=""4f.5d""","=""3D*""","=""3""","=""""","=""8.492368""","=""""","=""""","=""0.01042""","=""  67     or  :    59                        (7/2,3/2)* ""","="""""
"=""4f.5d""","=""3P*""","=""1""","=""""","=""8.772543""","=""""","=""""","=""0.28017""","=""  93     or  :    70                        (5/2,5/2)* ""","="""""
"=""4f.5d""","=""3P*""","=""0""","=""""","=""8.783404""","=""""","=""""","=""0.01086""","="" 100     or  :   100                        (5/2,5/2)* ""","="""""
"=""4f.5d""","=""3P*""","=""2""","=""""","=""8.949812""","=""""","=""""","=""0.16641""","=""  94     or  :    54                        (7/2,5/2)* ""","="""""
"=""4f.5d""","=""1F*""","=""3""","=""""","=""8.892738""","=""""","=""""","=""-0.05707""","=""  65     or  :    95                        (7/2,5/2)* ""","="""""
"=""4f.5d""","=""1H*""","=""5""","=""""","=""9.331753""","=""""","=""""","=""0.43902""","=""  98     or  :    35                        (5/2,5/2)* ""","="""""
"=""4f.5d""","=""1P*""","=""1""","=""""","=""9.767026""","=""""","=""""","=""0.43527""","=""  92     or  :    83                        (7/2,5/2)* ""","="""""
"=""4f.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""2""","=""""","=""12.430467""","=""""","=""""","=""2.66344""","="" 100     or  :   100                        3F*        ""","="""""
"=""4f.(2F*<5/2>).6s<1/2>""","=""(5/2,1/2)*""","=""3""","=""""","=""12.465849""","=""""","=""""","=""0.03538""","=""  99     or  :    69                        3F*        ""","="""""
"=""4f.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""4""","=""""","=""12.804019""","=""""","=""""","=""0.33817""","="" 100     or  :   100                        3F*        ""","="""""
"=""4f.(2F*<7/2>).6s<1/2>""","=""(7/2,1/2)*""","=""3""","=""""","=""12.863826""","=""""","=""""","=""0.05981""","=""  99     or  :    69                        1F*        ""","="""""
"=""4f.(2F*<5/2>).6p<1/2>""","=""(5/2,1/2)""","=""3""","=""""","=""16.967343""","=""""","=""""","=""4.10352""","=""  98     or  :    59                        3G         ""","="""""
"=""4f.(2F*<5/2>).6p<1/2>""","=""(5/2,1/2)""","=""2""","=""""","=""17.007537""","=""""","=""""","=""0.04019""","=""  94     or  :    69                        3F         ""","="""""
"=""5d2""","=""3F?""","=""3""","=""""","=""""","=""""","=""""","=""""","=""                                                       ""","="""""
"=""5d2""","=""3F?""","=""2?""","=""""","=""17.32206""","=""""","=""""","=""""","=""                                                       ""","="""""
"=""5d2""","=""3F?""","=""4""","=""""","=""18.02268""","=""""","=""""","=""0.7006""","=""                                                       ""","="""""
"=""4f.(2F*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""3""","=""""","=""17.342328""","=""""","=""""","=""-0.68035""","=""  93     or  :    53                        3F         ""","="""""
"=""4f.(2F*<7/2>).6p<1/2>""","=""(7/2,1/2)""","=""4""","=""""","=""17.385798""","=""""","=""""","=""0.04347""","=""  96     or  :    41                        3G         ""","="""""
"=""4f.(2F*<5/2>).6p<3/2>""","=""(5/2,3/2)""","=""3""","=""""","=""17.513265""","=""""","=""""","=""0.12747""","=""  94     or  :    39                        3G         ""","="""""
