Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d9""","=""2D""","=""5/2""","=""""","=""0.0000000""","=""""","=""0.0000000""","=""""","=""  91                                                          ""","=""L10146"""
"=""5d9""","=""2D""","=""3/2""","=""""","=""1.0439271""","=""""","=""0.0000005""","=""1.0439271""","=""  63                                                          ""","=""L10146"""
"=""5d9""","=""2D""","=""3/2""","=""""","=""1.9578728""","=""""","=""0.0000006""","=""0.9139457""","=""  32                                                          ""","=""L10146"""
"=""5d8.6s""","=""4F""","=""9/2""","=""""","=""0.5934693""","=""""","=""0.0000007""","=""-1.3644035""","=""  97                                                          ""","=""L10146"""
"=""5d8.6s""","=""4F""","=""7/2""","=""""","=""1.1600354""","=""""","=""0.0000006""","=""0.5665661""","=""  68                                                          ""","=""L10146"""
"=""5d8.6s""","=""4F""","=""5/2""","=""""","=""2.0855300""","=""""","=""0.0000007""","=""0.9254946""","=""  60                                                          ""","=""L10146"""
"=""5d8.6s""","=""4F""","=""3/2""","=""""","=""2.6245879""","=""""","=""0.0000009""","=""0.539058""","=""  40                                                          ""","=""L10146"""
"=""5d8.6s""","=""4P""","=""5/2""","=""""","=""1.6526197""","=""""","=""0.0000006""","=""-0.971968""","=""  36                                                          ""","=""L10146"""
"=""5d8.6s""","=""4P""","=""1/2""","=""""","=""2.6926027""","=""""","=""0.0000010""","=""1.039983""","=""  87                                                          ""","=""L10146"""
"=""5d8.6s""","=""4P""","=""3/2""","=""""","=""2.9601934""","=""""","=""0.0000009""","=""0.267591""","=""  56                                                          ""","=""L10146"""
"=""5d8.6s""","=""2F""","=""7/2""","=""""","=""2.2438368""","=""""","=""0.0000007""","=""-0.716357""","=""  64                                                          ""","=""L10146"""
"=""5d8.6s""","=""2F""","=""5/2""","=""""","=""2.9088612""","=""""","=""0.0000007""","=""0.6650244""","=""  48                                                          ""","=""L10146"""
"=""5d7.6s2""","=""4F""","=""9/2""","=""""","=""3.0846676""","=""""","=""0.0000007""","=""0.1758064""","=""  68                                                          ""","=""L10146"""
"=""5d7.6s2""","=""4F""","=""7/2""","=""""","=""4.2957135""","=""""","=""0.0000011""","=""1.211046""","=""  95                                                          ""","=""L10146"""
"=""5d7.6s2""","=""4F""","=""5/2""","=""""","=""4.5234481""","=""""","=""0.0000009""","=""0.227735""","=""  56                                                          ""","=""L10146"""
"=""5d7.6s2""","=""4F""","=""3/2""","=""""","=""4.6962555""","=""""","=""0.0000009""","=""0.172807""","=""  44                                                          ""","=""L10146"""
"=""5d8.6s""","=""2P""","=""1/2""","=""""","=""3.3792786""","=""""","=""0.0000009""","=""-1.316977""","=""  78                                                          ""","=""L10146"""
"=""5d8.6s""","=""2G""","=""7/2""","=""""","=""3.5993269""","=""""","=""0.0000007""","=""0.220048""","=""  88                                                          ""","=""L10146"""
"=""5d8.6s""","=""2G""","=""9/2""","=""""","=""3.6280268""","=""""","=""0.0000007""","=""0.0286999""","=""  79                                                          ""","=""L10146"""
"=""5d8.6s""","=""2D""","=""3/2""","=""""","=""3.9968848""","=""""","=""0.0000007""","=""0.3688580""","=""  53                                                          ""","=""L10146"""
"=""5d8.6s""","=""2D""","=""5/2""","=""""","=""4.0813869""","=""""","=""0.0000009""","=""0.084502""","=""  36                                                          ""","=""L10146"""
"=""5d7.6s2""","=""4P""","=""5/2""","=""""","=""5.1371760""","=""""","=""0.0000014""","=""1.055789""","=""  76                                                          ""","=""L11531"""
"=""5d7.6s2""","=""4P""","=""3/2""","=""""","=""5.2112904""","=""""","=""0.0000019""","=""0.074114""","=""  50                                                          ""","=""L11531"""
"=""5d7.6s2""","=""4P""","=""1/2""","=""""","=""5.7090336""","=""""","=""0.0000025""","=""0.497743""","=""  77                                                          ""","=""L11531"""
"=""5d7.6s2""","=""4P""","=""3/2""","=""""","=""6.6641075""","=""""","=""0.0000022""","=""0.955074""","=""  50                                                          ""","=""L11531"""
"=""5d7.6s2""","=""2G""","=""9/2""","=""""","=""5.4227503""","=""""","=""0.0000020""","=""-1.241357""","=""  53                                                          ""","=""L11531"""
"=""5d7.6s2""","=""2G""","=""7/2""","=""""","=""6.2692177""","=""""","=""0.0000020""","=""0.846467""","=""  80                                                          ""","=""L11531"""
"=""5d7.6s2""","=""2H""","=""11/2""","=""""","=""6.0245297""","=""""","=""0.0000022""","=""-0.244688""","="" 100                                                          ""","=""L11531"""
"=""5d7.6s2""","=""2H""","=""9/2""","=""""","=""7.251995""","=""""","=""0.000003""","=""1.227465""","=""  68                                                          ""","=""L11531"""
"=""5d8.(3F).6p""","=""(4,1/2)*""","=""7/2""","=""""","=""6.3738309""","=""""","=""0.0000007""","=""-0.878164""","=""                        or  :    64                      4D*  ""","=""L10146,L9479"""
"=""5d8.(3F).6p""","=""(4,1/2)*""","=""9/2""","=""""","=""6.6797160""","=""""","=""0.0000007""","=""0.3058851""","=""                        or  :    37                      2G*  ""","=""L10146,L9479"""
"=""5d8.6s""","=""2S""","=""1/2""","=""""","=""6.646803""","=""""","=""0.000005""","=""-0.032913""","=""  77                                                          ""","=""L9479,L11531"""
"=""5d7.6s2""","=""2D3""","=""3/2""","=""""","=""""","=""""","=""""","=""""","=""  51                                                          ""","=""L11531"""
"=""5d7.6s2""","=""2D3""","=""5/2""","=""""","=""6.7414572""","=""""","=""0.0000022""","=""""","=""  54                                                          ""","=""L11531"""
"=""5d8.(3P).6p""","=""(2,1/2)*""","=""3/2""","=""""","=""7.0160150""","=""""","=""0.0000005""","=""0.274558""","=""                                                              ""","=""L10146,L9479"""
