Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d7""","=""4F""","=""9/2""","=""""","=""0.000000""","=""""","=""0.000016""","=""""","=""  83                         :    16  5d7          2G   ""","=""L19453,L8672"""
"=""5d7""","=""4F""","=""7/2""","=""""","=""1.186179""","=""""","=""0.000015""","=""1.18618""","=""  95                                                    ""","=""L19453"""
"=""5d7""","=""4F""","=""5/2""","=""""","=""1.295991""","=""""","=""0.000015""","=""0.10981""","=""  51                         :    17  5d7          4P   ""","=""L19453"""
"=""5d7""","=""4F""","=""3/2""","=""""","=""1.926626""","=""""","=""0.000017""","=""0.63064""","=""  49                         :    32  5d7          4P   ""","=""L19453"""
"=""5d7""","=""2P""","=""3/2""","=""""","=""1.142504""","=""""","=""0.000016""","=""-0.78412""","=""  38                         :    21  5d7          4P   ""","=""L19453"""
"=""5d7""","=""2P""","=""1/2""","=""""","=""4.08564""","=""""","=""0.00003""","=""2.94314""","=""  70                         :    28  5d7          4P   ""","=""L19453"""
"=""5d7""","=""4P""","=""5/2""","=""""","=""2.004744""","=""""","=""0.000014""","=""-2.08090""","=""  71                         :    25  5d7          4F   ""","=""L19453"""
"=""5d7""","=""4P""","=""1/2""","=""""","=""2.433184""","=""""","=""0.000022""","=""0.42844""","=""  69                         :    29  5d7          2P   ""","=""L19453"""
"=""5d7""","=""4P""","=""3/2""","=""""","=""3.455464""","=""""","=""0.000016""","=""1.02228""","=""  36                         :    24  5d7          4F   ""","=""L19453"""
"=""5d7""","=""2G""","=""9/2""","=""""","=""2.276527""","=""""","=""0.000016""","=""-1.17894""","=""  57                         :    28  5d7          2H   ""","=""L19453"""
"=""5d7""","=""2G""","=""7/2""","=""""","=""3.074900""","=""""","=""0.000015""","=""0.79837""","=""  80                         :    16  5d7          2F   ""","=""L19453"""
"=""5d7""","=""2H""","=""11/2""","=""""","=""3.029859""","=""""","=""0.000017""","=""-0.04504""","=""  99                                                    ""","=""L19453"""
"=""5d7""","=""2H""","=""9/2""","=""""","=""4.284409""","=""""","=""0.000019""","=""1.25455""","=""  71                         :    27  5d7          2G   ""","=""L19453"""
"=""5d7""","=""2D2""","=""5/2""","=""""","=""3.565202""","=""""","=""0.000016""","=""-0.71921""","=""  58                         :    21  5d7          4F   ""","=""L19453"""
"=""5d7""","=""2D2""","=""3/2""","=""""","=""4.847321""","=""""","=""0.000024""","=""1.28212""","=""  51                         :    29  5d7          2P   ""","=""L19453"""
"=""5d7""","=""2F""","=""5/2""","=""""","=""3.988401""","=""""","=""0.000016""","=""-0.85892""","=""  85                         :     6  5d7          2D2  ""","=""L19453"""
"=""5d7""","=""2F""","=""7/2""","=""""","=""4.835648""","=""""","=""0.000016""","=""0.84725""","=""  79                         :    15  5d7          2G   ""","=""L19453"""
"=""5d6.(5D).6s""","=""6D""","=""9/2""","=""""","=""5.590657""","=""""","=""0.000019""","=""0.75501""","=""  85                         :     8  5d6.(3F2).6s 4F   ""","=""L19453"""
"=""5d6.(5D).6s""","=""6D""","=""7/2""","=""""","=""6.317367""","=""""","=""0.000015""","=""0.72671""","=""  86                         :     5  5d6.(3F2).6s 4F   ""","=""L19453"""
"=""5d6.(5D).6s""","=""6D""","=""5/2""","=""""","=""6.474873""","=""""","=""0.000015""","=""0.15751""","=""  72                         :     9  5d6.(3P1).6s 4P   ""","=""L19453"""
"=""5d6.(5D).6s""","=""6D""","=""3/2""","=""""","=""6.795761""","=""""","=""0.000016""","=""0.32089""","=""  56                         :    28  5d7          2D1  ""","=""L19453"""
"=""5d6.(5D).6s""","=""6D""","=""1/2""","=""""","=""6.95197""","=""""","=""0.00003""","=""0.15621""","=""  82                         :    11  5d6.(3P1).6s 4P   ""","=""L19453"""
"=""5d7""","=""2D1""","=""3/2""","=""""","=""6.745611""","=""""","=""0.000017""","=""-0.20636""","=""  59                         :    22  5d6.(5D).6s  6D   ""","=""L19453"""
"=""5d7""","=""2D1""","=""5/2""","=""""","=""7.016096""","=""""","=""0.000025""","=""0.27048""","=""  67                         :    17  5d7          2D2  ""","=""L19453"""
"=""5d6.(5D).6s""","=""4D""","=""7/2""","=""""","=""7.557508""","=""""","=""0.000014""","=""0.54141""","=""  51                         :     9  5d6.(3F2).6s 2F   ""","=""L19453"""
"=""5d6.(5D).6s""","=""4D""","=""5/2""","=""""","=""8.080880""","=""""","=""0.000015""","=""0.52337""","=""  41                         :    17  5d6.(3P2).6s 4P   ""","=""L19453"""
"=""5d6.(5D).6s""","=""4D""","=""3/2""","=""""","=""8.335924""","=""""","=""0.000016""","=""0.25504""","=""  41                         :    13  5d6.(3P2).6s 2P   ""","=""L19453"""
"=""5d6.(5D).6s""","=""4D""","=""1/2""","=""""","=""8.756095""","=""""","=""0.000019""","=""0.42017""","=""  61                         :    12  5d6.(3P1).6s 2P   ""","=""L19453"""
"=""5d6.6s""","=""65172""","=""9/2""","=""""","=""8.080351""","=""""","=""0.000014""","=""-0.67574""","=""  29  5d6.(3G).6s 4G         :    21  5d6.(3H).6s  4H   ""","=""L19453"""
"=""5d6.(3H).6s""","=""4H""","=""7/2""","=""""","=""8.455272""","=""""","=""0.000014""","=""0.37492""","=""  33                         :    30  5d6.(5D).6s  4D   ""","=""L19453"""
"=""5d6.(3H).6s""","=""4H""","=""11/2""","=""""","=""8.488288""","=""""","=""0.000015""","=""0.03302""","=""  52                         :    46  5d6.(3G).6s  4G   ""","=""L19453"""
"=""5d6.(3H).6s""","=""4H""","=""13/2""","=""""","=""8.582619""","=""""","=""0.000017""","=""0.09433""","=""  87                         :    13  5d6.(1I).6s  2I   ""","=""L19453"""
"=""5d6.(3H).6s""","=""4H""","=""9/2""","=""""","=""9.145451""","=""""","=""0.000012""","=""0.56283""","=""  42                         :    18  5d6.(3G).6s  2G   ""","=""L19453"""
"=""5d6.6s""","=""72279""","=""5/2""","=""""","=""8.961466""","=""""","=""0.000014""","=""-0.18398""","=""  29  5d6.(3F2).6s 4F        :    14  5d6.(5D).6s  4D   ""","=""L19453"""
"=""5d6.6s""","=""74847""","=""5/2""","=""""","=""9.279938""","=""""","=""0.000014""","=""0.31847""","=""  33  5d6.(5D).6s 4D         :    19  5d6.(3G).6s  4G   ""","=""L19453"""
"=""5d6.(3F2).6s""","=""4F""","=""7/2""","=""""","=""9.287431""","=""""","=""0.000014""","=""0.00749""","=""  27                         :    17  5d6.(3H).6s  4H   ""","=""L19453"""
"=""5d6.(3F2).6s""","=""4F""","=""3/2""","=""""","=""9.297798""","=""""","=""0.000015""","=""0.01037""","=""  65                         :    14  5d6.(5D).6s  4D   ""","=""L19453"""
"=""5d6.6s""","=""75407""","=""11/2""","=""""","=""9.349393""","=""""","=""0.000014""","=""0.05159""","=""  32  5d6.(3H).6s 2H         :    28  5d6.(3G).6s  4G   ""","=""L19453"""
"=""5d6.6s""","=""76309""","=""3/2""","=""""","=""9.461214""","=""""","=""0.000015""","=""0.11182""","=""  34  5d6.(3D).6s 4D         :    20  5d6.(3P2).6s 4P   ""","=""L19453"""
"=""5d6.6s""","=""78224""","=""5/2""","=""""","=""9.698554""","=""""","=""0.000014""","=""0.23734""","=""  21  5d6.(3G).6s 4G         :    19  5d6.(3F2).6s 2F   ""","=""L19453"""
"=""5d6.(3D).6s""","=""4D""","=""1/2""","=""""","=""9.846084""","=""""","=""0.000020""","=""0.14753""","=""  51                         :    16  5d6.(1S2).6s 2S   ""","=""L19453"""
"=""5d6.(3D).6s""","=""4D""","=""7/2""","=""""","=""10.067559""","=""""","=""0.000000""","=""0.221475""","=""  50                         :    18  5d6.(3H).6s  4H   ""","=""L19453"""
"=""5d6.(3D).6s""","=""4D""","=""5/2""","=""""","=""10.083262""","=""""","=""0.000017""","=""0.01570""","=""  52                         :    17  5d6.(3G).6s  4G   ""","=""L19453"""
"=""5d6.(3D).6s""","=""4D""","=""3/2""","=""""","=""10.299008""","=""""","=""0.000019""","=""0.21575""","=""  43                         :    17  5d6.(3P1).6s 4P   ""","=""L19453"""
"=""5d6.(3G).6s""","=""4G""","=""9/2""","=""""","=""9.917877""","=""""","=""0.000014""","=""-0.38113""","=""  48                         :    25  5d6.(3H).6s  4H   ""","=""L19453"""
"=""5d6.6s""","=""81998""","=""1/2""","=""""","=""10.166529""","=""""","=""0.000020""","=""0.24865""","=""  26  5d6.(3D).6s 4D         :    25  5d6.(1S2).6s 2S   ""","=""L19453"""
"=""5d6.6s""","=""82109""","=""7/2""","=""""","=""10.180263""","=""""","=""0.000012""","=""0.01373""","=""  39  5d6.(3F2).6s 4F        :    38  5d6.(3G).6s  4G   ""","=""L19453"""
"=""5d6.6s""","=""82725""","=""9/2""","=""""","=""10.256601""","=""""","=""0.000014""","=""0.07634""","=""  35  5d6.(3F2).6s 4F        :    32  5d6.(3H).6s  2H   ""","=""L19453"""
"=""5d6.6s""","=""83222""","=""11/2""","=""""","=""10.318214""","=""""","=""0.000014""","=""0.06161""","=""  31  5d6.(3H).6s 2H         :    26  5d6.(3H).6s  4H   ""","=""L19453"""
"=""5d6.(3F2).6s""","=""2F""","=""7/2""","=""""","=""10.508018""","=""""","=""0.000012""","=""0.18980""","=""  23                         :    17  5d6.(3D).6s  4D   ""","=""L19453"""
"=""5d6.(3F2).6s""","=""2F""","=""5/2""","=""""","=""10.906369""","=""""","=""0.000015""","=""0.39835""","=""  42                         :    18  5d6.(3G).6s  4G   ""","=""L19453"""
"=""5d6.6s""","=""86573""","=""3/2""","=""""","=""10.733741""","=""""","=""0.000016""","=""-0.17263""","=""  36  5d6.(3D).6s 2D         :    31  5d6.(3P2).6s 4P   ""","=""L19453"""
"=""5d6.(3P2).6s""","=""4P""","=""1/2""","=""""","=""10.84474""","=""""","=""0.00004""","=""0.11100""","=""  65                         :    17  5d6.(3P1).6s 4P   ""","=""L19453"""
"=""5d6.(1I).6s""","=""2I""","=""13/2""","=""""","=""10.939556""","=""""","=""0.000016""","=""0.09482""","=""  87                         :    13  5d6.(3H).6s  4H   ""","=""L19453"""
"=""5d6.(1I).6s""","=""2I""","=""11/2""","=""""","=""11.241459""","=""""","=""0.000015""","=""0.30190""","=""  62                         :    36  5d6.(3H).6s  2H   ""","=""L19453"""
"=""5d6.(3G).6s""","=""2G""","=""9/2""","=""""","=""11.072042""","=""""","=""0.000014""","=""-0.16942""","=""  54                         :    21  5d6.(3H).6s  2H   ""","=""L19453"""
"=""5d6.(3G).6s""","=""2G""","=""7/2""","=""""","=""11.355824""","=""""","=""0.000016""","=""0.28378""","=""  42                         :    14  5d6.(1F).6s  2F   ""","=""L19453"""
"=""5d6.(1F).6s""","=""2F""","=""7/2""","=""""","=""11.159684""","=""""","=""0.000016""","=""-0.19614""","=""  47                         :    17  5d6.(3G).6s  2G   ""","=""L19453"""
"=""5d6.(1F).6s""","=""2F""","=""5/2""","=""""","=""11.384447""","=""""","=""0.000017""","=""0.22476""","=""  55                         :    29  5d6.(3F1).6s 4F   ""","=""L19453"""
"=""5d6.(3D).6s""","=""2D""","=""5/2""","=""""","=""11.198751""","=""""","=""0.000016""","=""-0.18570""","=""  69                         :     6  5d6.(1F).6s  2F   ""","=""L19453"""
"=""5d6.6s""","=""93535""","=""3/2""","=""""","=""11.596951""","=""""","=""0.000019""","=""0.39820""","=""  33  5d6.(3D).6s 2D         :    26  5d6.(3P2).6s 4P   ""","=""L19453"""
"=""5d6.(1G2).6s""","=""2G""","=""9/2""","=""""","=""11.754158""","=""""","=""0.000016""","=""0.15721""","=""  55                         :    18  5d6.(3H).6s  2H   ""","=""L19453"""
"=""5d6.(1G2).6s""","=""2G""","=""7/2""","=""""","=""11.975015""","=""""","=""0.000016""","=""0.22086""","=""  51                         :    36  5d6.(3F2).6s 2F   ""","=""L19453"""
"=""5d6.(3P2).6s""","=""2P""","=""1/2""","=""""","=""11.87092""","=""""","=""0.00003""","=""-0.10410""","=""  56                         :    16  5d6.(3P1).6s 4P   ""","=""L19453"""
"=""5d6.6s""","=""96904""","=""5/2""","=""""","=""12.01461""","=""""","=""0.00003""","=""0.14369""","=""  34  5d6.(1D2).6s 2D        :    21  5d6.(3F2).6s 2F   ""","=""L19453"""
"=""5d6.6s""","=""96955""","=""3/2""","=""""","=""12.020956""","=""""","=""0.000024""","=""0.00635""","=""  33  5d6.(3P1).6s 4P        :    30  5d6.(1D2).6s 2D   ""","=""L19453"""
"=""5d6.6s""","=""98415""","=""3/2""","=""""","=""12.20195""","=""""","=""0.00004""","=""0.18099""","=""  37  5d6.(3P1).6s 4P        :    27  5d6.(1D2).6s 2D   ""","=""L19453"""
