Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""7s""","=""2S""","=""1/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""L19486"""
"=""6d""","=""2D""","=""3/2""","=""""","=""1.49825879""","=""""","=""0.00000012""","=""1.49825879""","=""L19486"""
"=""6d""","=""2D""","=""5/2""","=""""","=""1.703914""","=""""","=""0.000004""","=""0.205655""","=""L19486"""
"=""7p""","=""2P*""","=""1/2""","=""""","=""2.64722703""","=""""","=""0.00000010""","=""0.943313""","=""L19486"""
"=""7p""","=""2P*""","=""3/2""","=""""","=""3.2494837""","=""""","=""0.0000003""","=""0.6022567""","=""L19486"""
"=""8s""","=""2S""","=""1/2""","=""""","=""5.381540""","=""""","=""0.000006""","=""2.132056""","=""L19486"""
"=""7d""","=""2D""","=""3/2""","=""""","=""6.043491""","=""""","=""0.000012""","=""0.66195""","=""L19486"""
"=""7d""","=""2D""","=""5/2""","=""""","=""6.10504""","=""""","=""0.00005""","=""0.06155""","=""L19486"""
"=""5f""","=""2F*""","=""5/2""","=""""","=""6.073721""","=""""","=""0.000019""","=""-0.03132""","=""L19486"""
"=""5f""","=""2F*""","=""7/2""","=""""","=""6.108967""","=""""","=""0.000020""","=""0.03525""","=""L19486"""
"=""8p""","=""2P*""","=""1/2""","=""""","=""6.27438""","=""""","=""0.00003""","=""0.16541""","=""L19486"""
"=""8p""","=""2P*""","=""3/2""","=""""","=""6.495783""","=""""","=""0.000024""","=""0.22140""","=""L19486"""
"=""9s""","=""2S""","=""1/2""","=""""","=""7.33556""","=""""","=""0.00004""","=""0.83978""","=""L19486"""
"=""6f""","=""2F*""","=""5/2""","=""""","=""7.3792""","=""""","=""0.0006""","=""0.0436""","=""L19486"""
"=""6f""","=""2F*""","=""7/2""","=""""","=""7.4160""","=""""","=""0.0005""","=""0.0368""","=""L19486"""
"=""8d""","=""2D""","=""3/2""","=""""","=""7.65416""","=""""","=""0.00006""","=""0.2382""","=""L19486"""
"=""8d""","=""2D""","=""5/2""","=""""","=""7.68377""","=""""","=""0.00011""","=""0.0296""","=""L19486"""
"=""9p""","=""2P*""","=""3/2""","=""""","=""7.86189""","=""""","=""0.00003""","=""0.1781""","=""L19486"""
"=""5g""","=""2G""","=""7/2,9/2""","=""""","=""7.953647""","=""""","=""0.000019""","=""0.09176""","=""L19486"""
"=""7f""","=""2F*""","=""5/2""","=""""","=""8.24766""","=""""","=""0.00003""","=""0.29401""","=""L19486"""
"=""7f""","=""2F*""","=""7/2""","=""""","=""8.26865""","=""""","=""0.00005""","=""0.02099""","=""L19486"""
"=""10s""","=""2S""","=""1/2""","=""""","=""8.28695""","=""""","=""0.00003""","=""0.01830""","=""L19486"""
"=""9d""","=""2D""","=""3/2""","=""""","=""8.46367""","=""""","=""0.00003""","=""0.17672""","=""L19486"""
"=""9d""","=""2D""","=""5/2""","=""""","=""8.47988""","=""""","=""0.00003""","=""0.01621""","=""L19486"""
"=""6g""","=""2G""","=""7/2,9/2""","=""""","=""8.62443""","=""""","=""0.00003""","=""0.14455""","=""L19486"""
"=""11s""","=""2S""","=""1/2""","=""""","=""8.82431""","=""""","=""0.00004""","=""0.19988""","=""L19486"""
"=""10d""","=""2D""","=""3/2""","=""""","=""8.93223""","=""""","=""0.00004""","=""0.10792""","=""L19486"""
"=""10d""","=""2D""","=""5/2""","=""""","=""8.94220""","=""""","=""0.00004""","=""0.00997""","=""L19486"""
"=""7g""","=""2G""","=""7/2,9/2""","=""""","=""9.029051""","=""""","=""0.000025""","=""0.08685""","=""L19486"""
"=""11d""","=""2D""","=""3/2""","=""""","=""9.22868""","=""""","=""0.00004""","=""0.19963""","=""L19486"""
"=""11d""","=""2D""","=""5/2""","=""""","=""9.2355""","=""""","=""0.0006""","=""0.0068""","=""L19486"""
"=""8g""","=""2G""","=""7/2,9/2""","=""""","=""9.29159""","=""""","=""0.00003""","=""0.0561""","=""L19486"""
"=""12d""","=""2D""","=""5/2""","=""""","=""9.43280""","=""""","=""0.00004""","=""0.14121""","=""L19486"""
"=""9g""","=""2G""","=""7/2,9/2""","=""""","=""9.47151""","=""""","=""0.00003""","=""0.03871""","=""L19486"""
"=""10g""","=""2G""","=""7/2,9/2""","=""""","=""9.60025""","=""""","=""0.00015""","=""0.1287""","=""L19486"""
"=""11g""","=""2G""","=""7/2,9/2""","=""""","=""9.69496""","=""""","=""0.00025""","=""0.0947""","=""L19486"""
"=""Ra III (6p6 1S<0>)""","=""Limit""","=""---""","=""""","=""10.14718""","=""""","=""0.00006""","=""""","=""L19486"""
