Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4p6""","=""1S""","=""0""","=""""","=""0.000000""","=""""","=""0.000014""","=""""","=""""","=""                                  ""","=""L9039"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""""","=""16.5322523""","=""""","=""0.0000020""","=""16.532252""","=""1.500""","=""  96                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""""","=""16.7217180""","=""""","=""0.0000020""","=""0.189466""","=""1.284""","=""  91                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""""","=""17.2083100""","=""""","=""0.0000019""","=""0.486592""","=""""","=""  52                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""""","=""17.4334240""","=""""","=""0.0000012""","=""0.225114""","=""1.292""","=""  49                              ""","=""L9039"""
"=""4p5.4d""","=""3P*""","=""0""","=""""","=""17.7325096""","=""""","=""0.0000012""","=""0.299086""","=""""","=""  52         :    48  4p5.5s 3P   ""","=""L9039"""
"=""4p5.4d""","=""3P*""","=""1""","=""""","=""17.7870182""","=""""","=""0.0000020""","=""0.054509""","=""1.406""","=""  52         :    31  4p5.5s 3P   ""","=""L9039"""
"=""4p5.4d""","=""3P*""","=""2""","=""""","=""17.8482533""","=""""","=""0.0000012""","=""0.061235""","=""1.466""","=""  89         :     5  4p5.4d 3D   ""","=""L9039"""
"=""4p5.4d""","=""3F*""","=""4""","=""""","=""18.0119430""","=""""","=""0.0000012""","=""0.163690""","=""""","="" 100                              ""","=""L9039"""
"=""4p5.4d""","=""3F*""","=""3""","=""""","=""18.2049213""","=""""","=""0.0000011""","=""0.192978""","=""1.08""","=""  86         :     9  4p5.4d 1F   ""","=""L9039"""
"=""4p5.4d""","=""3F*""","=""2""","=""""","=""18.4348031""","=""""","=""0.0000017""","=""0.229882""","=""0.77""","=""  75         :    15  4p5.4d 1D   ""","=""L9039"""
"=""4p5.4d""","=""3D*""","=""3""","=""""","=""18.830352""","=""""","=""0.000004""","=""0.395549""","=""1.18""","=""  56         :    44  4p5.4d 1F   ""","=""L9039"""
"=""4p5.4d""","=""3D*""","=""1""","=""""","=""19.2558396""","=""""","=""0.0000015""","=""0.425488""","=""0.55""","=""  94         :     4  4p5.4d 1P   ""","=""L9039"""
"=""4p5.4d""","=""3D*""","=""2""","=""""","=""19.4111657""","=""""","=""0.0000025""","=""0.155326""","=""1.15""","=""  56         :    36  4p5.4d 1D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""""","=""19.1275357""","=""""","=""0.0000011""","=""-0.283630""","=""1.924""","=""  93                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""""","=""19.9862740""","=""""","=""0.0000017""","=""0.858738""","=""""","=""  90                              ""","=""L9039"""
"=""4p5.4d""","=""1D*""","=""2""","=""""","=""19.225427""","=""""","=""0.000004""","=""-0.760847""","=""0.92""","=""  46         :    29  4p5.4d 3D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""""","=""19.4329127""","=""""","=""0.0000012""","=""0.207486""","=""1.123""","=""  90                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""""","=""19.4525611""","=""""","=""0.0000010""","=""0.019648""","=""1.336""","="" 100                              ""","=""L9039"""
"=""4p5.4d""","=""1F*""","=""3""","=""""","=""19.482490""","=""""","=""0.000004""","=""0.029929""","=""1.14""","=""  47         :    39  4p5.4d 3D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""""","=""19.6083075""","=""""","=""0.0000009""","=""0.125818""","=""0.981""","=""  97                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""""","=""19.6777620""","=""""","=""0.0000009""","=""0.069455""","=""1.360""","=""  90                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""""","=""20.3240539""","=""""","=""0.0000025""","=""0.646292""","=""0.687""","=""  95                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""""","=""20.4534261""","=""""","=""0.0000015""","=""0.129372""","=""1.191""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""""","=""20.4684992""","=""""","=""0.0000014""","=""0.015073""","=""1.431""","=""  91                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""","=""""","=""20.7837732""","=""""","=""0.0000012""","=""0.315274""","=""""","=""  90                              ""","=""L9039"""
"=""4p5.4d""","=""1P*""","=""1""","=""""","=""21.0349776""","=""""","=""0.0000011""","=""0.251204""","=""1.00""","=""  96         :     4  4p5.4d 3D   ""","=""L9039"""
"=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""""","=""22.2843152""","=""""","=""0.0000020""","=""1.249338""","=""1.497""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""""","=""22.3380312""","=""""","=""0.0000014""","=""0.053716""","=""1.195""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""""","=""22.7805578""","=""""","=""0.0000025""","=""0.442527""","=""""","=""  98                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""""","=""22.8379543""","=""""","=""0.0000016""","=""0.057396""","=""1.381""","=""  63                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""""","=""22.8949704""","=""""","=""0.0000025""","=""0.057016""","=""1.2""","="" 100                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""""","=""22.9527952""","=""""","=""0.0000015""","=""0.057825""","=""1.081""","=""  79                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""","=""""","=""22.9168545""","=""""","=""0.0000014""","=""-0.035941""","=""1.355""","=""  97                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""","=""""","=""23.3856146""","=""""","=""0.0000011""","=""0.468760""","=""0.723""","=""  55                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""","=""""","=""23.0136877""","=""""","=""0.0000014""","=""-0.371927""","=""0.959""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""""","=""23.0618234""","=""""","=""0.0000014""","=""0.048136""","=""1.211""","=""  79                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""""","=""23.1824330""","=""""","=""0.0000007""","=""0.120610""","=""""","=""  97                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""""","=""23.4783822""","=""""","=""0.0000014""","=""0.295949""","=""""","=""  99                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""""","=""23.2024066""","=""""","=""0.0000025""","=""-0.275976""","=""""","=""  98                              ""","=""L9039"""
"=""4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""""","=""23.226669""","=""""","=""0.000004""","=""0.024262""","=""1.321""","=""  96                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""","=""""","=""23.2607628""","=""""","=""0.0000006""","=""0.034094""","=""""","=""  88                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""""","=""23.2682716""","=""""","=""0.0000006""","=""0.0075088""","=""1.34""","="" 100                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""""","=""23.3208440""","=""""","=""0.0000009""","=""0.052572""","=""1.03""","=""  98                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""""","=""23.3441025""","=""""","=""0.0000006""","=""0.023259""","=""""","=""  89                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""""","=""23.7703433""","=""""","=""0.0000012""","=""0.426241""","=""0.50""","="" 100                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""""","=""23.7778127""","=""""","=""0.0000009""","=""0.007469""","=""1.12""","=""  98                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""""","=""23.793427""","=""""","=""0.000014""","=""0.01561""","=""""","="" 100                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""""","=""23.7954084""","=""""","=""0.0000022""","=""0.001981""","=""1.04""","="" 100                              ""","=""L9039"""
"=""4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""""","=""23.8187497""","=""""","=""0.0000009""","=""0.023341""","=""1.20""","="" 100                              ""","=""L9039"""
