Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p5""","=""2P*""","=""3/2""","=""""","=""0.00000""","=""""","=""0.00000""","=""""","=""                                           ""","=""L9039"""
"=""4s2.4p5""","=""2P*""","=""1/2""","=""""","=""0.91432""","=""""","=""0.00009""","=""0.91432""","=""                                           ""","="""""
"=""4s.4p6""","=""2S""","=""1/2""","=""""","=""16.12194""","=""""","=""0.00009""","=""15.2076""","=""  65         :    35  4s2.4p4.(1D).4d 2S   ""","="""""
"=""4s2.4p4.(3P).4d""","=""4D""","=""7/2""","=""""","=""19.182993""","=""""","=""0.000012""","=""3.06105""","=""  95                                       ""","="""""
"=""4s2.4p4.(3P).4d""","=""4D""","=""5/2""","=""""","=""19.202334""","=""""","=""0.000012""","=""0.01934""","=""  93                                       ""","="""""
"=""4s2.4p4.(3P).4d""","=""4D""","=""3/2""","=""""","=""19.287508""","=""""","=""0.000012""","=""0.08517""","=""  92                                       ""","="""""
"=""4s2.4p4.(3P).4d""","=""4D""","=""1/2""","=""""","=""19.390318""","=""""","=""0.000012""","=""0.10281""","=""  93                                       ""","="""""
"=""4s2.4p4.(3P).4d""","=""4F""","=""9/2""","=""""","=""20.199342""","=""""","=""0.000012""","=""0.80902""","=""  94         :     6  4s2.4p4.(1D).4d 2G   ""","="""""
"=""4s2.4p4.(3P).4d""","=""4F""","=""7/2""","=""""","=""20.524528""","=""""","=""0.000012""","=""0.32519""","=""  84         :     8  4s2.4p4.(3P).4d 2F   ""","="""""
"=""4s2.4p4.(3P).4d""","=""4F""","=""5/2""","=""""","=""20.806996""","=""""","=""0.000012""","=""0.28247""","=""  95                                       ""","="""""
"=""4s2.4p4.(3P).4d""","=""4F""","=""3/2""","=""""","=""20.922422""","=""""","=""0.000012""","=""0.11543""","=""  84         :     7  4s2.4p4.(3P).4d 4P   ""","="""""
"=""4s2.4p4.(1D).4d""","=""2P""","=""1/2""","=""""","=""20.592312""","=""""","=""0.000012""","=""-0.33011""","=""  43         :    37  4s2.4p4.(3P).4d 2P   ""","="""""
"=""4s2.4p4.(1D).4d""","=""2P""","=""3/2""","=""""","=""21.330457""","=""""","=""0.000012""","=""0.73814""","=""  18         :    28  4s2.4p4.(3P).4d 4P   ""","="""""
"=""4s2.4p4.(3P<2>).5s""","=""(2,1/2)""","=""5/2""","=""""","=""20.716031""","=""""","=""0.000012""","=""-0.61443""","=""  79                                       ""","="""""
"=""4s2.4p4.(3P<2>).5s""","=""(2,1/2)""","=""3/2""","=""""","=""21.390466""","=""""","=""0.000012""","=""0.67443""","=""  52                                       ""","="""""
"=""4s2.4p4.(3P).4d""","=""4P""","=""3/2""","=""""","=""20.839924""","=""""","=""0.000012""","=""-0.55054""","=""  37         :    18  4s2.4p4.(3P).5s 4P   ""","="""""
"=""4s2.4p4.(3P).4d""","=""4P""","=""1/2""","=""""","=""20.885128""","=""""","=""0.000012""","=""0.04520""","=""  75         :    12  4s2.4p4.(3P).5s 4P   ""","="""""
"=""4s2.4p4.(3P).4d""","=""4P""","=""5/2""","=""""","=""21.500789""","=""""","=""0.000012""","=""0.61566""","=""  57         :    16  4s2.4p4.(3P).5s 4P   ""","="""""
"=""4s2.4p4.(1D).4d""","=""2D""","=""3/2""","=""""","=""21.129861""","=""""","=""0.000012""","=""-0.37093""","=""  36         :    26  4s2.4p4.(3P).4d 2D   ""","="""""
"=""4s2.4p4.(1D).4d""","=""2D""","=""5/2""","=""""","=""21.644558""","=""""","=""0.000012""","=""0.51470""","=""  33         :    23  4s2.4p4.(3P).4d 4P   ""","="""""
"=""4s2.4p4.(3P).4d""","=""2F""","=""7/2""","=""""","=""21.221049""","=""""","=""0.000012""","=""-0.42351""","=""  64         :    16  4s2.4p4.(1D).4d 2G   ""","="""""
"=""4s2.4p4.(3P).4d""","=""2F""","=""5/2""","=""""","=""21.952992""","=""""","=""0.000012""","=""0.73194""","=""  72         :    11  4s2.4p4.(1D).4d 2D   ""","="""""
"=""4s2.4p4.(3P<0>).5s""","=""(0,1/2)""","=""1/2""","=""""","=""21.751105""","=""""","=""0.000012""","=""-0.20189""","=""  47                                       ""","="""""
"=""4s2.4p4.(3P<1>).5s""","=""(1,1/2)""","=""3/2""","=""""","=""21.878006""","=""""","=""0.000012""","=""0.12690""","=""  66                                       ""","="""""
"=""4s2.4p4.(3P<1>).5s""","=""(1,1/2)""","=""1/2""","=""""","=""22.205064""","=""""","=""0.000012""","=""0.32706""","=""  58                                       ""","="""""
"=""4s2.4p4.(1D).4d""","=""2G""","=""9/2""","=""""","=""22.098941""","=""""","=""0.000012""","=""-0.10612""","=""  94         :     6  4s2.4p4.(3P).4d 4F   ""","="""""
"=""4s2.4p4.(1D).4d""","=""2G""","=""7/2""","=""""","=""22.109166""","=""""","=""0.000012""","=""0.01022""","=""  78         :    16  4s2.4p4.(3P).4d 2F   ""","="""""
"=""4s2.4p4.(1D<2>).5s""","=""(2,1/2)""","=""5/2""","=""""","=""23.137405""","=""""","=""0.000012""","=""1.02824""","=""  53                                       ""","="""""
"=""4s2.4p4.(1D<2>).5s""","=""(2,1/2)""","=""3/2""","=""""","=""23.205850""","=""""","=""0.000012""","=""0.06845""","=""  91                                       ""","="""""
"=""4s2.4p4.(1D).4d""","=""2F""","=""5/2""","=""""","=""23.233742""","=""""","=""0.000012""","=""0.02789""","=""  49         :    37  4s2.4p4.(1D).5s 2D   ""","="""""
"=""4s2.4p4.(1D).4d""","=""2F""","=""7/2""","=""""","=""23.369568""","=""""","=""0.000012""","=""0.13583""","=""  87         :    11  4s2.4p4.(3P).4d 2F   ""","="""""
"=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""""","=""24.562262""","=""""","=""0.000012""","=""1.19269""","=""  91                                       ""","="""""
"=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""""","=""25.374192""","=""""","=""0.000012""","=""0.81193""","=""  42                                       ""","="""""
"=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""3/2""","=""""","=""24.591005""","=""""","=""0.000012""","=""-0.78319""","=""  46                                       ""","="""""
"=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""1/2""","=""""","=""24.855304""","=""""","=""0.000012""","=""0.26430""","=""  61                                       ""","="""""
"=""4s2.4p4.(1S).4d""","=""2D""","=""3/2""","=""""","=""24.90547""","=""""","=""0.00012""","=""0.0502""","=""  53         :    25  4s2.4p4.(1D).4d 2D   ""","="""""
"=""4s2.4p4.(1S).4d""","=""2D""","=""5/2""","=""""","=""25.12465""","=""""","=""0.00012""","=""0.2192""","=""  52         :    29  4s2.4p4.(1D).4d 2D   ""","="""""
"=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""""","=""24.909027""","=""""","=""0.000012""","=""-0.2156""","=""  96                                       ""","="""""
"=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""""","=""24.939280""","=""""","=""0.000012""","=""0.03025""","=""  88                                       ""","="""""
"=""4s2.4p4.(1S<0>).5s""","=""(0,1/2)""","=""1/2""","=""""","=""25.30472""","=""""","=""0.00012""","=""0.3654""","=""  74                                       ""","="""""
