Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p4""","=""3P""","=""2""","=""""","=""0.000000""","=""""","=""0""","=""""","=""  95                                       ""","=""L9039"""
"=""4s2.4p4""","=""3P""","=""1""","=""""","=""0.776188""","=""""","=""""","=""0.776188""","="" 100                                       ""","="""""
"=""4s2.4p4""","=""3P""","=""0""","=""""","=""0.861415""","=""""","=""""","=""0.08523""","=""  94                                       ""","="""""
"=""4s2.4p4""","=""1D""","=""2""","=""""","=""2.152076""","=""""","=""""","=""1.29066""","=""  95                                       ""","="""""
"=""4s2.4p4""","=""1S""","=""0""","=""""","=""4.761436""","=""""","=""""","=""2.60936""","=""  94                                       ""","="""""
"=""4s.4p5""","=""3P*""","=""2""","=""""","=""16.735202""","=""""","=""""","=""11.97377""","=""  82         :    12  4s2.4p3.(2D).4d 3P*  ""","="""""
"=""4s.4p5""","=""3P*""","=""1""","=""""","=""17.310417""","=""""","=""""","=""0.57522""","=""  81         :    13  4s2.4p3.(2D).4d 3P*  ""","="""""
"=""4s.4p5""","=""3P*""","=""0""","=""""","=""17.681250""","=""""","=""""","=""0.37083""","=""  82         :    13  4s2.4p3.(2D).4d 3P*  ""","="""""
"=""4s.4p5""","=""1P*""","=""1""","=""""","=""20.831188""","=""""","=""""","=""3.14994""","=""  52         :    39  4s2.4p3.(2D).4d 1P*  ""","="""""
"=""4s2.4p3.(4S).4d""","=""5D*""","=""0""","=""""","=""21.173462""","=""""","=""""","=""0.34227""","=""  97                                       ""","="""""
"=""4s2.4p3.(4S).4d""","=""5D*""","=""1""","=""""","=""21.183357""","=""""","=""""","=""0.00990""","=""  97                                       ""","="""""
"=""4s2.4p3.(4S).4d""","=""5D*""","=""2""","=""""","=""21.187455""","=""""","=""""","=""0.00410""","=""  97                                       ""","="""""
"=""4s2.4p3.(4S).4d""","=""5D*""","=""3""","=""""","=""21.193550""","=""""","=""""","=""0.00609""","=""  95                                       ""","="""""
"=""4s2.4p3.(4S).4d""","=""5D*""","=""4""","=""""","=""21.231737""","=""""","=""""","=""0.03819""","=""  96                                       ""","="""""
"=""4s2.4p3.(4S).4d""","=""3D*""","=""2""","=""""","=""22.500759""","=""""","=""""","=""1.26902""","=""  36         :    32  4s2.4p3.(2D).4d 3D*  ""","="""""
"=""4s2.4p3.(4S).4d""","=""3D*""","=""3""","=""""","=""22.686040""","=""""","=""""","=""0.18528""","=""  41         :    41  4s2.4p3.(2D).4d 3D*  ""","="""""
"=""4s2.4p3.(4S).4d""","=""3D*""","=""1""","=""""","=""22.761211""","=""""","=""""","=""0.07517""","=""  50         :    44  4s2.4p3.(2D).4d 3D*  ""","="""""
"=""4s2.4p3.(2D).4d""","=""3F*""","=""2""","=""""","=""23.247591""","=""""","=""""","=""0.48638""","=""  63         :    14  4s2.4p3.(2P).4d 3F*  ""","="""""
"=""4s2.4p3.(2D).4d""","=""3F*""","=""3""","=""""","=""23.430764""","=""""","=""""","=""0.18317""","=""  71         :    14  4s2.4p3.(2P).4d 3F*  ""","="""""
"=""4s2.4p3.(2D).4d""","=""3F*""","=""4""","=""""","=""23.666374""","=""""","=""""","=""0.23561""","=""  75         :    13  4s2.4p3.(2P).4d 3F*  ""","="""""
