Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4s2.4p3""","=""4S*""","=""3/2""","=""""","=""0.00000""","=""""","=""0.00025""","=""""","=""  96         :     3  4s2.4p3         2P   ""","=""L9039"""
"=""4s2.4p3""","=""2D*""","=""3/2""","=""""","=""2.31095""","=""""","=""0.00025""","=""2.3110""","=""  87         :    12  4s2.4p3         2P   ""","="""""
"=""4s2.4p3""","=""2D*""","=""5/2""","=""""","=""2.61364""","=""""","=""0.00025""","=""0.3027""","="" 100                                       ""","="""""
"=""4s2.4p3""","=""2P*""","=""1/2""","=""""","=""4.31394""","=""""","=""0.00025""","=""1.7003""","="" 100                                       ""","="""""
"=""4s2.4p3""","=""2P*""","=""3/2""","=""""","=""4.75080""","=""""","=""0.00025""","=""0.4369""","=""  85         :    13  4s2.4p3         2D   ""","="""""
"=""4s.4p4""","=""4P""","=""5/2""","=""""","=""16.85263""","=""""","=""0.00025""","=""12.1018""","=""                                           ""","="""""
"=""4s.4p4""","=""4P""","=""3/2""","=""""","=""17.46461""","=""""","=""0.00025""","=""0.6120""","=""                                           ""","="""""
"=""4s.4p4""","=""4P""","=""1/2""","=""""","=""17.73101""","=""""","=""0.00025""","=""0.2664""","=""                                           ""","="""""
"=""4s.4p4""","=""2D""","=""3/2""","=""""","=""20.71315""","=""""","=""0.00025""","=""2.9821""","=""                                           ""","="""""
"=""4s.4p4""","=""2D""","=""5/2""","=""""","=""20.86317""","=""""","=""0.00025""","=""0.1500""","=""                                           ""","="""""
"=""4s.4p4""","=""2P""","=""3/2""","=""""","=""23.55672""","=""""","=""0.00025""","=""2.6935""","=""                                           ""","="""""
"=""4s.4p4""","=""2P""","=""1/2""","=""""","=""23.81951""","=""""","=""0.00025""","=""0.2628""","=""                                           ""","="""""
"=""4s.4p4""","=""2S""","=""1/2""","=""""","=""24.83727""","=""""","=""0.00025""","=""1.0178""","=""                                           ""","="""""
"=""4s2.4p2.5s""","=""4P""","=""3/2""","=""""","=""33.032""","=""""","=""""","=""8.195""","=""  94                                       ""","="""""
"=""4s2.4p2.5s""","=""4P""","=""5/2""","=""""","=""33.564""","=""""","=""""","=""0.53""","=""  73         :    14  4s2.4p2.(1D).4d 2D   ""","="""""
"=""4s2.4p2.5s""","=""2P""","=""1/2""","=""""","=""33.312""","=""""","=""""","=""-0.25""","=""  72         :     7  4s2.4p2.(1D).4d 2P   ""","="""""
"=""4s2.4p2.5s""","=""2P""","=""3/2""","=""""","=""33.698""","=""""","=""""","=""0.39""","=""  56         :    14  4s2.4p2.(1D).4d 2P   ""","="""""
"=""4s2.4p2.5s""","=""2D""","=""5/2""","=""""","=""35.450""","=""""","=""""","=""1.75""","=""  88         :     6  4s2.4p2.5s      4P   ""","="""""
"=""4s2.4p2.5s""","=""2D""","=""3/2""","=""""","=""35.557""","=""""","=""""","=""0.11""","=""  81         :    14  4s2.4p2.5s      2P   ""","="""""
"=""4s2.4p2.5s""","=""2S""","=""1/2""","=""""","=""38.112""","=""""","=""""","=""2.55""","=""  94                                       ""","="""""
"=""Rb VI (4p2 3P<0>)""","=""Limit""","=""---""","=""(""","=""68.44""","="")""","=""0.15""","=""""","=""                                           ""","=""L9039c99"""
