Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Reference
"=""5d5.(6S).6s""","=""a 7S""","=""3""","=""""","=""0.00000""","=""""","=""0""","=""""","=""2.05""","=""L3466"""
"=""5d4.6s2""","=""a 5D""","=""0""","=""""","=""1.70817""","=""""","=""""","=""1.70817""","=""0""","="""""
"=""5d4.6s2""","=""a 5D""","=""2""","=""""","=""1.77945""","=""""","=""""","=""0.0713""","=""1.53""","="""""
"=""5d4.6s2""","=""a 5D""","=""1""","=""""","=""1.83794""","=""""","=""""","=""0.0585""","=""1.50""","="""""
"=""5d4.6s2""","=""a 5D""","=""4""","=""""","=""1.84521""","=""""","=""""","=""0.0073""","=""1.48""","="""""
"=""5d4.6s2""","=""a 5D""","=""3""","=""""","=""1.85115""","=""""","=""""","=""0.0059""","=""1.48""","="""""
"=""5d5.(6S).6s""","=""a 5S""","=""2""","=""""","=""2.13544""","=""""","=""""","=""0.2843""","=""1.71""","="""""
"=""5d5.(4G).6s""","=""a 5G""","=""2""","=""""","=""2.33658""","=""""","=""""","=""0.2011""","=""0.64""","="""""
"=""5d5.(4G).6s""","=""a 5G""","=""3""","=""""","=""2.37302""","=""""","=""""","=""0.0364""","=""1.12""","="""""
"=""5d5.(4G).6s""","=""a 5G""","=""4""","=""""","=""2.53711""","=""""","=""""","=""0.1641""","=""1.18""","="""""
"=""5d5.(4G).6s""","=""a 5G""","=""5""","=""""","=""2.60074""","=""""","=""""","=""0.0636""","=""1.26""","="""""
"=""5d5.(4G).6s""","=""a 5G""","=""6""","=""""","=""2.73151""","=""""","=""""","=""0.1308""","=""1.24""","="""""
"=""5d5.(4P).6s""","=""a 5P""","=""3""","=""""","=""2.68167""","=""""","=""""","=""-0.0498""","=""1.26""","="""""
"=""5d5.(4P).6s""","=""a 5P""","=""2""","=""""","=""2.89389""","=""""","=""""","=""0.2122""","=""1.67""","="""""
"=""5d5.(4P).6s""","=""a 5P""","=""1""","=""""","=""2.94120""","=""""","=""""","=""0.0473""","=""1.903""","="""""
"=""""","=""225""","=""2""","=""""","=""2.79519""","=""""","=""""","=""-0.1460""","=""1.20""","="""""
"=""""","=""231""","=""1""","=""""","=""2.86976""","=""""","=""""","=""0.0746""","=""1.10""","="""""
"=""""","=""233""","=""5""","=""""","=""2.89890""","=""""","=""""","=""0.0291""","=""1.19""","="""""
"=""""","=""238""","=""4""","=""""","=""2.96242""","=""""","=""""","=""0.0635""","=""1.275""","="""""
"=""""","=""247""","=""3""","=""""","=""3.07023""","=""""","=""""","=""0.1078""","=""1.41""","="""""
"=""5d5.(4G).6s""","=""a 3G?""","=""3""","=""""","=""3.13943""","=""""","=""""","=""0.0692""","=""0.90""","="""""
"=""5d5.(4G).6s""","=""a 3G?""","=""5""","=""""","=""3.22204""","=""""","=""""","=""0.0826""","=""1.22""","="""""
"=""5d5.(4G).6s""","=""a 3G?""","=""4""","=""""","=""3.25301""","=""""","=""""","=""0.0310""","=""1.12""","="""""
"=""""","=""266""","=""1""","=""""","=""3.30595""","=""""","=""""","=""0.0529""","=""1.46""","="""""
"=""""","=""267""","=""2""","=""""","=""3.31876""","=""""","=""""","=""0.0128""","=""1.09""","="""""
"=""""","=""276""","=""3""","=""""","=""3.42540""","=""""","=""""","=""0.1066""","=""""","="""""
"=""""","=""277""","=""3""","=""""","=""3.44007""","=""""","=""""","=""0.0147""","=""1.23""","="""""
"=""""","=""280""","=""4""","=""""","=""3.48337""","=""""","=""""","=""0.0433""","=""1.22""","="""""
"=""""","=""290""","=""2""","=""""","=""3.60513""","=""""","=""""","=""0.1218""","=""""","="""""
"=""""","=""294""","=""1""","=""""","=""3.64851""","=""""","=""""","=""0.0434""","=""1.368""","="""""
"=""""","=""296""","=""4""","=""""","=""3.67476""","=""""","=""""","=""0.0263""","=""""","="""""
"=""""","=""297""","=""2""","=""""","=""3.68581""","=""""","=""""","=""0.0111""","=""1.292""","="""""
