Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d5""","=""6S""","=""5/2""","=""""","=""0.000000""","=""""","=""0.000015""","=""""","=""  89                                 :     9  5d5                 4P   ""","=""L20378,L8672"""
"=""5d5""","=""13614""","=""5/2""","=""""","=""1.687959""","=""""","=""0.000010""","=""1.68796""","=""  27  5d5 4G                         :    16  5d5                 2F1  ""","=""L20378"""
"=""5d4.(5D).6s""","=""6D""","=""1/2""","=""""","=""1.784931""","=""""","=""0.000015""","=""0.09697""","=""  54                                 :    16  5d5                 4P   ""","=""L20378"""
"=""5d4.(5D).6s""","=""6D""","=""3/2""","=""""","=""2.220423""","=""""","=""0.000011""","=""0.43549""","=""  75                                 :    13  5d5                 4D   ""","=""L20378"""
"=""5d4.(5D).6s""","=""6D""","=""5/2""","=""""","=""2.444825""","=""""","=""0.000010""","=""0.22440""","=""  90                                 :     2  5d4.(3D).6s         4D   ""","=""L20378"""
"=""5d4.(5D).6s""","=""6D""","=""7/2""","=""""","=""2.740824""","=""""","=""0.000010""","=""0.29600""","=""  80                                 :    11  5d5                 4D   ""","=""L20378"""
"=""5d4.(5D).6s""","=""6D""","=""9/2""","=""""","=""2.910068""","=""""","=""0.000009""","=""0.16924""","=""  76                                 :    11  5d4.(3F2).6s        4F   ""","=""L20378"""
"=""5d5""","=""15771""","=""3/2""","=""""","=""1.955476""","=""""","=""0.000011""","=""-0.95459""","=""  37  5d5 4P                         :    29  5d5                 4D   ""","=""L20378"""
"=""5d5""","=""4G""","=""7/2""","=""""","=""2.094150""","=""""","=""0.000010""","=""0.13867""","=""  65                                 :    13  5d5                 4D   ""","=""L20378"""
"=""5d5""","=""4G""","=""11/2""","=""""","=""2.234195""","=""""","=""0.000011""","=""0.14005""","=""  84                                 :    11  5d5                 2H   ""","=""L20378"""
"=""5d5""","=""4G""","=""9/2""","=""""","=""2.274560""","=""""","=""0.000010""","=""0.04036""","=""  87                                 :     5  5d5                 4F   ""","=""L20378"""
"=""5d5""","=""17139""","=""5/2""","=""""","=""2.125074""","=""""","=""0.000010""","=""-0.14949""","=""  43  5d5 4G                         :    23  5d5                 4D   ""","=""L20378"""
"=""5d5""","=""18392""","=""1/2""","=""""","=""2.280404""","=""""","=""0.000012""","=""0.15533""","=""  30  5d5 4P                         :    30  5d5                 4D   ""","=""L20378"""
"=""5d5""","=""4D""","=""7/2""","=""""","=""2.535882""","=""""","=""0.000009""","=""0.25548""","=""  52                                 :    18  5d5                 4G   ""","=""L20378"""
"=""5d5""","=""21568""","=""5/2""","=""""","=""2.674203""","=""""","=""0.000010""","=""0.13832""","=""  30  5d5 4D                         :    19  5d5                 2D3  ""","=""L20378"""
"=""5d5""","=""21973""","=""1/2""","=""""","=""2.724423""","=""""","=""0.000014""","=""0.05022""","=""  45  5d5 4D                         :    30  5d5                 4P   ""","=""L20378"""
"=""5d5""","=""22936""","=""3/2""","=""""","=""2.843797""","=""""","=""0.000011""","=""0.11937""","=""  33  5d5 4P                         :    33  5d5                 4D   ""","=""L20378"""
"=""5d5""","=""26128""","=""3/2""","=""""","=""3.239547""","=""""","=""0.000011""","=""0.39575""","=""  40  5d5 4F                         :    25  5d5                 2D3  ""","=""L20378"""
"=""5d5""","=""2I""","=""11/2""","=""""","=""3.244674""","=""""","=""0.000012""","=""0.00513""","=""  75                                 :    16  5d5                 2H   ""","=""L20378"""
"=""5d5""","=""2I""","=""13/2""","=""""","=""3.544444""","=""""","=""0.000016""","=""0.29977""","=""  99                                                                   ""","=""L20378"""
"=""5d5""","=""26659""","=""5/2""","=""""","=""3.305391""","=""""","=""0.000010""","=""-0.23905""","=""  19  5d5 2F2                        :    16  5d5                 4P   ""","=""L20378"""
"=""5d5""","=""26910""","=""7/2""","=""""","=""3.336425""","=""""","=""0.000010""","=""0.03103""","=""  29  5d5 4F                         :    24  5d5                 2G2  ""","=""L20378"""
"=""5d5""","=""27421""","=""9/2""","=""""","=""3.399774""","=""""","=""0.000000""","=""0.063349""","=""  41  5d5 2G2                        :    24  5d5                 4F   ""","=""L20378"""
