Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""5d3""","=""4F""","=""3/2""","=""""","=""0.00000""","=""""","=""0.00004""","=""""","=""  85                        :     8  5d3         2D2  ""","=""L20109,L8672"""
"=""5d3""","=""4F""","=""5/2""","=""""","=""0.60170""","=""""","=""0.00004""","=""0.60170""","=""  95                        :     3  5d3         2D2  ""","=""L20109"""
"=""5d3""","=""4F""","=""7/2""","=""""","=""1.11250""","=""""","=""0.00003""","=""0.51080""","=""  88                        :    10  5d3         2G   ""","=""L20109"""
"=""5d3""","=""4F""","=""9/2""","=""""","=""1.47713""","=""""","=""0.00003""","=""0.36463""","=""  64                        :    28  5d3         2G   ""","=""L20109"""
"=""5d3""","=""4P""","=""3/2""","=""""","=""1.53774""","=""""","=""0.00004""","=""0.06061""","=""  46                        :    36  5d3         2P   ""","=""L20109"""
"=""5d3""","=""4P""","=""1/2""","=""""","=""1.77612""","=""""","=""0.00004""","=""0.23838""","=""  67                        :    33  5d3         2P   ""","=""L20109"""
"=""5d3""","=""4P""","=""5/2""","=""""","=""2.59401""","=""""","=""0.00004""","=""0.81789""","=""  90                        :     6  5d3         2D1  ""","=""L20109"""
"=""5d3""","=""2G""","=""7/2""","=""""","=""2.35730""","=""""","=""0.00004""","=""-0.23671""","=""  85                        :    12  5d3         4F   ""","=""L20109"""
"=""5d3""","=""2G""","=""9/2""","=""""","=""3.76484""","=""""","=""0.00004""","=""1.40754""","=""  56                        :    36  5d3         2H   ""","=""L20109"""
"=""5d3""","=""2H""","=""9/2""","=""""","=""2.47557""","=""""","=""0.00004""","=""-1.28927""","=""  57                        :    28  5d3         4F   ""","=""L20109"""
"=""5d3""","=""2H""","=""11/2""","=""""","=""3.35711""","=""""","=""0.00004""","=""0.88154""","="" 100                                                  ""","=""L20109"""
"=""5d3""","=""2D2""","=""3/2""","=""""","=""2.87661""","=""""","=""0.00003""","=""-0.48050""","=""  33                        :    43  5d3         4P   ""","=""L20109"""
"=""5d3""","=""2D2""","=""5/2""","=""""","=""3.56315""","=""""","=""0.00003""","=""0.68654""","=""  81                        :     8  5d3         2D1  ""","=""L20109"""
"=""5d3""","=""2P""","=""1/2""","=""""","=""2.93457""","=""""","=""0.00005""","=""-0.62858""","=""  65                        :    33  5d3         4P   ""","=""L20109"""
"=""5d3""","=""2P""","=""3/2""","=""""","=""4.06252""","=""""","=""0.00004""","=""1.12795""","=""  53                        :    19  5d3         2D2  ""","=""L20109"""
"=""5d3""","=""2F""","=""5/2""","=""""","=""4.235525""","=""""","=""0.000022""","=""0.17300""","=""  86                        :     6  5d3         2D1  ""","=""L20109"""
"=""5d3""","=""2F""","=""7/2""","=""""","=""4.292985""","=""""","=""0.000022""","=""0.05746""","=""  94                        :     4  5d3         2G   ""","=""L20109"""
"=""5d3""","=""2D1""","=""3/2""","=""""","=""6.45361""","=""""","=""0.00004""","=""2.16063""","=""  67                        :    32  5d3         2D2  ""","=""L20109"""
