Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""4d8""","=""a 3F""","=""4""","=""""","=""0.00000""","=""""","=""0""","=""""","=""                            ""","=""L17221"""
"=""4d8""","=""a 3F""","=""3""","=""""","=""0.29772""","=""""","=""""","=""0.29772""","=""                            ""","=""L17221"""
"=""4d8""","=""a 3F""","=""2""","=""""","=""0.44395""","=""""","=""""","=""0.1462""","=""                            ""","=""L17221"""
"=""4d8""","=""a 3P""","=""2""","=""""","=""1.01226""","=""""","=""""","=""0.5683""","=""                            ""","=""L17221,L17223"""
"=""4d8""","=""a 3P""","=""1""","=""""","=""1.30369""","=""""","=""""","=""0.2914""","=""                            ""","=""L17221"""
"=""4d8""","=""a 3P""","=""0""","=""""","=""1.33417""","=""""","=""""","=""0.0305""","=""                            ""","=""L17221"""
"=""4d8""","=""a 1D""","=""2""","=""""","=""1.44363""","=""""","=""""","=""0.1095""","=""                            ""","=""L17221,L17223"""
"=""4d8""","=""a 1G""","=""4""","=""""","=""1.84183""","=""""","=""""","=""0.3982""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""a 5F""","=""5""","=""""","=""2.09345""","=""""","=""""","=""0.2516""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""a 5F""","=""4""","=""""","=""2.29872""","=""""","=""""","=""0.2053""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""a 5F""","=""3""","=""""","=""2.45394""","=""""","=""""","=""0.1552""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""a 5F""","=""2""","=""""","=""2.55989""","=""""","=""""","=""0.1060""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""a 5F""","=""1""","=""""","=""2.62599""","=""""","=""""","=""0.0661""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""b 3F""","=""4""","=""""","=""3.14633""","=""""","=""""","=""0.5203""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""b 3F""","=""3""","=""""","=""3.40205""","=""""","=""""","=""0.2557""","=""                            ""","=""L17221"""
"=""4d7.(4F).5s""","=""b 3F""","=""2""","=""""","=""3.57503""","=""""","=""""","=""0.1730""","=""                            ""","=""L17221"""
"=""4d7.(4P).5s""","=""a 5P""","=""3""","=""""","=""3.44693""","=""""","=""""","=""-0.1281""","=""                            ""","=""L17221"""
"=""4d7.(4P).5s""","=""a 5P""","=""2""","=""""","=""3.48785""","=""""","=""""","=""0.0409""","=""                            ""","=""L17221"""
"=""4d7.(4P).5s""","=""a 5P""","=""1""","=""""","=""3.60459""","=""""","=""""","=""0.1167""","=""                            ""","=""L17221"""
"=""4d7.(2G).5s""","=""a 3G""","=""5""","=""""","=""3.93408""","=""""","=""""","=""0.3295""","=""                            ""","=""L17221"""
"=""4d7.(2G).5s""","=""a 3G""","=""4""","=""""","=""4.04247""","=""""","=""""","=""0.1084""","=""                            ""","=""L17221"""
"=""4d7.(2G).5s""","=""a 3G""","=""3""","=""""","=""4.19629""","=""""","=""""","=""0.1538""","=""                            ""","=""L17221"""
"=""4d7.(2P).5s""","=""b 3P""","=""2""","=""""","=""4.24559""","=""""","=""""","=""0.0493""","=""                            ""","=""L17221"""
"=""4d7.(2P).5s""","=""b 3P""","=""1""","=""""","=""4.30549""","=""""","=""""","=""0.0599""","=""                            ""","=""L17221"""
"=""4d7.(2P).5s""","=""b 3P""","=""0""","=""[""","=""4.4933""","=""]""","=""""","=""0.1878""","=""                            ""","=""L17223"""
"=""4d8""","=""a 1S""","=""0""","=""""","=""4.34093""","=""""","=""""","=""-0.1524""","=""                            ""","=""L17221,L17223"""
"=""4d7.(2H).5s""","=""a 3H""","=""6""","=""""","=""4.43705""","=""""","=""""","=""0.0961""","=""                            ""","=""L17221"""
"=""4d7.(2H).5s""","=""a 3H""","=""5""","=""""","=""4.56194""","=""""","=""""","=""0.1249""","=""                            ""","=""L17221"""
"=""4d7.(2H).5s""","=""a 3H""","=""4""","=""""","=""4.82834""","=""""","=""""","=""0.2664""","=""  51         :    46   1G   ""","=""L17221,L17223"""
"=""4d7.(4P).5s""","=""c 3P""","=""2""","=""""","=""4.50885""","=""""","=""""","=""-0.3195""","=""                            ""","=""L17221"""
"=""4d7.(4P).5s""","=""c 3P""","=""1""","=""""","=""4.55146""","=""""","=""""","=""0.0426""","=""                            ""","=""L17221"""
"=""4d7.(2G).5s""","=""b 1G""","=""4""","=""""","=""4.52374""","=""""","=""""","=""-0.0277""","=""  44         :    38   3H   ""","=""L17221,L17223"""
"=""4d7.(2D2).5s""","=""a 3D""","=""3""","=""""","=""4.57984""","=""""","=""""","=""0.0561""","=""                            ""","=""L17221"""
