Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Lande,Leading percentages,Reference
"=""4d7""","=""4F""","=""9/2""","=""""","=""0.0000000""","=""""","=""0""","=""""","=""""","=""  96                                    ""","=""L9882"""
"=""4d7""","=""4F""","=""7/2""","=""""","=""0.1888610""","=""""","=""""","=""0.1888610""","=""""","=""  98                                    ""","=""L9882"""
"=""4d7""","=""4F""","=""5/2""","=""""","=""0.3092098""","=""""","=""""","=""0.120349""","=""""","=""  97                                    ""","=""L9882"""
"=""4d7""","=""4F""","=""3/2""","=""""","=""0.3848792""","=""""","=""""","=""0.075669""","=""""","=""  96                                    ""","=""L9882"""
"=""4d7""","=""4P""","=""5/2""","=""""","=""1.0236990""","=""""","=""""","=""0.638820""","=""1.57""","=""  89         :     6  4d6.(a3P).5s 4P   ""","=""L9882"""
"=""4d7""","=""4P""","=""3/2""","=""""","=""1.0510810""","=""""","=""""","=""0.027382""","=""1.68""","=""  80         :    11  4d7          2P   ""","=""L9882"""
"=""4d7""","=""4P""","=""1/2""","=""""","=""1.1621963""","=""""","=""""","=""0.111115""","=""2.60""","=""  86         :     5  4d6.(a3P).5s 4P   ""","=""L9882"""
"=""4d6.(5D).5s""","=""6D""","=""9/2""","=""""","=""1.1346829""","=""""","=""""","=""-0.027513""","=""1.53""","=""  99                                    ""","=""L9882"""
"=""4d6.(5D).5s""","=""6D""","=""7/2""","=""""","=""1.2585548""","=""""","=""""","=""0.123872""","=""1.576""","=""  99                                    ""","=""L9882"""
"=""4d6.(5D).5s""","=""6D""","=""5/2""","=""""","=""1.3454978""","=""""","=""""","=""0.086943""","=""1.641""","=""  98                                    ""","=""L9882"""
"=""4d6.(5D).5s""","=""6D""","=""3/2""","=""""","=""1.4015143""","=""""","=""""","=""0.056017""","=""1.849""","=""  97                                    ""","=""L9882"""
"=""4d6.(5D).5s""","=""6D""","=""1/2""","=""""","=""1.4387633""","=""""","=""""","=""0.037249""","=""3.271""","=""  96                                    ""","=""L9882"""
"=""4d7""","=""2G""","=""9/2""","=""""","=""1.34658""","=""""","=""""","=""-0.09218""","=""""","=""                                        ""","=""L17219"""
"=""4d7""","=""2G""","=""7/2""","=""""","=""1.52419""","=""""","=""""","=""0.1776""","=""""","=""                                        ""","=""L17219"""
"=""4d7""","=""2P""","=""3/2""","=""""","=""1.60641""","=""""","=""""","=""0.0822""","=""""","=""                                        ""","=""L17219"""
"=""4d7""","=""2P""","=""1/2""","=""""","=""1.83490""","=""""","=""""","=""0.2285""","=""""","=""                                        ""","=""L17219"""
"=""4d7""","=""2D2""","=""5/2""","=""""","=""1.80784""","=""""","=""""","=""-0.0271""","=""""","=""                                        ""","=""L17219"""
"=""4d7""","=""2D2""","=""3/2""","=""""","=""2.10991""","=""""","=""""","=""0.3021""","=""""","=""                                        ""","=""L17219"""
"=""4d7""","=""2H""","=""11/2""","=""""","=""1.81803""","=""""","=""""","=""-0.2919""","=""""","=""                                        ""","=""L17219"""
"=""4d7""","=""2H""","=""9/2""","=""""","=""1.99925""","=""""","=""""","=""0.1812""","=""""","=""                                        ""","=""L17219"""
"=""4d6.(5D).5s""","=""4D""","=""7/2""","=""""","=""2.4027080""","=""""","=""""","=""0.40346""","=""1.402""","=""  94                                    ""","=""L9882"""
"=""4d6.(5D).5s""","=""4D""","=""5/2""","=""""","=""2.5435803""","=""""","=""""","=""0.140872""","=""1.337""","=""  92                                    ""","=""L9882"""
"=""4d6.(5D).5s""","=""4D""","=""3/2""","=""""","=""2.6342668""","=""""","=""""","=""0.090686""","=""1.188""","=""  96                                    ""","=""L9882"""
"=""4d6.(5D).5s""","=""4D""","=""1/2""","=""""","=""2.6837569""","=""""","=""""","=""0.049490""","=""-0.015""","=""  96                                    ""","=""L9882"""
"=""4d7""","=""2F""","=""5/2""","=""""","=""2.6728608""","=""""","=""""","=""-0.010896""","=""0.863""","=""  84         :     5  4d6.(5D).5s  4D   ""","=""L9882"""
